speaker,line
MALE STONER,"Don't, don't, don't... The FEMALE STONER tries to get his attention by pawing his arm. The MALE STONER, high, starts to laugh and stop her."
MALE STONER,"Don't, don't! Don't do that, don't do it! Don't do that, you tickle me. You made the spray paint come out of my nose. The FEMALE STONER looks up, gazing initially at his face. We see that the both have gold spray paints covering their faces from nose to chin and across their cheeks."
MALE STONER,"What, do I have paint on my face? Her gaze moves past his face until she's looking up into the sky."
FEMALE STONER,"Dude, look at the moon! The FEMALE STONER starts to turn the MALE STONER around by the arm, but he stops prematurely staring off into the sky in a completely different direction."
MALE STONER,"Oh, whoa... She puts her hand on his face and pushes it around until he's looking up at the moon."
MALE STONER,What?
FEMALE STONER,"When you see a moon like that, do you ever think... life is so amazing and maybe we shouldn't waste it by just getting high all the time?"
MALE STONER,No. I think about how I wish I were a werewolf.
FEMALE STONER,What would you do if you were a werewolf?
MALE STONER,"Get high all the time. Nearby we hear a man man yelling, footsteps moving across the forest floor. The STONERS notice are turn around in the direction of the noises."
MALE STONER,What's that?
MAN,Arghhh!
MALE STONER,"Where'd that come from? The FEMALE STONER pushes the MALE STONER in front of her for protection as they peer through tree branches. Through the branches they see a MAN being attacked by a human-sized, green, scaly, lizard creature. The lizard creature notices the two STONERS watching and stops, turning towards them. It hisses at them, arms raised, before suddenly racing towards them roaring. But instead of attacking the STONERS it carries on, racing and jumping between them before disappearing off into the forest."
MALE STONER,"Did that just happen? We hear the attacked MAN lying face-down on the ground, moaning. The MALE STONER goes over to him."
MALE STONER,"Hey. Hey, hey. Whoa, dude. Dude, are you okay? The MAN rolls over as they kneel down beside him. We see he's wearing a khaki-type shirt and a jacket with a badge on the breast."
MAN,"Yeah, I think so."
FEMALE STONER,"Dude, are you okay?"
MALE STONER,"Dude, he just said that he was."
FEMALE STONER,"No, not this dude. The camera pans over the MAN to another body lying close by, a male lying face-up, his neck clearly gored wide open."
FEMALE STONER,This dude.
MALE STONER,"Whoa, dude. I don't think that... that dude's okay. The MALE STONER reaches for his brown paper bag... THE TRUTH IS OUT THERE"
SCULLY,Mulder... what are you doing to my poster? MULDER leans back in his chair.
MULDER,"Scully, since we've been away, much of the ""unexplained"" has been explained. He picks up a large black and white photo and shows it to SCULLY, who is now standing the other side of the desk."
MULDER,"The ""Death Valley Racetrack""? Turns out it was just ice formations, moving the rocks around as it melted. Yeah, ice. Humility prevents me from recounting how I once thought it had something to do with a series of mysterious sightings of a rock-like creature in Colorado... which turned out to just be a publicity stunt by a local landscaping business. It's amazing, going through these archives with fresh - if not wiser - eyes, how many of these cases, whether it's ""The Amarillo Armadillo Man"" or ""The Hairy Whatsit of Walla Walla""...can be explained away as fraternity pranks, practical jokes or people making stuff up simply because they're bored and or crazy. And if that doesn't explain it, well then it was probably just ice."
SCULLY,"Mulder, have you been taking your meds? MULDER gets up out of his chair and goes over to the poster, pulling out the half-dozen or so pencils. He sounds in a reflective mood."
