speaker,line,words
NARRATOR,"Previously on THE X-FILES: pieces of metal artifacts. He puts the two pieces together like edges of a puzzle, the singular piece of artifact flies out of his hands and across the room where it beelines toward and imbeds itself into The Holy Bible.] away sand from the metal hull of a buried spacecraft. Overhead shot of the spacecraft and SCULLY on the beach.] rubbings like a giant jigsaw puzzle.]",70
SCULLY,"It appears to be a craft covered in symbols, which I now understand are part of a complex communication.",19
AMINA NGEBE,It is the Word of God. and MULDER moving the blanket away from his face to get a better look at him.],22
SCULLY (V.O.),They want my baby. Why?,5
DOGGETT,"Your pregnancy was a result of a government cloning experiment to try and create a super soldier. WILLIAM crying, SCULLY not happy.]",22
THE NSA MAN (V.O.),You saw your son affect the mobile over his crib. He spun it as if with his mind. look at WILLIAM. Camera on WILLIAM.],24
SCULLY (V.O.),"I'm scared for you, Mulder, and for William...",8
RADIO DISPATCHER,"This is sector station to unit one. Unit one, please report.",11
DRIVER AGENT,"Unit one reporting. No traffic or unusual activity, sector station.",10
PASSENGER AGENT (AGENT DALEY),Tell her my ass is freezing off and I need someone out here to get the blood circulating.,18
DRIVER AGENT,"Sector station, Agent Daley here has a very special request.",10
DRIVER AGENT,"The mike's off, man.",4
PASSENGER AGENT (AGENT DALEY),"Don't scare me like that, man.",6
DRIVER AGENT,"Aww, come on. Keeps you awake, don't it?",8
PASSENGER AGENT (AGENT DALEY),Yeah.,1
PASSENGER AGENT (AGENT DALEY),Something moving.,2
DRIVER AGENT,Where?,1
PASSENGER AGENT (AGENT DALEY),Coming right through the trees. Straight ahead. See it?,9
DRIVER AGENT,Got it!,2
PASSENGER AGENT (AGENT DALEY),Unit one to sector station we are in pursuit... in pursuit of an illegal border crossing.,16
PASSENGER AGENT (AGENT DALEY),Rabbit's running for the hole.,5
PASSENGER AGENT (AGENT DALEY),"End of the road, buddy.",5
SCULLY,Agent Scully. He's expecting me.,5
KERSH'S ASSISTANT,"Go right in, Agent Scully. They're all waiting for you.",10
SCULLY,"""They""?",1
SCULLY,Sorry to keep you waiting.,5
KERSH,"Have a seat, please, Agent Scully...",6
SCULLY,May I ask what this is about?,7
KERSH,"You can take a seat, please.",6
FOLLMER,"Deputy Director Kersh has called you here today to ask you a few questions, Agent Scully. All right, just a few... routine questions.",23
DEPUTY DIRECTOR KERSH,Do you know what this is?,6
SCULLY,Should I?,2
FOLLMER,"It's a simple question, Agent Scully. Do you know what this is?",12
SCULLY,I'm not sure.,3
KERSH,But you've seen it before.,5
SCULLY,Am I under suspicion here? Something passing between them.]],9
FOLLMER,Assistant Director Skinner led us to believe that you'd be able to identify this piece of evidence.,17
SCULLY,And why is that?,4
FOLLMER,"Well, you once worked on the X-Files.",7
SCULLY,"Well, if this is an X-File then why don't you ask somebody who’s working on the X-Files?",17
FOLLMER,Because we're asking you.,4
KERSH,They were found during an illegal border crossing in North Dakota. Canada to the U.S. Agent Scully. that’s meant to play the room. To impress the assembled senior staff. ]],29
KERSH,"What A.D. Follmer is saying is your cooperation is important to this investigation, Agent Scully.",15
SCULLY,I'd like to cooperate. I-I'd be happy to cooperate. I just wish that you would tell me who or what you are investigating.,23
SCULLY,Were you called about this? Has A.D. Follmer been down here?,11
REYES,Brad Follmer?,2
SCULLY,Yeah. Going through the X-Files.,5
DOGGETT,I doubt Agent Follmer even knows where we are down here Agent Scully.,13
REYES,Why? What are you looking for?,6
(7X01) & T6E,AMOR FATI . She hands them to DOGGETT.),7
SCULLY,These.,1
REYES,What are they?,3
SCULLY,Rubbings. Taken from the surface structure of a craft.,9
DOGGETT,A craft?,2
SCULLY,"A spacecraft. Agent Doggett, if you can wrap your brain around that.",12
SCULLY,"They were found by fishermen off the western coast of Africa. Two years ago, I traveled there to study it and I took these.",24
DOGGETT,What does this have to do with Follmer?,8
SCULLY,This morning I was called into the Deputy Director's office and I was shown an exact copy of that rubbing. I was asked by senior staff to identify it for them.,31
REYES,And where did they get them?,6
SCULLY,A guy running the North Dakota border from Canada. Or so they say.,13
REYES,What did you tell them about these?,7
SCULLY,Nothing.,1
REYES,And what aren't you telling us?,6
SCULLY,That they're powerful.,3
DOGGETT,We're talking about pieces of paper with marks on it.,10
SCULLY,"They're not just marks, Agent Doggett. It's writing. Words. Powerful words. And if the FBI has them and they're keeping their investigation of them a secret, then they have a sense of their power as well.",36
DOGGETT,Anybody point me to the ASAC?,6
FOLLMER,Agent Doggett...,2
DOGGETT,Assistant Director.,2
FOLLMER,I don't recall asking for your help or assistance on this case.,12
DOGGETT,"Well, the way it looks I'm the only agent outside of D.C. You didn't ask.",15
DOGGETT,What's the big attraction?,4
FOLLMER,"Last night, a man made an illegal border crossing from Canada. A chase ensued; ended here.",16
DOGGETT,You know anything about him? About what he might have been doing?,12
FOLLMER,"We're endeavouring to learn as much as we can, Agent Doggett.",11
DOGGETT,Was he carrying anything interesting?,5
FOLLMER,"Like what, for example?",4
DOGGETT,"I don't know. Like, uh... maybe something you'd find in an X-File.",12
FOLLMER,"If that's what you came looking for, you came a long way for nothing.",14
DOGGETT,Then what's with the cavalry?,5
FOLLMER,Excuse me?,2
DOGGETT,Lot of good shoes out here looking for what's got to be a dead man.,15
DOGGETT,"Guy was killed, right?",4
FOLLMER,"Man survives a fall like this, on fire? Not very likely...",11
FOLLMER,"We will, Agent Doggett. Like you say, I got the cavalry out here.",13
FOLLMER,Find that funny?,3
DOGGETT,"Dead man up and disappearing? Happens every day, right?",9
DOGGETT,At least it does on the X-Files.,7
FOLLMER,"Trust me, Mr. Doggett. This has nothing to do with you. Nothing to do with you or the X-Files.",19
FOLLMER,"Stick your nose in this case I promise you, you'll live to regret it.",14
SCULLY,Hi.,1
REYES,Thanks for coming. I needed to talk to you about this in person.,13
SCULLY,"Well, what is it?",4
REYES,"What I'm reading in your field report on these rubbings, Dana-- there's something I didn't understand. You say these were taken off a spacecraft. You determined they were words -- writings. You didn't tell us you knew what they said.",39
SCULLY,What little I read was through the help of an interpreter.,11
REYES,"But you interpreted them as text from the Bible, from the Koran... scripture from religions around the world. And science, too. The periodic table of elements.",26
SCULLY,Yes.,1
REYES,And you wrote in your report they were millions of years old.,12
SCULLY,Based on radiometric readings from fossils that were encrusted on the surface of the ship.,15
REYES,"Agent Scully, I know you've become more open-minded about these things... but do you know what it is you're saying here?",21
REYES,If it were true these symbols wouldn't just be words... they'd be the very Word of God on the surface of an alien spacecraft.,24
SCULLY,It'd mean that everything mankind believes in... is in question.,10
REYES,And you believe this?,4
SCULLY,"I didn't. I mean, I-I refused to believe it. But now I think... I think there may be answers there.",20
REYES,Answers to what?,3
SCULLY,Answers about my son. I know how that sounds. I have no one else to say it to. That I was meant to find these... somehow. These were meant for me.,31
REYES,But why would the FBI keep that from you? From us? And what exactly do they want with them?,19
SCULLY,Those are questions I can't answer.,6
DOGGETT,You forget our extension? Or you just can't be bothered?,10
SKINNER,Excuse me?,2
DOGGETT,"Returning calls. Agent Reyes', mine. What the hell's that about?",10
SKINNER,"Well, I've been tied up, Agent Doggett. I just haven't had a chance.",13
DOGGETT,That's not what your phone log says. Your log says you've returned everyone's calls but ours.,16
SKINNER,"Agent Doggett, let me remind you who answers to whom here.",11
DOGGETT,"Oh, I think you owe me an answer, sir -- and if you don't owe it to me, you owe it to Agent Scully -- on this X-File case the FBI's got. The one they're working so hard to keep us from investigating.",41
SKINNER,"You ready for my answer, Agent Doggett? It's not an X-File case.",12
DOGGETT,That's why you have 40 agents combing the Canadian border for a dead man that ain't dead.,17
SKINNER,You don't know what you're talking about.,7
DOGGETT,I was out there.,4
SKINNER,Without any authorization!,3
DOGGETT,I don't understand -- none of us do -- why you're keeping their secrets... why you're keeping quiet.,16
SKINNER,"Because I know things you don't, John. And it's for your own good.",13
REYES,Yeah. Who's there?,3
DOGGETT,"It's me. Open up, Monica.",5
DOGGETT,I got it.,3
REYES,Got what?,2
DOGGETT,What they've been keeping a secret. What they won't tell Scully. What they wouldn't tell us.,16
REYES,What am I looking at?,5
DOGGETT,A file on a guy crossing the Canadian border last night.,11
REYES,Special Agent Robert Comer?,4
DOGGETT,He's FBI.,2
