speaker,line,words
TEACHER,"All right everyone, we've run out of time.",8
TEACHER,That's right. We're finished. You'll have more time next week.,10
MALE STUDENT,"Hey, man!",2
MOSTOW,Excuse me. OUTSIDE ALLEY,4
MOSTOW'S APARTMENT 6,30 AM,2
FBI AGENT,FBI!!,1
FBI AGENT,Don't move!,2
FBI AGENT,John Mostow... We have a warrant for your arrest. You have the right to remain silent. If you give up that right...,22
FBI AGENT,Anything you say can be used against you in a court of law.,13
FBI AGENT,Do you understand these rights as they've been explained to you?,11
FBI AGENT,Do you wish to give up your right to remain silent?,11
NEMHAUSER,OH GOD! He bit me! The son of a bitch bit me like a dog!,15
FBI AGENT,"Nemhauser, you okay?",3
NEMHAUSER,Yeah.,1
PATTERSON,My God...,2
MULDER,"He's an unemployed painter, divorced, no children. He came to the US from Uzbekistan during Perestroika. He failed to mention on his INS application that he spent the better part of his twenties in an insane asylum.",37
SCULLY,He was arrested last week for the murders of at least seven men.,13
MULDER,You thought all they produced were great hockey players. The crimes took place over a three year period. All the victims were male. Aged 17 to 25.,27
SCULLY,Was there a signature or a defining MO?,8
MULDER,"Well, according to the ME there was no evidence of any sexual assault. Death was caused by massive blood loss due to facial mutilation. We also reported that the wound pattern on all the victims was identical. It's all there on page three.",43
SCULLY,Both eyes punctured... signature gashes from the corners of the mouth to the ears.,14
SCULLY,The level of violence and overkill here would suggest the work of a very angry individual.,16
MULDER,"Or individuals, if you count the spirit Mostow says possessed him during the murders.",14
SCULLY,"Well, possession is a common claim by criminals who have dissociative disorders. It's how they... distance themselves from their actions.",20
MULDER,That was the operational opinion until last night...,8
MULDER,When a 19 year old male was found dead six miles from here with an identical set of facial wounds.,20
SCULLY,A copy cat?,3
MULDER,"Well, according to Assistant Director Skinner, who asked us to look into this case, the details of the mutilations were never released. Only members of the crime team would have that information. And Mostow's been in custody for five days.",40
MOSTOW,Please! The light hurts my eyes.,6
MOSTOW,Leave me alone...,3
SCULLY,"You have a nice soft bunk, sir. Why aren't you using it?",12
MULDER,Cuz he's been working.,4
MULDER,"Haven't you, John? What is it? What is this thing?",10
MOSTOW,It killed those men.,4
MULDER,Does it have a name? Does it have a name to go with that face?,15
MOSTOW,All men know its name.,5
MULDER,What do you call it? Satan? The devil?,8
SCULLY,Or maybe it's just the name of your accomplice.,9
MOSTOW,I had no accomplice.,4
SCULLY,You killed all those young men yourself?,7
MOSTOW,It killed them. How many times do I have to tell you?,12
SCULLY,"Well, its fingerprints weren't on the murder weapon, yours were. And it won't be tried for seven murders under the death penalty.",22
MOSTOW,"That is why it laughs at fools like you... And you... fools who would pretend evil can be brought to heel like a brindle bitch or be held by your pathetic gulags. While with a snap of its finger, it makes men lick the greasy floor of hell... Just to see its reflection.",53
SCULLY,"Is that was it did last night, John? Snapped its fingers and let another young man die?",17
MOSTOW,It killed again? Yesterday? It found somebody... just like it found me.,12
PATTERSON,Agent Mulder... Can I see you two outside? HALLWAY,9
PATTERSON,"So what is it, Mulder? Little green men, evil spirits, hounds of hell?",13
MULDER,"Scully, this is Bill Patterson. He runs the investigative support unit out of Quantico.",14
SCULLY,"Yes, I know. Behavioral Science... You wrote the book. It's a honor, sir.",13
PATTERSON,"Is that what you think, too? That the suspect is possessed by some dark spirit?",15
SCULLY,"No, not at all, sir.",5
