speaker,line,words
CURTIS DELARIO,"It's just senseless. A man so young as Ray... It's God's cruel trick, Nora.",14
NORA PEARCE,"Don't go blaming God, Curt. You and I know what killed Ray.",12
CURTIS DELARIO,Oh... We don't know anything for sure.,7
NORA PEARCE,How does a 41-year-old man just... wither away and die?,10
CURTIS DELARIO,If any of us knew that we'd have done something about it. Maybe it was just his time.,18
NORA PEARCE,"He was a young man when he went over, Curt. Ray got sick because he fought in the Gulf.",19
CURTIS DELARIO,"Now, don't go there, Nora. You just make it worse for yourself. The doctors never said...",16
NORA PEARCE,They never said! That's right. My husband's dead and no one knows why. Maybe I have to find out myself. They're going to pay for Ray's death-- whoever's to blame.,30
CURTIS DELARIO,No one's to blame. You're just upset. You need a good night's sleep.,13
NORA PEARCE,"I don't want to sleep, I just...",7
CURTIS DELARIO,You just want Ray back. We all do.,8
CURTIS DELARIO,Ray?,1
DOGGETT,"Car's registered to a Curtis Delario, local address. So far, he's been unreachable.",13
SCULLY,"Well, it's highly unlikely that wherever he is he feels like picking up the phone this morning.",17
DOGGETT,"Muncie PD ran some calculations. Based on the distance traveled, the length of the skid marks, they estimate the car was going at least 40 when it impacted the object, which, according to their math would require something 4,300 times the density of steel to cause the damage we're looking at.",51
SCULLY,"Hmm. It's interesting, isn't it? I mean, uh... in light of the evidence.",13
TOW TRUCK MAN,"Hey, watch yourself.",3
SCULLY,"From their size and shape, these look like men's shoes.",10
DOGGETT,"I hope you're not suggesting that what this car hit was a man, Agent Scully, because there's no way.",19
SCULLY,"Well, these impressions in the asphalt look pretty fresh to me.",11
DOGGETT,I admit to the coincidence but you know as well as I that if a man were here he'd be splattered from here to tomorrow and there's just no evidence of that.,32
SCULLY,"You're right, which is suspicious in and of itself. I mean, this car definitely hit something and the only evidence that we have are these two prints.",27
DOGGETT,"You know I hate to ruin your beautiful theory with ugly facts but stop to examine the incident. If a man were standing here, the driver would have stopped.",29
SCULLY,"Well, it looks like he tried to.",7
DOGGETT,"Well, even so, if a man were in the middle of the road with a car coming wouldn't he try to move?",22
SCULLY,Unless he wanted to stop the car.,7
DOGGETT,"Yes, but if nothing less than a block of steel could stop this car then, ipso facto, it could not have been a man standing in the street last night.",30
SCULLY,Or certainly no ordinary man.,5
NORA PEARCE,Just tell me what happened-- where is he? Where...,9
DOGGETT,"Excuse me, ma'am? John Doggett with the FBI. Do you know about this?",13
NORA PEARCE,What happened? Where is he?,5
DOGGETT,"Curtis Delario, you know him?",5
NORA PEARCE,He was a friend of my husband's. They worked together at the salvage yard.,14
DOGGETT,"Now, I want you to calm down, Mrs....",8
NORA PEARCE,"Pearce. How am I supposed to calm down? Finding this now, it...",12
DOGGETT,"Well, we're not even sure he was driving the car last night.",12
NORA PEARCE,He was. He came over after my husband's funeral and then he left and...,14
SCULLY,Agent Doggett!,2
SCULLY,Meet Curtis Delario.,3
SCULLY,I guess he won't be much help clearing any of this up.,12
DOGGETT,I think I got some answers.,6
SCULLY,"So do I. It wasn't the crash that killed Curtis Delario. He was badly injured, but he was clearly still alive when his body was pulled … through the car's windshield.",31
DOGGETT,Pulled?,1
SCULLY,"Yeah, these five deep puncture marks match five fingers of one hand.",12
DOGGETT,"You mean, someone just reached right in and...",8
SCULLY,Like a bowling ball.,4
DOGGETT,That seems humanly impossible.,4
SCULLY,Certainly for any ordinary man.,5
DOGGETT,"Well, from the evidence I've gathered the man that did this is actually less than ordinary. I was able to reconstruct a section of the windshield and lift a print from the glass.",33
SCULLY,Whose?,1
DOGGETT,"Raymond Aloysius Pearce. Husband of Nora Pearce, woman I spoke with at the accident site.",15
SCULLY,Hmm.,1
DOGGETT,Her recently deceased husband.,4
SCULLY,"Well, if he was recently deceased then it must have been an old print.",14
DOGGETT,"Well, what you would think except along with the print there was evidence of fresh blood and it belongs to Ray Pearce, too.",23
DOGGETT,Mrs. Pearce... Agent Doggett again. Sorry to bother you but there are some things I need to go over.,19
HARRY ODELL,"Everything all right, Nora?",4
NORA PEARCE,"He's with the FBI. Uh, this is Harry Odell. He runs the Salvage yard where... Ray and Curt worked.",19
DOGGETT,May I come in?,4
NORA PEARCE,"Agent Doggett, I don't understand. Before, you were talking about Curt. Now you want to talk about Ray?",18
DOGGETT,"What was their relationship, Mrs. Pearce-- your husband and Curtis Delario-- outside of work?",14
NORA PEARCE,I know what their relationship is now. They're both dead.,10
DOGGETT,"Going back through your husband's medical records it says that he died after a long, debilitating illness?",17
NORA PEARCE,"Gulf War Syndrome. No one will cop to that, but I aim to prove it-- put the blame where it belongs.",21
DOGGETT,"I'm having trouble proving something myself, Mrs. Pearce. You signed a form to have your husband's body cremated but it appears it never happened.",24
NORA PEARCE,What do you mean? They gave me the ashes. They were at the funeral.,14
DOGGETT,"Well, I can't find a record of Ray's body ever even being at the crematorium.",15
ODELL,"Oh, for crying out loud. Hasn't this woman grieved enough?",10
