speaker,line,words
WOMAN,What's she doing there by herself?,6
MAN,Teena?,1
WOMAN,Honey?,1
WOMAN,You're freezing. Where's your jacket?,5
MAN,Where's your Daddy?,3
TEENA,In the yard. He told me he needed some time to himself.,12
MAN,I'd say his time's up.,5
WOMAN,"Come on, Honey. I'm sure he wouldn't want you to catch cold.",12
MAN,"Joel? Hey, Joel... The swing set's supposed to be for your daughter, not for you.",15
MAN,I'll call 911.,3
TEENA,Daddy?,1
SCULLY,Death by hypovolaemia. 95% blood loss. That's over 4 liters of blood.,12
MULDER,I'd say the man was running on empty.,8
SCULLY,"The man's daughter, 8 years old... was away from his side for no more than 10 minutes. She doesn't remember anything, there was no trace evidence found at the crime scene.",31
MULDER,Any evidence would have be washed away by yesterday's rain.,10
SCULLY,"Oh, there were two small puncture wounds.",7
MULDER,Are you at all familiar with the phenomena of cattle mutilations?,11
MULDER,"Since 1967, over 34 states have reported unsolved cases of cattle mutilations. Trace evidence is remarkably similar. Incision marks of surgical precision. The area around the mouth and often the sexual organs have been removed. There's a substantial degree of blood loss but not a trace of blood at the scene.",51
SCULLY,How could that be?,4
MULDER,"Exsanguination. If you were to stick a needle into the jugular of any living creature, the heart itself would act as a pump. These animals have had their jugulars punctured the same as the man in Greenwich, CT. Although this is the first time I've ever seen it on a human being.",52
SCULLY,But there was no sign of a struggle. How could a man just sit through a blood letting?,18
MULDER,"The ME found traces of digitalis, a South American plant that can be used as a paralytic drug.",18
SCULLY,"Wait a minute. These X-Files indicate UFO related phenomena. Often there are related sightings in the sky near the incidences, along with surface burns...",24
MULDER,Witnesses often relate time loss. We've seen this in abduction cases. That might explain why the girl can't remember anything.,20
SCULLY,"Mulder, why would alien beings travel light years through space in order to play doctor on cattle?",17
MULDER,"For the same reason we cut up frogs and monkeys. Besides, they seem to have stepped up their interest.",19
SOCIAL WORKER,Her mother passed away from ovarian cancer two years ago. There's no other family. We'll keep Teena here until we can place her with a foster family.,27
MULDER,Has she spoken about it?,5
SOCIAL WORKER,No. Not a word.,4
MULDER,Any nightmares?,2
SOCIAL WORKER,"No. At least, not that I know of.",8
SCULLY,Can we talk to her now?,6
SOCIAL WORKER,Teena? These are the people we talked about. This is Miss Scully and Mr. Mulder. Do you think you could talk to them?,23
SCULLY,Hi. I know you must be feeling really sad right now. And scared. But we want to find out what happened so we can help stop whoever hurt your daddy. Okay?,31
SCULLY,Okay. Did you ever see any strangers with your daddy at home?,12
SCULLY,Did you ever see... anyone yell at your daddy or your daddy yell at them?,15
TEENA,No.,1
SCULLY,Can you think of anyone who would want to hurt your daddy?,12
TEENA,No.,1
MULDER,"Nice bunny, Teena. Can we talk about what happened that day? About what happened in the back yard?",18
MULDER,Yeah? Do you remember... any strange sounds or lights or anything like that?,13
TEENA,There was Red Lightening.,4
MULDER,Can you tell me more about the Red Lightening?,9
TEENA,I can't remember... it all went dark.,7
MULDER,Had you ever seen anything like that before?,8
MULDER,Yeah? When?,2
TEENA,"The men from the clouds, they were after my dad.",10
SCULLY,Scully... Where?,2
MULDER,Why were these men after your Dad?,7
TEENA,They wanted to exsanguinate him.,5
SCULLY,Mulder...,1
SCULLY,There's been another one.,4
MULDER,It's like looking at a mirror image.,7
SCULLY,"The victim, Doug Reardon, was married with one daughter. Cause of death, hypovilemia. Mulder, this is crazy. They also found traces of the poison digitalis.",25
MULDER,Puncture wounds?,2
SCULLY,"Ah... yes. On the jugular. Time of death was estimated at 2:30 p.m. Same day, only three hours earlier than the Simmons murder.",23
MULDER,That's Pacific standard time. That makes it the exact same moment.,11
SCULLY,It appears we have two serial killers working in tandem.,10
MULDER,"No. Serial killers seldom work in pairs. And when they do, they kill together not separately.",16
SCULLY,"Mulder, nothing beyond your leading questions to Teena Simmons substantiates a UFO mutilation theory.",14
MULDER,Is Reardon's daughter nearby when he was murdered?,8
SCULLY,Yes... The police report states that she remembers nothing. Ah... she's with her mother and family in Sacramento.,18
MULDER,When will they be back?,5
SCULLY,Tomorrow.,1
MULDER,Even money... she'll remember Red Lightening.,6
FAIRFIELD COUNTY SOCIAL SERVICES HOSTEL 12,35 AM E.S.T. It is night. There is a storm outside. Lightening and thunder. Teena is in bed. She is holding her stuffed bunny. She lifts her head off the pillow. She looks at the window and gets out of bed. She checks through the window in the door if someone is in the hall. She pushes a chair in front of it. Someone on the other side of the door is trying to break in. Teena hides under the bed. Someone enters the room. Teena tries to make a break for it. A figure grabs her arm.,98
SOCIAL WORKER,Teena? Teena? Teena! All that remains is Teena's stuffed bunny by the open window. Rain beating down on it.,19
SCULLY,She was kidnaped from the Social Services Home around 11 p.m. last night. Looks like someone was afraid she might remember too much.,23
MULDER,"Someone or something, Scully.",4
SCULLY,Connecticut State Troopers set up road blocks within a half an hour. Nothing.,13
MULDER,Maybe they weren't looking in the right direction.,8
SCULLY,I told them to contact us if they happen to find her.,12
SCULLY,Teena?,1
CINDY,No.,1
SCULLY,What's your name?,3
CINDY,Cindy Reardon.,2
MULDER,"You live here, Cindy?",4
CINDY,"Ever since I was born, 8 years ago.",8
MULDER,"Cindy really is a beautiful little girl, Mrs. Reardon.",9
MRS REARDON,Doug and I wanted to spoil her. We wanted to protect her from everything horrible in the world. She was daddy's little girl.,23
MULDER,Is she an only child?,5
SCULLY,May I ask... Was Cindy adopted?,6
MRS REARDON,No. I gave birth to her at San Rafael General.,10
SCULLY,"So, I assume you have all the proper documentation. Birth certificate...",11
MRS REARDON,Of course I do.,4
MULDER,Was she the only child delivered at that birth?,9
MRS REARDON,"What the hell kind of question is that? Look, I have told the police everything I know.",17
MULDER,"Mrs. Reardon, have you ever seen this man before?",9
MRS REARDON,This... is this your suspect?,5
MULDER,No.,1
MRS REARDON,Did he do something to Cindy?,6
MULDER,No... he... he did... he didn't...,6
SCULLY,"No. Mrs. Reardon. This is not your daughter. That girl's name is Teena Simmons. She lives 3,000 miles away in Connecticut. That man, her father, was killed in the same manner as your husband.",34
MRS REARDON,Cindy is my daughter. I can show you videos of her birth. We tried for six years to become pregnant.,20
MULDER,In vitro fertilization?,3
MULDER,At which clinic?,3
MRS REARDON,Luther Stapes Center. Down in San Francisco.,7
MULDER,Thanks.,1
SCULLY,Do you still believe this is UFO related? Cindy Reardon didn't see Red Lightening.,14
MULDER,I don't know. The only thing similar about these girls doesn't seem to be their appearance.,16
SCULLY,"Well, there seems to be the random possibility that two people can have an unrelated likeness.",16
MULDER,Who both just happened to see their father's exsanguinated. I'd like to get the odds on that in Vegas.,19
SCULLY,The girls are the one and only link between identical murders.,11
MULDER,One girl was just abducted.,5
SCULLY,Kidnaped.,1
MULDER,"Potato, potahto.",2
SCULLY,Where are you going?,4
MULDER,The murders were committed by the same person or persons. Part of the pattern involves kidnaping the daughter.,18
SCULLY,And you expect the pattern to continue.,7
MULDER,I'm going to keep an eye on the girl. You check out the clinic. See if the Simmons were enrolled in the same fertility program.,25
SCULLY,Okay. I'll call the San Francisco bureau and get someone to relieve you.,13
MULDER,Okay.,1
DOCTOR,In vitro fertilization is a procedure in which we can implement fertilization. An implantation of the embryo to the uterus.,20
SCULLY,Could a patient have believed she was receiving her own eggs but actually receive another without her knowledge?,18
DOCTOR,Not here. We have very strict controls.,7
SCULLY,Are you ever aware of having patients by the name of Claudia and Joel Simmons?,15
DOCTOR,Any information about patients is confidential. That's our policy.,9
SCULLY,Both the Simmons are dead. And their daughter has been kidnaped. I think any information that you have that could help overrides your policy.,24
SCULLY,"You have copies of their records sent to Greenwich, CT, in 1991... They came here 9 years ago under the supervision of a Dr. Sally Kendrick?",26
SCULLY,There a problem?,3
DOCTOR,Dr. Kendrick was nothing but a problem.,7
SALLY KENDRICK ON TAPE,"Hello. And welcome to the Luther Stapes Center for Reproductive Medicine. I'm Dr. Sally Kendrick, a specialist in the exciting field of in vitro fertilization.",25
DOCTOR,"She was a resident here in 1985. Brilliant. First in her class at Yale med where she got her MD. After completing her doctorate in Bio Genetics, we were thrilled to get her.",33
SCULLY,And now you don't sound too thrilled.,7
DOCTOR,We have reason to believe that Dr. Kendrick was tampering with genetic material that was fertilized in the lab prior to implant. Experimenting with Eugenics.,25
SCULLY,Did you report this to the AMA?,7
DOCTOR,Of course. And I fired her. And also requested an investigation with the Health Department.,15
SCULLY,And what happened?,3
DOCTOR,The AMA censured her. My request for an investigation was denied. Dr. Kendrick disappeared.,14
DR KENDRICK ON TAPE,"We know the pain of infertility and we are ready to help. In the next half hour, I'll guide you through...",21
SCULLY,Dr. Kendrick was the supervising physician in both the Reardon's and Simmons' IVF program. It seems she was experimenting at the clinic.,22
MULDER,Maybe now she's trying to erase the results?,8
DR KENDRICK ON TAPE,"... can't guarantee everyone's success, but with our scientific advances, a little luck, and a lot of hope... miracles can happen.",20
SCULLY,"Well, she must have had an accomplice to have done both murders.",12
MULDER,So you think this is a vendetta that she and a colleague have against the Stapes Center?,17
SCULLY,"Mulder, does this mean you've abandoned your UFO connection? Hello?",10
SCULLY,Hello?,1
SCULLY,Just a couple of clicks. Must be the wrong number.,10
MULDER,I'll tell you what... I'm going to sleep on it and we'll talk about it in the morning.,18
SCULLY,"Mulder, you're rushing me out of the room.",8
MULDER,"No, I'm not.",3
SCULLY,You got a girl coming over?,6
MULDER,What's a girl?,3
MULDER,"No, I have... there's a movie I want to watch on TV. Sleep tight. See you in the morning.",19
DEEP THROAT,Are you certain she hasn't followed you?,7
MULDER,Yes. What are you doing here?,6
DEEP THROAT,I was hoping we could take in a Warriors game. Actually I was just in the neighborhood... Wondered if I ever told you about the Lichfield Experiments.,27
MULDER,No you haven't.,3
DEEP THROAT,"Well, it was the most interesting project. Highest level of classification. All records have since been destroyed. And those who knew of it, denied knowledge of its existence. It existed during the height of the cold war. We got wind the Russians were fooling around with Eugenics. Rather primitively, I might add. Trying to crossbreed top scientists, athletes... to come up with the superior soldier. Naturally, we jumped on the band wagon.",72
MULDER VOICE OVER,The Lichfield Experiment.,3
DEEP THROAT VOICE OVER,A group of genetically controlled children. Raised and monitored on a compound in Lichfield. The boys were called Adam and the girls were called Eve. There's a woman you should see and I'll make sure that you can get in.,40
MULDER,Agents Mulder and Scully. We're here to see Eve 6.,10
GUARD,Deposit your fire arms.,4
GUARD,Sign for these.,3
MULDER,What are those?,3
GUARD,Panic buttons. Can't let you inside without one.,8
SCULLY,Why the flashlights?,3
GUARD,She screams and screams if we turn the over heads on. No one's ever gotten a good look at her.,20
