speaker,line,words
BANTON,"Morris! Morris, I need to talk to you!",8
BANTON,"Morris, I need to talk to you! Gail Anne is dead. It's my fault. Morris!",15
BANTON,"Morris, I need to talk to you. Morris, please. Answer the door, damn it!",14
BANTON,"Oh no! No. My God, no! No, no, God no, no, no, no!",13
SCULLY,"Two apparent abductions in less than a month, and then this one last night. According to my contact, the Richmond PD has hit a brick wall so I told her we'd come down and have a look.",37
MULDER,Who's your contact?,3
SCULLY,"Her name is Kelly Ryan. She was one of my students when I was teaching at the academy. She's just been bumped up to detective, and she's a little nervous about her supervisor finding out the FBI are involved.",39
SCULLY,Kelly?,1
RYAN,Agent Scully.,2
SCULLY,Hi.,1
RYAN,Hi.,1
SCULLY,This is Agent Mulder.,4
RYAN,Hi. Thank you for coming.,5
MULDER,Hello.,1
RYAN,Heard a lot about you.,5
MULDER,We'll talk later.,3
RYAN,"The missing man is Patrick Newirth, age 52. He's a top executive with Morley Tobacco, up from Raleigh-Durham for a meeting. He arrived on an evening train.",27
MULDER,How do you know he's missing?,6
RYAN,"He set a wakeup call for 6 AM this morning. When the operator tried to place it, there was no answer.",21
MULDER,"Hmm, scotch. It looks like he barely touched it.",9
RYAN,"Needless to say, he missed his meeting. Uh, they waited three hours before sending hotel security up. The door was locked, security chain fastened, and when they broke in, no Patrick Newirth.",32
MULDER,Windows?,1
RYAN,"Locked from the inside. We're six stories up, no fire escape. No way in or out of this room.",19
RYAN,"Agent Scully, what are you looking at?",7
SCULLY,"Uh, the heat register.",4
RYAN,You don't think anyone could have squeezed in there?,9
MULDER,You never know. You guys turn up any forensics evidence at all?,12
RYAN,"Uh, just this.",3
MULDER,"Scully, look at this.",4
SCULLY,What is it?,3
RYAN,We don't know. The hotel claims it wasn't here before Mr. Newirth checked in. And there were similar burn marks at each of the previous crime scenes.,27
SCULLY,Was Patrick Newirth a smoker?,5
RYAN,"No, according to his wife, he loathed cigarettes.",8
SCULLY,"Well, that's strange for someone who works for a tobacco company.",11
MULDER,Did you run a test on it?,7
RYAN,"Yes, sir. It's mostly carbon with some potassium and trace minerals.",11
SCULLY,Could be the residue from burnt human flesh.,8
MULDER,Does this look like an arm to anybody?,8
RYAN,An arm?,2
SCULLY,"What are you thinking, Mulder?",5
MULDER,"This burn mark, it's right where I'd be if I were standing here answering the door, right?",17
RYAN,Yes.,1
MULDER,"And I wouldn't be looking out the peephole unless there was something to look at, right?",16
RYAN,That makes sense.,3
MULDER,"Detective Ryan, can you have this bulb dusted for prints?",10
RYAN,Of course.,2
MULDER,And can you run those against Mr. Newirth's. Do you have Mr. Newirth's prints?,14
RYAN,We got them from his toiletries and check-in slip.,9
MULDER,"OK, can you check those against all hotel employees and registered guests?",12
RYAN,Anything else?,2
MULDER,"Yeah, do you have the name of the last missing person?",11
RYAN,"Uh, that would be Margaret Wysnecki.",6
MULDER,"Thanks, that should do it. Is this your first case, Detective?",11
RYAN,Yes sir.,2
MULDER,Any idea why they gave it to you?,8
RYAN,"No one else wanted it. Because of the lack of evidence, this is still officially a missing persons case, not likely to end up on the front page of the daily paper.",32
MULDER,"Well, don't be so sure about that.",7
RYAN,Can I ask what you think may have happened?,9
MULDER,At first blush? Spontaneous human combustion.,6
SCULLY,You're doing just fine.,4
SCULLY,Having a little fun?,4
MULDER,What are you talking about?,5
SCULLY,Spontaneous human combustion?,3
MULDER,I have over a dozen case files of human bodies reduced to ash without any attendant burning or melting. Rapid oxidation without heat.,23
SCULLY,Let's just forget for the moment that there's no scientific theory to support it.,14
MULDER,OK.,1
MULDER,"Hey, Scully, can you spare a prophylactic?",7
MULDER,"What are the odds of that, huh?",7
SCULLY,Darkness covers a multitude of sins.,6
MULDER,Check this out. My newest tool in the fight against crime - $49.95 at your local hardware store.,17
SCULLY,"Neat trick. For your birthday, I'll buy you a utility belt.",11
SCULLY,"Look at this, Mulder.",4
