speaker,line,words
ANNOUNCER,Previously on the X-Files...,4
SKINNER,Dr. Merkmallen found an artifact in his country. He claimed it contained a message.,14
DR. MERKMALLEN,I told you of its power.,6
MULDER,Genuine artifact.,2
MULDER,"Dr. Barnes has one now, too. That's why he killed Solomon Merkmallen.",12
SCULLY,"What is it, Mulder?",4
MULDER,"Sounds weird, but I think it's that thing.",8
DR. HARRIMAN,He's got extremely abnormal brain function. There's brain activity in areas we've never seen before.,15
DIANA FOWLEY,He said I was the only one who'd believe him.,10
SCULLY,You're a liar.,3
SCULLY,The passage from the Bible on an artifact that you were saying is extraterrestrial?,14
MULDER,"That would mean that our progenitors were alien, that our genesis was alien, that we're here because of them, that they put us here. And once you see all the mysteries of science, everything we can't understand or won't explain, everything in the X-Files, it all leads to them; it's from them.",52
SCULLY,"I came in search of something I did not believe existed. I've stayed on now, in spite of myself. In spite of everything I've ever held to be true. I will continue here as long as I can... as long as you are beset by the haunting illness which I saw consume your beautiful mind. What is this discovery I've made? How can I reconcile what I see with what I know? I feel this was meant not for me to find but for you... to make sense of -- make the connections which can't be ignored... connections which, for me, deny all logic and reason. What is this source of power I hold in my hand -- this rubbing -- a simple impression taken from the surface of the craft? I watched this rubbing take its undeniable hold on you, saw you succumb to its spiraling effect.",145
SCULLY,Now I must work to uncover what your illness prevents you from finding. In the source of every illness lies its cure.,22
SCULLY,Who's there? Who's there?!,4
DR. HARRIMAN,"He's been quiet for the last 36 hours, but he doesn't sleep. There's activity in the temporal lobe we've just never seen. It won't allow his brain to rest or shut down, manifesting in episodes of aggression... sometimes against himself.",40
SKINNER,You can't sedate him?,4
DR. HARRIMAN,Yes. We slow him down for short periods and put him in the neuro ward. It's the only way we're able to run tests. But over time... his brain is going to just die.,34
SKINNER,"Agent Mulder? Agent Mulder, can you hear me?",8
SKINNER,"Do you know who I am? It's Skinner, Walter Skinner. Can we get him out of here and get him some fresh air, at least?",25
DR. HARRIMAN,Let him go! He can't breathe!,6
SKINNER,"Let go, Mulder. I don't want to hurt you.",9
ORDERLY,"Come on, let him go.",5
DR. HARRIMAN,"Stay there, Mr. Skinner.",4
SKINNER,"No, it's all right. Just let me get up.",9
DR. HARRIMAN,Five milligrams of Haloperidol IM! I want him in five-point restraints!,11
ORDERLY,"Yes, sir.",2
DR. HARRIMAN,Let's keep him locked down all night.,7
AMINA NGEBE,My God. What happened here?,5
AMINA NGEBE,They said you speak English.,5
SCULLY,What do you want?,4
AMINA NGEBE,I am sorry. You must wonder who I am. I am Amina Ngebe. I've come to see your discovery.,19
SCULLY,I asked that no one be told about it... nor that I'm here.,13
AMINA NGEBE,"Yes. Well, uh, it is still a secret but a well-known one, I'm afraid. Dr. Merkmallen called it the African Internet, God rest him.",24
SCULLY,You knew Dr. Merkmallen?,4
AMINA NGEBE,"I, too, am a professor of biology at the university but, uh, hardly one qualified to say what must have gone on here.",23
SCULLY,"Well... I was working late last night by lamplight and, uh, I saw a man who vanished... and then they just swarmed.",22
AMINA NGEBE,"You must not let the men know what happened to you last night-- the vanishing man, none of it.",19
SCULLY,Why?,1
AMINA NGEBE,"They are animists, believing nature is vengeful. They'll take this as a sign to leave what you have found alone, a bad omen.",23
SCULLY,Caused by the ship out there?,6
AMINA NGEBE,Mmm. Caused by God... who will be much less helpful than those men if we are to continue this work.,20
MAN IN WATER,: Help... Help me!,3
MAN IN WATER,": The water, it boils!",4
SCULLY,Let's get him in the truck! He's got to get to a hospital! Hospital!,14
SCULLY,Okay!,1
AMINA NGEBE,You see? Another warning.,4
SKINNER,Agent Mulder. I want to help you. I don't know what to do. I don't have much time.,18
SKINNER,Can you write?,3
SCULLY,"I feel you slipping away from me with every minute I fail here. What are the elusive meanings I cannot see that are hidden here? If I could understand it, know how it affected you, learn how to use its power to save you.",44
SCULLY,What is it?,3
SCULLY,"Look, I'm sorry. I don't speak your language.",8
DR. BARNES,Perhaps you need an interpreter.,5
SCULLY,Stay away from me!,4
DR. BARNES,Are you going to hack me up in front of my driver? Word is you're under suspicion already.,18
SCULLY,You're the murderer here.,4
AMINA NGEBE,Murderer of who?,3
SCULLY,Dr. Merkmallen!,2
DR. BARNES,I murdered no one but I won't be sent away from here. I know what we've got. This craft that's come ashore? Its extraterrestrial origins?,25
SCULLY,You don't even believe in that.,6
DR. BARNES,Nor do you. But here we are.,7
SCULLY,I'm here only to help my partner.,7
DR. BARNES,Then let me help you... to read it. I've spent my life looking for what's out there... the answer to what theologians have pondered for millennia... the key to everything... to life itself. I've already been threatened by men in Washington about what I know. How long would your secret keep if you were to send me away?,58
SCULLY,What is it?,3
AMINA NGEBE,It is a sea of blood.,6
SKINNER,Michael Kritschgau.,2
MICHAEL KRITSCHGAU,It's 6:00 in the morning.,5
SKINNER,I don't know if you remember me. My name's Skinner. I'm here to talk to you about Fox Mulder.,19
MICHAEL KRITSCHGAU,"Yeah, I'm listening.",3
SKINNER,"He's in serious condition, Mr. Kritschgau; he has to talk to you.",12
MICHAEL KRITSCHGAU,I got nothing to say to the man.,8
MICHAEL KRITSCHGAU,"You know, I had a job... with a government pension coming and two years ago, Fox Mulder asked me to do him a favor -- blow the whistle on Uncle Sam's UFO propaganda mill. And all it got me was this swanky address.",42
SKINNER,"Look, he doesn't have much time.",6
MICHAEL KRITSCHGAU,"Hey, I'm not a doctor. What is it you think I can do for him?",15
SKINNER,All I know is that he asked for you.,9
MICHAEL KRITSCHGAU,Can he even recognize me?,5
SKINNER,"To be honest, I don't know.",6
SKINNER,Agent Mulder?,2
SKINNER,His brain is on constant redline. They've got him on Haloperidol just to keep him on the monitors.,18
MICHAEL KRITSCHGAU,Haloperidol?,1
SKINNER,He becomes violently agitated. He just won't speak or sleep even when he's medicated. There's activity in part of his brain they've never seen before.,25
MICHAEL KRITSCHGAU,Was his...,2
SKINNER,Was his what?,3
MICHAEL KRITSCHGAU,I started to ask you a question about his prior mental state but he anticipated it. Second time. Agent Mulder?,20
SKINNER,He claimed to be hearing voices.,6
MICHAEL KRITSCHGAU,I might know why Agent Mulder asked for me. Doesn't mean I can do anything for him.,17
SKINNER,What just happened?,3
MICHAEL KRITSCHGAU,I think he responded to a question that... I didn't ask.,11
SKINNER,I don't know how long we can keep him out of that unit. We can be held responsible.,18
MICHAEL KRITSCHGAU,"You asked me to come down here. You better be prepared to accept the responsibility, Mr. Skinner.",17
SKINNER,You're going to inject him?,5
MICHAEL KRITSCHGAU,No. You are. With a thousand milligrams of Phenytoin.,9
SKINNER,"I'm not injecting him with anything, not now and not till after I've talked to his doctor.",17
MICHAEL KRITSCHGAU,He's being given the wrong treatment.,6
SKINNER,You're not a doctor.,4
MICHAEL KRITSCHGAU,"No, but I've seen his condition. Who do you want to trust?",12
SKINNER,Seen it where?,3
MICHAEL KRITSCHGAU,"In a study. There's something like E.S.P. called ""remote viewing.""",10
SKINNER,Whose study?,2
MICHAEL KRITSCHGAU,"The company's-- the CIA, Mr. Skinner. Extreme subjects would go into arrest their minds working harder than their bodies could sustain. They became, in effect, all brain. Phenytoin was the only thing that could slow the electrical impulses to a normal rate.",42
SKINNER,Agent Mulder knew about this. That's why he asked for you.,11
MULDER,They're coming.,2
DIANA FOWLEY,Who last saw him?,4
ICU NURSE,I'm looking here.,3
DIANA FOWLEY,"I come here and find a patient missing, and nobody knew?",11
ICU NURSE,"I just came on. Sorry. Fox Mulder, right? He's restrained, it says; and he's not in his bed?",18
DIANA FOWLEY,No. How many times can I say it?,8
ICU NURSE,He's right here.,3
DIANA FOWLEY,He wasn't here when I came in.,7
SKINNER,"No, we just found him down the hall. I just got him back into bed.",15
ICU NURSE,Who are you?,3
SKINNER,"I'm his boss,...... and hers.",5
ICU NURSE,"Well, I don't know how he could have gotten up by himself or pulled all this stuff out.",18
SKINNER,"Well, I hope someone's calling a doctor making a report on this.",12
ICU NURSE,He's got to remain in this bed.,7
SKINNER,"I'll stay with him. Agent Fowley, why don't you see if you can help her?",15
SKINNER,"That's an order, Agent Fowley.",5
MULDER,She knows.,2
SKINNER,You can read her mind?,5
MULDER,Yeah. We got to act fast.,6
SKINNER,The doctor's on his way.,5
MULDER,No doctors. Get me Scully.,5
SKINNER,I don't know where she is.,6
MULDER,Look... I know you've been compromised. I know Krycek is threatening your life... Blackmailing you. You don't think I can trust you but it's not you that I need.,29
SKINNER,Then who?,2
MULDER,Him. Kritschgau. Ask him to prove it.,7
MICHAEL KRITSCHGAU,Prove what?,2
MULDER,What's causing this.,3
MICHAEL KRITSCHGAU,It's a brain abnormality. It's how you're able to read minds.,11
MULDER,What's causing this is alien. That's why my doctors can't help me.,12
MICHAEL KRITSCHGAU,"I don't believe in aliens, Agent Mulder. I think you know that.",12
MULDER,I do. That's why I need you.,7
SCULLY,"The work here is painstaking-- a slow and tedious piecing together. It appears to be a craft, its skin covered in the intricate symbols you and I both saw but which I now understand are part of a complex communication. Dr. Barnes has broken some of the symbols into letters using an ancient Navajo alphabet and, though it has helped to uncover some of what's here it has also made for greater confusion. On the top surface of the craft I'm finding words describing human genetics. Efforts to read the bottom of the craft have been harder. Our workers were scared away by phenomena I admit I can't explain-- a sea of blood, a swarm of insects. But what little we have found has been staggering-- passages from the Christian Bible, from pagan religions, from Ancient Sumeria... science and mysticism conjoined. But more than words, they are somehow imbued with power. I've ignored warnings to quit this work, remaining committed to finding answers, afraid only that our secret here won't last and that I might be too late.",178
AMINA NGEBE,"I have something to show you...more pieces of the puzzle. I couldn't believe it. I thought I was making it up in my head, that it could not be true.",30
