speaker,line
MULDER,"My name is Fox Mulder. Since my childhood, I have been obsessed by a controversial global phenomenon. Next, a head shot of a young Samantha; a photo of 12 year-old MULDER dressed in a Star Trek outfit standing next to his sister, her left arm around his shoulder; and finally a blurry photo of 4 aliens, their outlines silhouetted behind a white screen"
MULDER,"Since my sister disappeared when I was 12 years old, in what I believe was an alien abduction."
MULDER,"My obsession took me to the FBI, where I investigated paranormal science cases through the auspices of a unit known as the X-Files. Through this unit I could continue my work on the alien phenomenon, and the search for my missing sister. Next, a photo of MULDER and SCULLY standing together outside in the rain from ""The Pilot"". Then SCULLY in scrubs as she performs an autopsy, MULDER watching on. Another shot of MULDER and SCULLY working a case, followed by SCULLY's FBI ID and badge. A shot of MULDER lying gravely ill in a hospital bed, SCULLY at his bedside holding his hand with her head on his chest. A shot of MULDER and SCULLY outside at night, guns drawn. MULDER kneeling, holding a stricken SCULLY in his arms. Finally, a recent photo of MULDER and SCULLY embracing, his chin on her forehead"
MULDER,"In 1993, the FBI sought to impugn my work, bringing in a scientist and medical doctor to debunk it, which only deepened my obsession for the better part of a decade, during which time that agent, Dana Scully, had her own faith tested. We see the stack of photos start to smoulder, smoke rising towards the camera."
MULDER,"In 2002, in a change of direction and policy, the FBI closed the X-Files, and our investigation ceased. The smouldering photos suddenly burst into flames. The topmost photo of MULDER and SCULLY starts to bubble and curl as it is engulfed in the fire."
MULDER,"But my personal obsession did not. We cut to amateur footage of 3 black helicopters flying low over a 2-storey building and metal roadbridge in pursuit of a flying saucer. Amateur footage taken whilst driving along a highway showing a triangular spaceship flying over the countryside. Ancient rock paintings showing primitive drawings of alien visitations. A Biblical painting showing a flying saucer hovering atop a mountain, rays of light emanating from its underside illuminating an individual on the ground. Finally, footage taken from a high-rise office block window, several storeys up, showing 4 spaceships flying in formation over a large city."
MULDER,"There are 10,000 sightings each year in North America alone, and so it's been since the dawn of time. Stone Age and even biblical references, into our modern age. Black and white footage of a small single-seater plane flying over a snow-capped mountain range. Video taken from inside the cockpit showing 9 spacecraft flying in close formation. The front page of the Roswell Daily Record newspaper from Tuesday, July 8, 1947, with headline ""RAAF Captures Flying Saucer On Ranch in Roswell Region"" and subtitles ""No Details of Flying Disk Are Revealed"" and ""Roswell Hardware Man and Wife Report Disk Seen"". The front page of the Roswell Daily Record from Wednesday, July 9, 1947, with headline ""Gen. Ramey Empties Roswell Saucer"" and subtitles ""Sheriff Wilcox Takes Leading Role in Excitement Over Report 'Saucer' Found"", ""Send First Roswell Wire Photos from Record Office"" and ""Ramey Says Excitement Is Not Justified. General Ramey Says Disk Is Weather Balloon""."
MULDER,"In 1947, Kenneth Arnold saw nine unidentified craft out the window of his small plane, followed by the historic crash at Roswell and its legendary cover-up. Grainy black and white nighttime footage of 15 or more small white craft flying in close formation behind the Capitol. Footage from inside the United Nations chamber, the United States representative holding a 2-foot wide flat disk"
MULDER,"In 1957, UFOs were spotted over our nation's capital. The Pentagon held press briefings. Amateur colour footage taken from the ground showing formations of 4 and 3 fighter aircraft pursuing 3 bright white flying saucers."
MULDER,"Multiple witnesses in 1967 at Malmstrom Air Force Base in Montana see fighters scramble but easily outrun by UFOs that climb upwards of 200,000 feet - twice the service ceiling of our highest-flying spy planes. Footage of astronaut Edgar Mitchell getting into his spacesuit with the help of a NASA technician. Mitchell descending the steps of the lunar lander onto the surface of the moon. Grainy footage of a supposed alien autopsy. News footage of Cyrus Vance and Gerald Ford. News releases and printed statements from Congressman Gerald R. Ford, House Republican Leader, stating ""anxious to see a congressional investigation of UFO's"", and that a secret subcommittee had held hearings in 1961 about the subject."
MULDER,"Dr. Edgar Mitchell, the sixth man to walk on the Moon, cites secret studies on extraterrestrial materials and bodies. Secretary of State Cyrus Vance and future president Gerald R. Ford validate the UFO phenomenon in official government memoranda. A flying saucer drops below the cloud layer into a rough and mountainous area of New Mexico, smoke pouring from as it descends in a tight arc before slamming hard into the earth and skimming along the ground, churning up the surface and damaging the craft."
MULDER,"But now people only laugh, and only Roswell is remembered. A closeup camera shot panning around the crashed craft. The upper surface mostly intact from the crash whilst smoke billows from the wreckage."
MULDER,But we must ask ourselves: are they really a hoax? Are we truly alone? We see an alien hand touching a blackened window from the inside of the craft. A survivor.
MULDER,"Or are we being lied to? A lot of exposition to start the new mini-series, bringing new viewers up to speed and reminding us old viewers of what drew us to the series back in the 1990's. As the opening credits roll we are greeted with an almost-original version from the first season, albeit with the welcome addition of Mitch Pileggi as Skinner. THE TRUTH IS OUT THERE"
DOCTOR,Can I ask how much longer?
MAN IN BLACK,"Two shakes of a lamb's tail, Doc. The bus suddenly hits a divot as it leaves the blacktop. The DOCTOR looks apprehensive about what is to come. The bus rolls to a stop in front of a low wire fence on a level area of ground. The door opens. The DOCTOR is first off the bus, holding a large black medical bag and his cap under his right arm. He straightens up and stops, staring into the distance. The MAN IN BLACK, tall and angular, joins him at his side, unperturbed. He puts on his black fedora and quickly sizes up the unsure DOCTOR."
