speaker,line,words
DOGGETT,He's looking right at us. Fifty bucks says it's Lukesh and he knows we're here. Does it look like him to you?,22
FOLLMER,Let him get to the mailbox.,6
DOGGETT,It's Lukesh. I don't need him opening his mailbox to prove it.,12
FOLLMER,"Patience, Agent Doggett.",3
DOGGETT,"We have an agent alone with a sicko who cutting out women's tongues, a guy known for his vanishing act.",20
FOLLMER,"We've got the block surrounded. He isn't vanishing anywhere. And your partner volunteered. Now, open the 4-D.",17
FOLLMER,"Agent Reyes, stand by.",4
DOGGETT,What the hell is this?,5
DOGGETT,"Monica, don't.",2
FOLLMER,Agent Reyes - keep your distance. Don't let him see you following.,11
DOGGETT,"Monica, where are you?",4
REYES,In a stairwell. I lost sight of him. I think he might be,13
REYES,AGHHH!,1
FOLLMER,"Agent down, back stairwell, get EMS here now!",8
FOLLMER,Doggett! He's got her gun!,5
DOGGETT,"Erwin Lukesh! Federal Agent! Turn around, you son of a bitch.",11
DOGGETT,Back here!,2
REYES,Hey!,1
DOGGETT,"So, this is how the uptown crowd lives, huh?",9
REYES,This is it!,3
DOGGETT,"So have you got anything really heavy that I can move for you, a dresser, a fridge.",17
REYES,"No, but thank you, John, you just missed movers.",9
DOGGETT,You don't say?!,3
DOGGETT,I brought you a housewarming gift.,6
REYES,Hot dogs?,2
DOGGETT,"Polish sausage! It's the best in the city, there is a . You'll be able to walk to it.",18
REYES,Wow.,1
DOGGETT,Try one.,2
REYES,Mmmm. I'm back in Gdansk.,5
REYES,Let me get some plates.,5
DOGGETT,Plates? For crying out loud... who eats Polish sausage with plates?,11
REYES,Hello?,1
SKINNER,"Agent Reyes, it's AD Skinner.",5
REYES,"Yes, sir?",2
SKINNER,"There's no easy way to say this, I'm sorry to do it on the phone.",15
REYES,What is it?,3
SKINNER,It's Doggett. He's been found in an alley off Dillon Park. He's been shot.,14
REYES,"I'm sorry, what did you say?",6
SKINNER,They're taking him in the Washington Memorial. Agent?,8
REYES,"Sir, what you're saying is...",5
SKINNER,Agent Reyes? Agent Reyes?,4
REYES,Excuse me?,2
FOLLMER,Monica?,1
REYES,"Brad? Skinner called you, too?",5
FOLLMER,"He's staying at the crime scene. I'm sorry. I've been put in charge of this investigation. I promise you, it's my top priority. I will find a person who did this. I just need to find out why your partner was in that alley this morning.",46
REYES,"He wasn't. He was with me, at my apartment. He was with me when Skinner called me.",17
FOLLMER,I'm not sure I'm following.,5
SCULLY,"Monica, I'm so sorry. Agent Doggett is just coming out of surgery and they're moving him to the ICU.",19
FOLLMER,How's it look?,3
SCULLY,"If he pulls through this, it's likely that he'll be paralysed for life.",13
REYES,"I haven't understood one single word I've heard since I got here. Whoever you're talking about, it's not John Doggett.",20
FOLLMER,You have found the bullet?,5
SKINNER,9mm slug. Found it in the alley lodged in the wall. Most likely from the Sig Sauer P226 or 228.,20
FOLLMER,Possibly FBI issue.,3
SKINNER,I don't know what you're thinking but this didn't come from Doggett's weapon. Ballistics don't match and his gun was never fired.,22
FOLLMER,"Assistant Director. I'd appreciate case updates in a timely fashion. For instance, this bullet... how long have you have it? An hour? Two?",23
SKINNER,Thereabouts.,1
FOLLMER,"It just we need to keep the lines of communication open, that's all I'm asking. I want this slug run through our database of FBI-issued pistols.",26
SKINNER,Like I told you the round didn't come from Doggett's weapon. You're not saying another agent could have done this.,20
FOLLMER,"Just run it, please.",4
REYES,"I just... I don't understand how any of this is possible. He was with me, Dana, in my apartment. How can this be?",23
SCULLY,I saw something once. It's only been the last couple of years that I've... fully come to terms with it. In '94 my father passed away... and that night... at the very moment that it happened he came to me. I like to believe that he came to say goodbye.,50
REYES,A visitation. I think that's wonderful. A blessing. But that's not what happened to me.,15
SCULLY,Scully.,1
SKINNER,"It's me, is Reyes with you?",6
SCULLY,"Yeah, she's here, we're both at the hospital.",8
SKINNER,I need you to bring her to Sixth District Police Station. I'm on my way there myself.,17
SCULLY,What's this about?,3
SKINNER,I'll tell you when you get there.,7
REYES,What's going on?,3
SKINNER,"Agent Reyes, wouldn't you mind stepping inside, please?",8
FOLLMER,"Hi, Monica. Have a seat.",5
FOLLMER,I wanted you and I to have a chance to talk alone to clear a few things up. A few details of your story.,24
REYES,My story?,2
FOLLMER,"Well, your so certain that you were with Agent Doggett when he was shot?",14
SCULLY,What is this?,3
SKINNER,Just wait.,2
FOLLMER,Is that a true statement?,5
