speaker,line,words
TV COOKING SHOW,"This... this heare is a special gumbo. This gumbo gonna make your tongue roll outta your head and dial 911. Take your best large onion and chop it up like this. Gonna make you cry – cry you’ll be so happy. And a big ole teaspoon of this cayenne. Mix it in good. Now it’s all gonna come to a boil. Don’t watch that gumbo pot, or she ain’t gonna roll for you. Add in this nice shrimp and keep the flame going for twenty minutes. Now some good parsley and them onion tops because Uncle Bayou don’t want nothin to go to waste.",104
VOICE,Where’s the money! You trying to rip me off?,9
MAN,Huh?,1
VOICE,You trying to rip me off?!,6
POLICE RADIO,"Dispatch, this is unit seven investigating a reported disturbance at 214 Prospect avenue, over.",14
DISPATCH,Copy that ??,2
JIMMY THE COP,Jeez.....,1
JIMMY THE COP,Police! Don’t move! Keep ‘em in the air.,8
KEITH THE COP,"Cuff her, Jimmy.",3
JIMMY THE COP,"Damn, she’s got blood all over her. Hey Keith. I think you might want to check this out. I think she’s blind.",22
SCULLY,The deceased is Paco Ordonez aka Little Monster. Street dealer. Liked to use grade school kids as couriers. Out on bail for possession with intent. Two-time loser looking at life.,30
MULDER,I have the same pair of pants. Who exterminated him?,10
PENNOCK,That’s a subject of some debate.,6
SCULLY,The killer carved a single C-shaped cut up through the right kidney. Fatal blood loss came in under 30 seconds.,20
MULDER,"I’m going to assume the killer knew what he was doing and that ""C"" wasn’t one of his initials?",19
PENNOCK,"Your assumptions are correct. Only the killer isn’t a he. Marty Glenn -- 28. We found her at the scene doing a formula 409. Under normal circumstances, my department would have her dead to rights. There’s just one little snag.",39
MULDER,She’s been blind since birth.,5
PENNOCK,"Now before your heart goes out to her, check out her rap sheet.",13
MULDER,"""Fraud... petty theft.... aggravated assault.""",5
PENNOCK,Believe me. She’s a real piece of work.,8
SCULLY,"Her juvenile records are sealed, but Detective Pennock has it on authority that two of them were drug busts – possession, and possession with intent.",25
MULDER,"So, what, you think that uh, she caught Little Monster trying to snatch the pebble from her hand?",18
PENNOCK,Nothing else makes sense.,4
MULDER,Including how a blind girl could get the drop on an ex-con and bleed him out with surgical precision.,19
SCULLY,"Ms. Glenn took a $60 cab ride alone straight to the motel. The cabbie instructed her to room 10, which she asked for specifically, and then told him to get lost. 30 minutes later, dead heroin dealer.",37
MULDER,"All right, so you really believe that she did this? You just don’t know how.",15
PENNOCK,"Well, I’ve got a theory, if you want to hear it.",11
MULDER,nan,1
PENNOCK,"I think she’s got some kind of .. sixth sense, lets her see in the dark... like a bat or something. I got 48 hours to convince the DA or wait till she kills somebody else.",35
MULDER,Well how soon can I meet her?,7
MARTY,Oh... it’s you.,3
PENNOCK,See what I mean?,4
MARTY,It’s not magic. It’s your crappy cologne. Who’s that with you?,11
MULDER,Special Agent Mulder.,3
MARTY,And the lady?,3
SCULLY,"Uh, Special Agent Scully. We’d like to ask you some questions, Marty.",12
MARTY,"You must be having trouble with your case, Detective.",9
PENNOCK,Fine. Suit yourself.,3
MARTY,What are you staring at?,5
MULDER,An innocent woman. I hope.,5
MARTY,"So, I’m all ears.",4
SCULLY,I’m curious why you’ve refused your right to an attorney.,10
MARTY,"Unless you’re going to charge me, I don’t plan on needing one.",12
SCULLY,"Well, you could be charged right now .. for the fact that you’ve given no compelling reason why you were in that motel room. What were you doing there, Marty?",29
MARTY,Putting mints on the pillows.,5
SCULLY,"The cabbie has given a statement that you asked specifically for room 10, which would put you at the murder scene right about the time of death.",27
MARTY,Is that a crime?,4
SCULLY,If you were involved in any way.,7
MARTY,"You mean like, an eyewitness?",5
SCULLY,Did you intend to buy drugs from Paco Ordonez?,9
MARTY,nan,1
SCULLY,Did you kill him?,4
MARTY,"Eh, maybe it was just his time to go. I mean, other than the stab wound, did you check his cholesterol level or anything?",24
MULDER,How did you know there was just one stab wound?,10
MARTY,Did I say that?,4
MULDER,Mmm hmm.,2
MARTY,"I guessed. You know what the problem is? You’ve got no murder weapon. And I bet that’s driving Stinky back there crazy. Isn’t it, Stinky! Why is he hiding? It’s not like I can see him. You know what I did with it, Detective? I fed it to my seeing eye dog.",52
MULDER,"I’m curious, Marty.",3
MARTY,"Yeah, about what?",3
MULDER,"If you didn’t kill him, why you were at the crime scene cleaning up and doing such a piss poor job of it.",23
MARTY,nan,1
MULDER,"Why don’t we just stop playing games here, okay? I mean you probably don’t know a feather duster from a duck’s ass, do you? I mean it’s ridiculous. You’re a blind woman, for God’s sake. So why don’t you just tell us who did kill Paco Ordonez, and Agent Scully and I can go arrest him, and you can go home and work on your angry-young-blind-girl comedy routine.",68
MARTY,nan,1
MULDER,Or we can just... stay here and entertain each other for the next 48 hours.,15
MARTY,Go to hell.,3
PENNOCK,See what I mean? Put a knife in that hand....,10
MULDER,All I see is a woman who’s adapted to her impairment admirably. She’s honed all her other senses around her blindness.,21
PENNOCK,She’s taunting you.,3
MULDER,"I dunno I - I think she just wants us to think she’s strong, independent. It’s important to her.",18
PENNOCK,She wants us to know she did it.,8
MULDER,I don’t think she did do it.,7
PENNOCK,"Then why won’t she help us? It’s been my experience that innocent people don’t act like that, Agent Mulder.",19
SCULLY,"She wouldn’t explain her presence in the crime scene, and she avoided all discussion about the murder weapon.",18
PENNOCK,She knew there was only one stab wound. You caught that yourself.,12
MULDER,Yeah.,1
SCULLY,"Detective, did you snake all of the plumbing in the bathroom?",11
PENNOCK,I turned that place upside down and inside out.,9
SCULLY,"Well, if we find the weapon with her fingerprints on it, she’s as good as convicted. Short of that, she's gonna walk.",22
PENNOCK,"Well, maybe I can get you to come out to the crime scene one last time.",16
SCULLY,Okay.,1
MULDER,You go ahead. I want - I want to – I want to investigate something.,14
EXAMINER,"I’m going to ask you a series of questions. Respond only with a ""yes"""" or ""no."" Do not judge the content of the question, simply answer truthfully. Is your full name Martelle Francis Glenn?",34
MARTY,Yeah.,1
EXAMINER,Are you a resident of the State of Delaware?,9
MARTY,"Let’s just cut through the bull, or I’m going to decide not to cooperate at all.",16
MULDER,"All right, let's, uh, get to it.",7
EXAMINER,I need to establish a baseline.,6
MARTY,"I’m a resident of the State of Delaware, okay? Let’s move on.",12
EXAMINER,Is it your intent to lie during the course of this examination?,12
MARTY,I’m sure you’ll tell me if it is.,8
EXAMINER,"Did you stab Paco Ordonez, also known as Little Monster?",10
MARTY,Nope.,1
EXAMINER,Did you plan or arrange the murder of Paco Ordonez?,10
MARTY,No.,1
EXAMINER,Have you ever met Paco Ordonez?,6
MARTY,No.,1
EXAMINER,Would you ever have occasion to see Paco Ordonez or know him in any other way? Strike that. Have you ever had occasion to interact with Paco Ordonez or know him in any other way?,35
MARTY,No.,1
EXAMINER,Were you present during the murder of Paco Ordonez?,9
MARTY,No. EXAMINER hesitates.),3
MARTY,Why don’t you just ask me yourself?,7
MULDER,Did you see the murder?,5
MULDER,Did you see the murder?,5
MARTY,I don’t see anything.,4
EXAMINER,"Yes or no, only please.",5
MARTY,Then the answer is no.,5
PENNOCK,"No blood trails leading out of the bathroom, windows are painted shut, and as you can see, not a lot of places she could have stashed it.",27
SCULLY,Scully.,1
MULDER,She’s lying.,2
SCULLY,About what?,2
MULDER,"She knew Paco Ordonez, but I don’t think she murdered him.",11
SCULLY,How do you know that she knew him?,8
MULDER,Well I made her take a polygraph test. She passed on every question except one – did she *see* the murder.,21
SCULLY,Would you like me to remind you why polygraphs are inadmissible in court?,13
MULDER,"No, she cracked, Scully. She was lying. I’m sure of it.",11
SCULLY,"Well, maybe she was, Mulder, but don’t make me state the obvious. She didn’t see anything.",16
MULDER,Not with her eyes.,4
SCULLY,"Well, how else did she see? Bat vision?",8
MULDER,I don’t know.,3
SCULLY,"Well, Mulder, when you figure it out, give me a call.",11
SCULLY,Detective Pennock.,2
WOMAN,"No thanks, I’m not looking for any company. Hey, listen, buddy! I said get your hands off of -",18
MARTY,"Somebody, I need a phone! I get to call a lawyer, somebody, I need a phone!",16
MARTY,"I got it. You know, I’m sure the ACLU is going to be very interested in how you violated a blind woman’s rights by eavesdropping on her private phone call.",30
GUARD,nan,1
MARTY,Same to you.,3
BARTENDER,"Blarney Stone. Uh, let’s see. Guy hitting on a redhead at the end of the bar?",16
WOMAN,"I told you, stop it!",5
BARTENDER,"Yeah, we got somebody matching that description.",7
BARTENDER,It’s for you.,3
OLDER MAN,Yeah?,1
MARTY,Leave her alone.,3
OLDER MAN,Who is this?,3
MARTY,You just leave her alone. I’m watching you.,8
MARTY,Let me guess... Your killer is OJ Simpson.,8
SCULLY,They were found at the crime scene with blood all over them. We believe they were worn by Paco Ordonez’s killer.,21
MARTY,You’re good.,2
PENNOCK,We think they belong to you.,6
MARTY,"Well, they don’t.",3
PENNOCK,"Well, how ‘bout you try one on for us.",9
MARTY,And put my prints all over them?,7
SCULLY,"Your prints are already all over them, Marty.",8
PENNOCK,Hold still.,2
MARTY,"Are you happy, Detective?",4
