speaker,line,words
COMPUTERIZED VOICE,T-minus ten seconds to engagement.,5
LO-FAT,Woo-hoo-hoo!,1
MOXIE,Lo-Fat's going off!,3
LO-FAT,Going to kill! Going to kill!,6
RETRO,"Just stay out of my way, Geeks. I'm going to the next level today. I'm a death machine.",18
MOXIE AND LO-FAT,Woo-hoo!!!,1
COMPUTERIZED VOICE,Status: Combat ready. Situation: Guerrilla units in immediate vicinity of insertion module.,12
GEEKS,Woo-hoo! Woo! Let's do this! Bring it on!!,8
IVAN,Look at these heart rates.,5
PHOEBE,If I don't let these boys out they're going to kill each other.,13
GEEKS,Woo-hoo! Woo! Woo!,3
COMPUTERIZED VOICE,... 3... 2... 1... Engage.,4
GEEKS,Woo-hoo!,1
MOXIE,You see 'em?,3
RETRO,"They're out there, Geeks. Looking to fry your huevos.",9
MOXIE,"Call it, Retro! Call it!",5
RETRO,Now!,1
IVAN,Whoa! It's a total massacre out there.,7
MOXIE,"Phase two, Geeks!",3
[CLOSED CAPTIONING,We know you're up there! Prepare to die! ],8
RETRO,"Ready, knuckleheads?",2
MOXIE,Flank right! LO-FAT; Flank left!,5
GEEKS,"Go! Move out, baby! Come on, baby!",7
MOXIE,Lo-Fat's down.,2
RETRO,"You got me, Moxie?",4
MOXIE,Got you covered.,3
IVAN,Retro's in.,2
PHOEBE,Adrenaline redline.,2
IVAN,The bloodthirst is unquenchable.,4
RETRO,Moxie?,1
RETRO,Who's there?,2
RETRO,Who are you?,3
MAITREYA,I am Maitreya. This is my game.,7
MULDER,"Agents Mulder and Scully, FBI. We're expected.",7
SECURITY GUARD,I need to scan your ID.,6
SECURITY GUARD,"Retina scan, please.",3
MULDER,Cool.,1
SECURITY GUARD,Ma'am?,1
SECURITY GUARD,I'll need you to look over those nondisclosure agreements.,9
SCULLY,"""To protect all proprietary or intellectual property owned by F.P.S., a private California corporation under the harshest penalty of law.""",20
SECURITY GUARD,"Signature at the bottom, please.",5
SCULLY,F.P.S.,1
MULDER,First Person Shooter.,3
SCULLY,Video games.,2
MULDER,Digital entertainment.,2
SCULLY,I can get in the Pentagon easier than this.,9
LANGLY,"Dudes! Agent Mulder, what's up, wild man? Welcome to the land where silicon meets silicone.",15
FROHIKE,Can I get you a latte from the bar or perhaps a bottle of designer H20?,16
MULDER,Scully?,1
SCULLY,How about a simple explanation as to why we're here?,10
LANGLY,"Well, why don't we take a brief moment just to feel the pulse of the new American gold rush?",19
BYERS,You're standing on the launch pad of a rocket headed for the stars.,13
SCULLY,Okay.,1
FROHIKE,There's been a little accident.,5
SCULLY,What kind of accident?,4
LANGLY,"Like... uh, an industrial accident.",5
SCULLY,How did the victim die?,5
FROHIKE,Uh... It's not exactly clear.,5
BYERS,Right.,1
SCULLY,Was there equipment involved?,4
FROHIKE,No.,1
BYERS,Yes. Mmm...,2
LANGLY,Yes and no.,3
SCULLY,What's your business here?,4
LANGLY,Our business?,2
SCULLY,Yeah.,1
MULDER,Uh-huh.,1
FROHIKE,We're consultants to F.P.S.,4
BYERS,Langly did some programming for them. He created all of the bad guys.,13
LANGLY,Only the Euro goons.,4
FROHIKE,We don't want to give you the idea that we're major profit participants.,13
MULDER,Cash or stock options?,4
LANGLY,Options... preferred rate. Vesting immediately with a short-term exercise against venture collateral to bypass S.E.C. regs.,16
BYERS,The IPO'S in a week.,5
FROHIKE,Game ships on Friday. 50 malls across the United States and Japan.,12
SCULLY,Only there's a dead body between you and untold riches.,10
MULDER,I don't know about you guys but I'd be checking my shorts for cake.,14
SCULLY,This man's been shot.,4
IVAN,"No! See, when somebody is shot, there's a gun involved, right? That is absolutely impossible because there's no way anybody could ever get a gun past security.",27
SCULLY,What do you call this?,5
IVAN,It's a laser blaster. For wasting cybertrash.,7
LANGLY,It emits a low-frequency...,4
IVAN,Just let me.,3
LANGLY,All right.,2
IVAN,"The weapons feed off the F.P.S. mainframe. The effect is intensely real, but harmless.",14
SCULLY,You say this weapon is a toy but this man clearly has gunshot wounds through his...,16
IVAN,"Stun suit. See, it's rigged with paint for wounds and kill shots. It's total bleeding-edge technology.",16
IVAN,He's dead. I got it.,5
MULDER,Who was he playing against?,5
IVAN,Against the game. You waste the cyberthugs before they waste you. It's all about body count. But they're computer-generated images running on a projector. It all happens in the game space.,31
PHOEBE,It's a total digital environment. Nothing's real. It's all virtual.,10
MULDER,Did anybody see what happened?,5
PHOEBE,"I was in the control booth with Ivan. Retro was in the zone. His telemetry was solid. He looked unstoppable; like he was on his way to the next level when suddenly, he was cooked meat.",36
SCULLY,"Well, the next call's going to be to the local P.D.",11
IVAN,No cops! No cops. You said no cops. You said you had connections.,13
SCULLY,"Well, connections or not, you've got a murder victim here.",10
IVAN,Headlines-- just what the Wall Street money dudes want to read as we're going to market.,16
SCULLY,"Yes, this is Special Agent Dana Scully with the FBI...",10
MULDER,You said you were in the control booth when it happened? Can you tell me exactly what you saw?,19
PHOEBE,"I'm still not sure if we even saw it. I mean, one minute everything is going perfect and then we crashed. Ivan and I were sitting here. We both just looked at each other. It happened so fast. Moxie's covering Retro who's going inside after the enemy to rack up beaucoup points.",52
FROHIKE,"And then, goosh! Retro's vitals spike like he's been shot.",10
BYERS,And the system defaults.,4
PHOEBE,And they're right back in the game space.,8
MOXIE,Lo-Fat! Get over here.,4
LO-FAT,What happened?,2
MOXIE,"Retro? Hey, man, get up.",5
LO-FAT,What happened?,2
PHOEBE,Lights out. Game over.,4
MULDER,What happened in there?,4
LANGLY,We don't know. There's no rez images on interior game spaces.,11
MULDER,What about the wireframe?,4
PHOEBE,Maybe I can. I'll strip down to wireframe display.,9
PHOEBE,I mean... We've never mapped this area before. Retro was in noncombat space.,13
FROHIKE,It's a chick.,3
LANGLY,It can't be.,3
MULDER,Can you texture wrap her?,5
BYERS,Holy Toledo.,2
FROHIKE,She's packing a flintlock.,4
MULDER,That ain't all she's packing. Can you print that out for me?,12
PHOEBE,Mm-hmm.,1
PHOEBE,Goddess.,1
DETECTIVE LACOEUR,"Let me get this straight, Agent Scully: You've got no murder weapon, no forensic evidence, no motive, no suspect.",19
MULDER,Scully.,1
SCULLY,"My partner, Agent Mulder. This is Detective LaCoeur.",8
