speaker,line,words
MAN,"The navy...wanted to hear my story. They said, I owed it to the dead, to tell them the truth. I told them where to stick the truth. I'm the last man who knows who killed the men aboard that submarine, who knows it was a suicide mission but I'll burn in hell before I tell the murderers who sent us there. your story, to make sure that justice is served. up with your captain.",74
MAN,Johansen did what he had to. That's war. Some are sacrificed so that others can live.,16
MAN,You gotta get us outta here!,6
MAN (VOICE OVER),"But when that door shut, I knew my life, all our lives have just been sacrificed.",16
SANFORD,Johansen! Open this door! Open this door! Johansen!,8
MAN (VOICE OVER),"For the 1st time, I saw the enemy who was killing us.",12
MAN (VOICE OVER),"That thing was causing the slow, painful deaths.",8
MAN,"And I prayed, one of the Japanese depth charges would finish the job. of some sort.",16
MAN,"The navy says we were sent to recover an A-bomb. That's why we got all these burns. Gimme a freaking break. Whatever it was, we were sent to guard it.",30
MAN,"Before it slithered away, back to where it came from, back into the sea, back into who knows what.",19
MAN,"That thing... is still down there! The navy will deny it... but you've got to make sure the truth gets out. I can trust you to do that, can't I Mr. Mulder?",32
(#1,"Mr Mulder, looks at his partners)",6
THE CIGARETTE-SMOKING MAN,You can trust all of us.,6
SCULLY,"Excuse me, where can I find Walter Skinner? He was brought in with a gunshot wound.",16
FULLER,Agent Scully.,2
SCULLY,Agent Fuller.,2
FULLER,This is agent Caleca we got a call from the DC police.,12
SCULLY,How bad is he?,4
FULLER,We don't know. He's been in surgery.,7
SCULLY,What happened?,2
CALECA,Looked like some hot-head drew a gun in a coffee shop. Skinner happened to be in the way.,18
SCULLY,What do we have on the shooter?,7
FULLER,"We have a description from the waitress. A handgun was recovered in the parking lot, unregistered, no prints. Our guys got 2 partials off the cash register.",27
SCULLY,Hair and fiber?,3
FULLER,This just happened a few hours ago.,7
SCULLY,This is the assistant director who's been shot. We have to make all resources available.,15
SCULLY,Excuse me.,2
SCULLY,How is he? pain.,4
SKINNER (WHISPERING),I've seen him before... the man who shot me.,9
MULDER,Give me the key.,4
KRYCEK,When we get there.,4
MULDER,"I wanna make sure we get there together, give it to me.",12
KRYCEK,When we get there.,4
FULLER,How's he doing?,3
SCULLY,"He's on steady Demerol, he's in and out. I thought I asked for guards to be posted outside.",18
CALECA,We put in a request with the DC police.,9
SCULLY,This wasn't a random shooting. I want guards posted here and I want them here now!,16
FULLER,I think it's a matter of pulling men on something else.,11
SCULLY,I've heard the excuses. I don't care if you and agent Caleca have to stand in the hallway yourself. This man has to be protected. Okay?,26
MULDER,We're being followed. A dark sedan with its lights off. It was parked on the shoulder about half a mile back. Speed up. Speed up!,25
KRYCEK,I don't have it.,4
SCULLY,I got a message you called.,6
MAN,"Good morning, we found something I knew you wanted to see ASAP.",12
SCULLY,It's on the shooter?,4
MAN,"Yeah, the partial prints we pulled out of the cash register didn't add up to anything. We found saliva on Skinner's shirt that wasn't his. This is an analysis of the secretors and other hemofactors.",35
SCULLY,"Which tells us we're looking for a male, probably in his 40s with blood type B positive, but we already know all that from the waitress' description.",27
MAN,There's more. We were able to chromosome-stain some of the hair fibers we picked up last night.,17
SCULLY,We still gotta find the guy before we can get a match.,12
MAN,We can still run those indicators against all the suspects arrested in the DC area in the last couple of years.,21
SCULLY,"This takes too much time. You know what, run them anyway. Can I borrow you this for a little while?",20
MAN,Go ahead.,2
SCULLY,Thanks.,1
CSM,"What's the prognosis? rapid effect on cellular activity, giving rise to the onset of massive and malignant cancers.",18
CSM,"Has anyone been in to see these men? looks through the bandages of the sick man, his eyes still move). But I think we should get a specialist in here because, frankly, I've never seen anything like this before.",39
CSM,I have.,2
CSM,Have the bodies destroyed.,4
CSM,Isn't that the prognosis?,4
MULDER,Guess I'm not dead.,4
SCULLY,What happened?,2
MULDER,Maybe you can tell me.,5
SCULLY,The State police found you unconscious. You were strapped in the passenger's seat of a rental car that had been driven into a ditch.,24
MULDER,We were run off the road by 2 men.,9
SCULLY,"Who's ""we""?",2
MULDER,Krycek.,1
SCULLY,Krycek?,1
MULDER,"He was in Hong Kong, he's got the digital tape. He's been selling information.",14
SCULLY,Is that what the men wanted?,6
MULDER,They ordered him out of the car. I thought they were going to kill him. I though they were going to kill us both. And then there was this bright flash. That's all I remember.,35
SCULLY,"Well it may not be the best time to tell you but, you're not the only one in the hospital. Skinner's been shot.",23
MULDER,What's his condition?,3
SCULLY,A bullet perforated his small intestine. The doctor seems to think he'll be fine.,14
MULDER,Who shot him?,3
SCULLY,I'm not sure. But I have an idea.,8
MULDER,What are those?,3
SCULLY,PCR results this one belongs to the man who shot Skinner.,11
MULDER,Yeah and who's this one belong to?,7
SCULLY,The man who shot Melissa.,5
WELL-MANICURED MAN,How could they have gotten information about that location? denied any involvement.,12
WELL-MANICURED MAN,Well they got those coordinates somehow.,6
WELL-MANICURED MAN,Has our associate in Washington looked into this? think any of us would have anticipated.,15
WELL-MANICURED MAN,How do you mean? and explain it himself.,8
SCULLY,"Hi, how are you feeling?",5
