speaker,line,words
CLYDE BRUCKMAN,"""I foresee a rock affair between superstar Madonna and super-witness Kato Kaelin."" Well, that's a gimme, that's not really going out on a limb, is it? ""I foresee Author J.D. Salinger finally publishing a new novel and hitting the talk show circuit to promote it."" Hmmm... that's just playing the odds. ""I foresee the revelation that not Elvis, but rather Buddy Holly is still alive, having faked his own death so many years ago. Holly will not only reemerge but also regroup with the Crickets and they will headline in next year's Lalapalaza..."" Lalapaz... pazoola? What the hell is Lalapalazo?",100
CLERK,Who's Buddy Holly?,3
CLYDE BRUCKMAN,"Just give me my lotto ticket and, uh, a pint of malt scotch whiskey.",14
CLERK,Anything else?,2
CLYDE BRUCKMAN,"Yeah. One of these. ""That'll be the day when I die... that'll be the day..."" Sorry.",16
PUPPET,Don't apologize. You're a better dancer than my last date.,10
MADAME ZELMA,"So, what has brought you to Madame Zelma?",8
PUPPET,Well... can you really know everything about me just by looking at my hands?,14
MADAME ZELMA,Mm-hmm. The palms tell me all.,6
PUPPET,I would just like for you to be able to tell me why I am going to be doing the things I'm going to be doing?,26
MADAME ZELMA,"Madame Zelma, she is a palm reader, not a psychologist.",10
PUPPET,"I know, I know, it's just... I think I've somehow caught a glimpse of my own future, myself. And I see me doing things that... that just seem so out of character for me. I mean, these are things that not only do I not want to be doing, but I can't even imagine myself capable of doing and yet, there I am. I'm doing them.",66
MADAME ZELMA,"Mister... please, you're hurting me.",5
PUPPET,"I know, I know... and I'm sorry. But you're a fortune teller.",12
MADAME ZELMA,No...,1
PUPPET,You should've seen this coming.,5
MADAME ZELMA,Please...,1
WOMAN ON APB WIRE,"Unit seven, unit seven...",4
PHOTOGRAPHER,They say the eyes capture the last image the murder victim sees before they're killed.,15
CLINE,So what do they say about the entrails?,8
PHOTOGRAPHER,Yuck.,1
HAVEZ,Is it true you asked for some help in this case?,11
CLINE,This guy's supposed to be an expert at this sort of thing.,12
HAVEZ,I heard he was a bit... unorthodox.,7
CLINE,He comes highly recommended.,4
HAVEZ,Yeah. I saw him on TV.,6
CLINE,"Hey, so he's a publicity hound. As long as he gets results.",12
PHOTOGRAPHER,I once worked on a case he did. Very spooky.,10
CLINE,"As long as he gives us leads, I don't care how big a kook.",14
POLICEMAN,"Sir, right in here, please.",5
CLINE,Who the hell are you?,5
MULDER,I'm Agent Mulder. This is Agent Scully.,7
CLINE,"Oh, I forgot you were coming aboard. I'm, uh, Cline, this is Havez.",13
HAVEZ,"We're thinking this guy might be a satanist, what with the eyeballs.",12
MULDER,"Satanists take the eyeballs and leave the body, not vice-versa. Not in anything but modern myths.",16
CLINE,He's gouging eyes for no reason?,6
SCULLY,"No, nobody does anything without a reason. We've already composed a profile of the killer. We offer possible explanations for the nature of his attacks and also his choice of victims.",31
CLINE,Does it explain the entrails?,5
MULDER,Anthropomancy. It was once believed that you could divine your future by vivisecting a human being and studying the entrails.,20
HAVEZ,So this guy is hacking up people in order to see his future?,13
SCULLY,"Well, there's a possible connection with all of his victims being professional prognosticators.",13
CLINE,Till this one. She was a professional doll collector.,9
MULDER,"And an amateur tasseographer. She read tea leaves. After drinking the tea, you can gain insight into your future by examining the pattern of the leaves on the bottom of the cup.",32
CLINE,You believe in this stuff?,5
MULDER,I'm not convinced of its accuracy but I'm pretty sure the victim was.,13
CLINE,Why?,1
MULDER,Her leaves were telling her she was about to be murdered.,11
POLICEMAN,"Right this way, sir... You're going to have to stand back, all right? This is official police business.",18
CLINE,"Mister Yappi, I appreciate you coming all the way down here...",11
YAPPI,"Quiet! Yes, I'm seeing visions. Visions of the killer. He does not feel like he is in control of his own life. Very important. That's why he kills, yes!",29
CLINE,Can you see what he looks like?,7
YAPPI,"He looks like... A white man with facial hair. Or not. But he has... yes! A tattoo! Somewhere on his body. Maybe the tattoo has the facial hair. I think. Hmm! I see him here! Forcing himself, yes! On the girl! But he cannot perform... so he's taking out his rage. It's gone. I lost the vision. Someone is blocking me. I am picking up negative energy. Please leave this room.",71
MULDER,I'm part of this investigation.,5
YAPPI,You give off negative energy.,5
MULDER,"I can assure you, Mister Yappi, I'm a believer in psychic ability.",12
YAPPI,So you say with your mouth but your thoughts tell me the truth.,13
CLINE,"Agent Mulder, please.",3
SCULLY,I can't take you anywhere.,5
YAPPI,"Now, if you'll excuse me, I have an interview to give. Skeptics like you make me sick.",17
MULDER,"Mister Yappi, read this thought.",5
YAPPI,So's your old man!,4
SCULLY,"It's too bad about your ""negative energy,"" Mulder, you missed quite a performance.",13
CLINE,Look what he did to my pen.,7
MULDER,"Well, let me impress you with my psychic ability. Mister Yappi proclaimed the victim's body would be found near water, he saw a church or a school in the vicinity, he got a flash of the letter ""S"" and/or the number ""seven.""",42
CLINE,So what's your point?,4
MULDER,"Well, his leads are so vague as to be practically useless yet easily interpreted to be correct after the fact.",20
SCULLY,He said the killer doesn't feel in control of his own life but that's true of everyone at times.,19
CLINE,He said a lot of things.,6
MULDER,"Yeah, and some are bound by percentages to be right but most will turn out wrong. Now, which is which?",20
CLINE,"Look, all I know is that so far, Yappi has provided more solid, concrete leads on this case than you have. Now, if you don't mind, I have to get an A.P.B. out on a white male, age seventeen to thirty-four, with or without a beard, maybe a tattoo... who's impotent. Let's go.",53
SCULLY,"Might as well go home, Mulder, this case is as good as solved.",13
CLYDE BRUCKMAN,So General Mutual has a very comprehensive two-hundred thousand dollar life policy at a net annual cost of twenty-four hundred dollars.,21
YOUNG HUSBAND,"You see, the thing is... we were really hoping to buy a boat.",13
CLYDE BRUCKMAN,"Mister Gordon, uh, as a young husband, I think you're going to find that your new responsibilities to your family take precedent over your recreational needs.",26
YOUNG HUSBAND,But this is a really good boat.,7
CLYDE BRUCKMAN,"You don't get it, do you, kid? Two years from now, while driving down Route 91... coming home to your wife and baby daughter... you're going to be hit head-on by a drunk... driving a blue '87 mustang. You'll end up looking worse than sixty feet of bad road your body slides across... after flying out your front windshield.",59
YOUNG HUSBAND,Mister... you really need to work on your closing technique.,10
CLYDE BRUCKMAN,"Oh, no, no, no, no. Not your lighter, Mrs. Lowe. I wa, I want your garbage. Get out of here, you monster. Is everything all right, Mrs. Lowe? Do you have enough supplies? You have enough dog food? Oh, God.",40
