speaker,line,words
MAN,"Hmm, yes. Love you. Hello.",5
GARDENER,"Good morning, sir.",3
MAN,"Good morning. Good morning, Cecil.",5
L'IVELY,"Top of the morning to you Eh, thank you. Goodbye, darling.",11
WOMAN,"Goodbye, Charles. When can I expect you?",7
MAN,Before supper.,2
SCULLY,I forgot what it was like to spend a day in court.,12
MULDER,"Well, that's one of the luxuries of hunting down aliens and genetic mutants. You rarely get to press charges.",19
SCULLY,It's open.,2
MULDER,What?,1
SCULLY,It's unlocked.,2
MULDER,That's weird. I'm sure I locked it.,7
SCULLY,Must be an X-File. What's that?,6
MULDER,I told you I locked the door.,7
SCULLY,What do you think it is?,6
MULDER,"Ten-to-one, you can't dance to it.",6
WOMAN,"Greetings, Agent Mulder. Six months ago, British Minister of Parliament Reggie Ellicott received an audio cassette much like the one you are listening to now. Unfortunately for Mr. Ellicott, when he popped the tape into the car stereo, he armed a device, which, when he tried to exit the car, created an explosion that was heard five miles away. The Scotland Yard Forensic Team could only identify the poor bastard by his dental records. If only he hadn't reached for the door handle and triggered the detonator. But then how was he to know he was sitting on enough plastique explosive to lift the car forty feet in the air and deposit the engine block on top of a three-story building?",121
GREEN,Aren't we looking rather ghostly?,5
MULDER,It's an old friend.,4
GREEN,Aren't you going to thank me?,6
MULDER,For what?,2
GREEN,Saving your life. One tends not to make the same mistake twice.,12
MULDER,I'll try to remember that.,5
GREEN,"Oh, come on, don't tell me you left your sense of humor in Oxford ten years ago?",17
MULDER,"No, actually. It's one of the few things you didn't drive a stake through.",14
GREEN,"You know, some mistakes are quite worth making twice.",9
MULDER,"Dana Scully, this is Phoebe Green, terror of Scotland Yard.",10
GREEN,Hello.,1
SCULLY,Hello.,1
MULDER,What brings you to the colonies?,6
GREEN,Some clever bloke has been giving the aristocracy a good scare. Killed off a ranking member of Parliament or three for good measure. Set Windsor Castle ablaze in 1992.,29
MULDER,Your car bomber?,3
GREEN,"No. This one likes to burn his victims alive. Can't figure out how he does it either. Not a crumb of evidence left at the crime scene. The last one died in his front garden, his poor young wife watching helplessly as he went up in smoke.",47
MULDER,The Irish Republican Army?,4
GREEN,"Our suspect likes to send love letters to his victims' wives. Sent one to the wife of Sir Malcolm Marsden a month ago. Three days later, he narrowly escaped a fire in his garage. Burned to the ground. So they're renting a place out on Cape Cod. Bringing the family over to the states for an extended holiday or until we can catch the dirty bugger.",66
MULDER,You think he's that determined?,5
GREEN,"Judging by his success, he seems to take a certain delight in his work.",14
MULDER,"So what brings you on this detour to Washington, D.C., Inspector?",11
GREEN,I figured my friend Mulder couldn't resist a three-pipe problem.,10
MULDER,I'll run it by our arson specialist.,7
GREEN,"Splendid. I'll call London, let them know. Oh, goodbye.",9
SCULLY,Three-pipe problem?,2
MULDER,"That's, uh, from Sherlock Holmes. It's a private joke.",9
SCULLY,How private?,2
MULDER,"Um... we knew each other in school in England. She was brilliant and, uh, I got in over my head and, uh, paid the price.",25
SCULLY,"Mulder, you just keep unfolding like a flower.",8
MULDER,"That was over ten years ago, Scully.",7
SCULLY,"Yeah, I noticed how you couldn't drop everything fast enough in order to help her out.",16
MULDER,"Oh, I was merely extending her a professional courtesy.",9
SCULLY,"Oh, is that what you were extending?",7
MULDER,"Look, I'm going to run this by the arson guys and then she's on her own.",16
SCULLY,Something tells me you're not going to get rid of her that easily.,13
BEATTY,Beautiful.,1
BEATTY,"Oh, just beautiful. Look at that. Salmon red flames. This is fourteen-hundred, fifteen-hundred degrees. This is a work of art.",20
BEATTY,Was there any kind incendiary device used?,7
GREEN,"Yes, actually. The victim's body.",5
BEATTY,Spontaneous combustion?,2
GREEN,"He was murdered. However, we've turned up no evidence that tells us how the body caught fire.",17
BEATTY,"Well, that's peculiar. People don't normally just catch on fire.",10
BEATTY,"I mean, we burn, but we don't conduct all that well. There's usually some kind of extraneous fuel involved like candle wax, gasoline, something flammable and incendiary that adheres to the skin.",32
GREEN,Like an accelerant.,3
BEATTY,"Like an accelerant, yes.",4
GREEN,"But we found no trace of anything, save for a dusting of magnesium at two of the sites.",18
BEATTY,That's aliphatic pyrolysis. It's a residue remaining after an exothermic reaction.,11
GREEN,"But there's no evidence of the source, no pour patterns or ignition devices.",13
BEATTY,"There have been some arson fires in Seattle lately and, uh, Pennsylvania that burn so hot that the firemen can't put them out. 7,000 degrees. I mean, hosing that down just makes it worse.",34
MULDER,How's that?,2
BEATTY,"Uh, the, uh, reaction is so intense that it splits the water into hydrogen and oxygen. Just adds fuel to the fire.",22
GREEN,What were they using?,4
BEATTY,"We don't know for sure. Could be rocket fuel. That stuff burns so hot and clean, there's never any trace left. You see, it's very difficult to prove arson. It's driving the insurance companies nuts.",35
BEATTY,"Well, that's about the only explanation that I can give you.",11
MULDER,"But there have been cases of pyrokinetics, people who can control and conduct fire.",14
BEATTY,"Well, I've seen fire bend around corners, seen it bounce like a rubber ball. Fire's got a certain genius, you know? A certain demon poetry. It's like it's got a mind of it's own. But I've never seen one that can defy the laws of physics, not when you figure it out. You've, uh...",54
