speaker,line
ANNOUNCER WHO IS REALLY CHRIS CARTER,"Previously on The X-Files... We open with a voice-over from MULDER accompanied with highlights from the introduction to the previous episode, My Struggle."
MULDER,"My name is Fox Mulder. In the 1990s, I began investigating paranormal science cases through a unit of the FBI known as The X-Files. My partner in this pursuit was Agent Dana Scully, a medical doctor and scientist. In 2001, we had a child together... Cut to SCULLY holding baby WILLIAM"
SCULLY,William...
MULDER,"... but had to put him up for adoption to hide him from those who wished him harm. In 2002 the FBI closed The X-Files. 14 years later, circumstances have arisen which demand new X-Files investigations... Cut to clip of MULDER at the end of My Struggle after SCULLY has received her test results."
MULDER,Are you saying you have alien DNA?
MULDER,...bringing Scully and I back together.
FEMALE VOICE,Good day Dr. Sanjay. A slightly-worse-for-wear and half-asleep SANJAY fingers the strap of his bag on his shoulder and proceeds to walk through a heavily guarded security gate. He passes through a body scanner. A guard waves him past. We see a long queue of other people waiting to enter and hear guards using hand-held security wands for more thorough scanning.
SANJAY,"Yeah. Good morning. SANJAY enters the ground level of a three storey atrium in the building of Nugenics Technology. People are milling about. A friend, ROGERS, enters and noticing SANJAY catches up and walks him."
ROGERS,Sanjay! Oh. You okay? Rough weekend?
SANJAY,A humdinger.
ROGERS,Work or pleasure?
SANJAY,"I haven't known pleasure for quite some time. ROGERS laughs. Suddenly we hear a high-frequency piercing whine. SANJAY winces in pain and his head tilts towards his right shoulder. He stops, disabled by the sound, his hand over his left ear. He looks up towards ROGERS, who, like everyone else in the immediate vicinity, is completely unaffected by the whine. ROGERS stops and looks back towards SANJAY, concerned."
ROGERS,Are you okay?
SANJAY,It's nothing. SANJAY rejoins ROGERS and they head towards a busy elevator and get in.
HILL,"The Founder looked at the data. He sent a message this morning: ""Do over""."
CYNTHIA,"That's it? We spent months on those trials. We've tried every new source of pluripotent stem cells, including samples from amniotic fluids. ROGERS is sitting between CYNTHIA and the standing HILL."
ROGERS,We need more than just pronouncements from above. We need direction! What about a meeting with the man? HILL's voice starts to echo quietly. The camera cuts quickly between close-ups of the mouths of those talking.
HILL,You want the Founder to tell you how terrible your data is face-to-face?
ROGERS,"The guy is a recluse. No one here's even seen him for years. : For all we know, he didn't even read the stuff. HILL's voice starts to become distorted. SANJAY tries in vain to concentrate on his colleagues. He screws up his eyes. Sweat is dripping from his face."
HILL,I can assure you that Augustus Goldman is f-u-l-l-y e-n-g-a-g-e-d. B-u-t t-h-e F-o-u-n-d-e-r h-a-s o-t-h-e-r i-n-t-e-r-e-s-t-s t-h-a-t k-e-e-p h-i-m o-c-c-u-p-i-e-d. CYNTHIA's voice starts to distort and s-l-o-w d-o-w-n. We hear a whine present in the background. SANJAY looks uncomfortable. His eyes more bloodshot.
CYNTHIA,"Yeah, what about that? Doesn't that creep you out, that he's referred to as ""The Founder""? The camera pans outside through the large conference room windows. We see hundreds of large black birds aggregating on the lawn of a large, well kept garden. We hear cawing. Birds continue to descend to the ground and settle. SANJAY look out of the window. His water glass starts rattling on the table in front of him. His rights hand starts to shake. He tries to pick up a pencil to write in his folder but the lead breaks as it vibrates uncontrollably on the paper. He screws up his eyes tightly."
CYNTHIA,Do it.
HILL,Now. It's necessary...
ROGERS,Data is the key.
HILL,Don't hesitate.
CYNTHIA,Go.
ROGERS,Go now.
HILL,Go! The piercing whine gets louder and louder. SANJAY screws up his face in pain.
SANJAY,": Noooooo... noooooo! SANJAY, shaking in terror, raises his head and hands and looks to his colleagues seated at the table."
SANJAY,Can't anyone hear that? Suddenly the sound stops. Everyone is staring at SANJAY. He notices he has his hands in the air.
SANJAY,Sorry. Excuse me. SANJAY gets up out of his chair and staggers around the table to the doorway behind HILL. He leaves. We cut to SANJAY moments later seated at a computer in a computer lab. He is typing frantically. The screen shows a secure terminal and a secure file transfer is in progress to an external hard disk. A classified Nugenics document is displayed on the screen. He stars hearing the voices from the conference room in his head.
CYNTHIA,Do it.
HILL,Now.
ROGERS,"Data... is the key. SANJAY is trying to concentrate on his task, screwing up his eyes to try and ward of the voices. We hear a muffled voice and banging coming from the other side of the secure door into the lab."
ROGERS,"Sanjay! Sanjay! Sanjay, come on! Open up! The banging continues"
HILL,"Open the door, Sanjay!"
ROGERS,Sanjay!
HILL,"Sanjay, open the door!"
ROGERS,It's not opening! Open the door! Sanjay!
HILL,Something's wrong with the system!
ROGERS,"Sanjay, open the door! SANJAY turns around in the chair and stares back at ROGERS and HILL. Suddenly the piercing sound returns and SANJAY falls forward onto the floor, his hands holding his head. A security guard is trying to open the door by drilling out the lock. SANJAY is on all fours on the floor. He knocks a pot of pens from the desk onto the floor. He picks up a pen and frantically scribbles something onto his left hand. The piercing tone intensifies further and SANJAY cries out in pain, his hands on his temples. He picks up a metal letter opener off the ground, knocked out of the pot when it fell. He holds it, pointing directly into his right ear. The door is still locked. ROGERS and HILL look on in horror."
HILL,Sanjay!
ROGERS,"Sanjay! Out of options, SANJAY suddenly drives the letter opener into his ear a few inches but then stops, wincing in pain. Recovering, he drives it in all the way, leaving only the handle visible. His hopeless, lifeless body falls to the floor beside the desk. THE TRUTH IS OUT THERE"
MULDER,"What do you make of this, Scully?"
SCULLY,"Well, it seems that Dr. Sanjay had a psychotic break and committed suicide. Note the letter opener sticking out of his head."
MULDER,Noted.
SCULLY,"All the witnesses I spoke to have consistent accounts. MULDER stands, looking around the lab."
MULDER,"I mean the room. He chose the most secured place in the building to kill himself. He was trying to access something. These are isolated servers, so, the only way to get to the data is through this terminal, which is also protected. MULDER picks up the external hard disk which is lying on the desk."
SCULLY,"Is that why we're here? You're interested in the server? What are you looking for, Mulder? MULDER drops the disk into an evidence bag. An officious-looking man with an ID badge hanging from a jacket pocket, LINDQUIST, enters the lab and heads straight for MULDER."
LINDQUIST,"Unhand the hard drive, Sir."
MULDER,This is evidence.
LINDQUIST,It's classified. He snatches the evidence bag from MULDER.
SCULLY,"The reason why we're investigating, rather than the local police is because we have security clearance."
