speaker,line,words
BUGGER,"Behold the mighty cockroach. Believed to have originated in the Surilian period over three-hundred and fifty million years ago. They can be found in every part of the world from the tropics to the arctic. There exists four-thousand known species... and in a year, a single female can produce over half a million descendants. Radiation doesn't kill them. By evolutionary standards, they are nearly flawless creatures but creatures nevertheless. Possessing only a simple nervous system, their behavior is dictated solely by responses to environmental stimuli. Unlike us, they are incapable of thought, of... self-illumination. Compared to the roach, we are gods... and must therefore act accordingly.",106
JEFF ECKERLE,"Is it true if you decapitate them, they continue to live, eventually dying of starvation?",15
BUGGER,"Look, buddy, I just kill them.",6
JEFF ECKERLE,"Well, that's why I called you. I, I thought that nowadays, you froze the insects to death.",17
BUGGER,"Freeze them? Where's the fun in that? No, we got a new pesticide that works like a fungus. It not only kills the infected roach, but that roach then spreads the disease to every other roach he comes into contact with.",41
JEFF ECKERLE,"Well, just as long as you, uh, get rid of them. Bugs... I don't know. They drive me crazy.",19
BUGGER,"Why, you arrogant little...",4
JEFF ECKERLE,"I forgot to tell you, I also found a roach on the...",12
MULDER,Mulder.,1
SCULLY,"Mulder, where have you been? I've been trying to reach you all day.",13
MULDER,"Oh, my apartment complex was being fumigated so I thought I'd get away for the weekend. I came up to Massachusetts.",21
SCULLY,Visiting your mother?,3
MULDER,"No, just, uh... sitting and thinking. Widespread accounts of unidentified colored lights hovering in the skies were reported last night. Look, Scully, I know it's not your inclination but... did you ever look up into the night sky and feel certain that... not only was something up there but... it was looking down on you at that exact same moment and was just as curious about you as you are about it?",72
SCULLY,"Mulder, I think the only thing more fortuitous than the emergence of life on this planet is that, through purely random laws of biological evolution, an intelligence as complex as ours ever emanated from it. Uh, the, the very idea......of intelligent alien life is not only......astronomically improbable but at it's most basic level, downright anti-Darwinian.",55
MULDER,"Scully... what are you wearing? I understand what you're saying, but I, I, I just need to keep looking.",19
SCULLY,"Yeah, well, don't look too hard. You might not like what you find.",13
MULDER,"Isn't that what, uh, Doctor Zaius said to Charlton Heston at the end of ""Planet of the Apes?""",18
SCULLY,And look what happened.,4
MULDER,"Scully, I got to go.",5
SCULLY,"Wait... Mulder, what's going on? Mulder?",6
FRASS,How you doing? What are you doing?,7
MULDER,"Just sitting, thinking.",3
FRASS,"Sitting and thinking? And talking on the phone? Who with, your drug dealer? Let me see some I.D. The bureau? You on a case?",24
MULDER,I heard reports of several UFO sightings in this area last night. You see anything?,15
FRASS,"No, sir, not personally. But we did receive a lot of telephone calls.",13
MULDER,Any more calls tonight?,4
FRASS,"No, sir. The F.B.I. keeps tabs on these things?",9
MULDER,No.,1
FRASS,"Excuse me, sir, I don't like to pry, but why are you sitting here with your wiper blades on?",19
MULDER,"Oh, I was just knocking off some bugs that landed on my... Landed on my windshield.",16
FRASS,Cockroaches?,1
MULDER,"Maybe, maybe beetles. I dunno, I'm not really good with bugs.",11
WOMAN ON APB WIRE,"...send dispatch unit, over.",4
FRASS,"Sorry to disturb you, sir.",5
MULDER,What's the matter?,3
FRASS,Another roach attack.,3
SCULLY,Hello?,1
MULDER,I think you better get up here.,7
SCULLY,What is it?,3
MULDER,It appears that cockroaches are mortally attacking people.,8
SCULLY,I'm not going to ask you if you just said what I think you just said because I know it's what you just said.,24
