speaker,line,words
PAUL HANGEMUHL,Marie!,1
MARIE HANGEMUHL,No! Please!,2
FLASHBACK SCULLY,Mulder was dying... it's all right here. For a year he was going to doctors.,15
FLASHBACK SCULLY,There's a clear record of his decline.,7
FLASHBACK DOGGETT,How well did you really know him? How far would Mulder go?,12
FLASHBACK SCULLY,How far would he go for what?,7
FLASHBACK DOGGETT,The truth... his truth.,4
FLASHBACK DOGGETT,Whatever you and I may differ on...,7
FLASHBACK DOGGETT,"I'll find him, Agent Scully.",5
SHERIFF KURT FREY,You must be Special Agent Doggett. I'm Sheriff Frey. Just call me Kurt.,13
DOGGETT,"I appreciate the help, Kurt.",5
SHERIFF KURT FREY,Shame to have you drive all the way up here on a Saturday. Hate to say you're wasting your time.,20
DOGGETT,Not if you confirm what you told me before.,9
SHERIFF KURT FREY,"Yes, sir. Agent Mulder was here, all right... last spring.",10
DOGGETT,"You said on the phone Agent Mulder was investigating a missing woman, Marie Hangemuhl.",14
SHERIFF KURT FREY,"Well, she wasn't exactly missing. He wasn't exactly investigating, either.",10
DOGGETT,I'm not following you.,4
SHERIFF KURT FREY,It was a false report. Marie never even left the house. The only reason Agent Mulder found out about it was because Marie's sister got all excited about nothing. There. See for yourself.,33
SHERIFF KURT FREY,"Say, I've got some hot coffee and a danish here if you're interested.",13
DOGGETT,"No, thanks.",2
SHERIFF KURT FREY,"You know, if you don't mind me asking, Agent Doggett, what's your interest? I mean, I was actually surprised that one FBI agent gave this case a thought.",28
DOGGETT,It's not so much the case as it is the agent. Agent Mulder disappeared last May.,16
SHERIFF KURT FREY,Sorry to hear that. I still don't see what that has to do with us.,15
DOGGETT,Did Agent Mulder have a personal connection here-- something that might not be in your report?,16
SHERIFF KURT FREY,"No, I don't think he'd ever been to Squamash before, as far as I know.",15
DOGGETT,I have cell phone records showing that Agent Mulder came back here the week before he disappeared.,17
SHERIFF KURT FREY,What for?,2
DOGGETT,That's what I want to know. It's my job to find him.,12
PAUL HANGEMUHL,Kurt?,1
SHERIFF KURT FREY,"Paul, this is Agent Doggett from the FBI. He'd like to ask you and Marie some questions.",17
PAUL HANGEMUHL,"Marie, can you come out here a minute?",8
PAUL HANGEMUHL,This is an FBI agent. He wants to ask us a few questions. What's this all about?,17
DOGGETT,"A colleague of mine, Fox Mulder, questioned you last spring.",10
PAUL HANGEMUHL,"Come on, Kurt. This again? Look, this was a personal matter that's been blown way out of proportion.",18
SHERIFF KURT FREY,"He's not investigating you, Paul. He's investigating Agent Mulder.",9
DOGGETT,If you could tell me what you and Agent Mulder talked about… MULDER is talking to PAUL HANGEMUHL and MARIE HANGEMUHL. MULDER presses his fingers against the bridge of his nose as he asks the question. He looks as if he is in pain.),44
MULDER,"You told your sister you were going to disappear, Mrs. Hangemuhl. Tonight.",12
PAUL HANGEMUHL,"I told you already. We had a fight, she was going to leave, not disappear.",15
MULDER,I'm talking to your wife.,5
MULDER,Mrs. Hangemuhl.,2
MARIE HANGEMUHL,It's what he said. My sister lives out of state. I was going to go... I didn't want her to worry.,21
MULDER,"You told your sister a story, a story you were afraid of?",12
PAUL HANGEMUHL,This is crazy. There is no crime here!,8
MULDER,"I don't think you were going anywhere tonight, Mrs. Hangemuhl. I think someone or something was coming here. And I think maybe it still is.",25
PAUL HANGEMUHL,We had a fight. We patched things up and that was the end of it.,15
DOGGETT,"The Sheriff's report says that Agent Mulder spoke to you on Saturday, May 6th.",14
MARIE HANGEMUHL,"Yeah, I-I guess so.",4
DOGGETT,Did you see Agent Mulder again that night?,8
PAUL HANGEMUHL,"No, he never came back.",5
DOGGETT,"According to his cell phone records, he did. To this area, anyway.",12
DOGGETT,What's that there? Is that a dialysis machine?,8
PAUL HANGEMUHL,My wife suffers from end-stage renal failure. She's a very sick woman.,12
PAUL HANGEMUHL,Anything else?,2
DOGGETT,One thing. This someone or something Agent Mulder said might be coming?,12
MARIE HANGEMUHL,"I just told my sister I was afraid of the stories. That's all, I didn't mean...",16
