speaker,line,words
BING CROSBY,"Have yourself a merry little Christmas let yourself be light From now on, our troubles will be out of sight....",20
MULDER,I almost gave up on you.,6
SCULLY,"Sorry. Checkout lines were worse than rush hour on the 95. If I heard ""Silent Night"" one more time I was going to start taking hostages. What are we doing here?",31
MULDER,Stakeout.,1
SCULLY,On Christmas Eve?,3
MULDER,It's an important date.,4
SCULLY,No kidding.,2
MULDER,Important to why we're here. Why don't you turn off your car and I'll fill you in on the details.,20
SCULLY,"Mulder, I've got wrapping to do. It's the night before Christmas.",11
BING CROSBY,Here we are...,3
MULDER,Oh.,1
BING CROSBY,Happy golden days of yore...,5
SCULLY,Let's hear it. Give me the details.,7
MULDER,"Look, if you've got Christmas stuff to do I don't want to... you know...",14
SCULLY,"Mulder, I drove all the way out here. I might as well know why. Right?",15
MULDER,I just thought you'd be more... curious.,7
SCULLY,Who lives in the house?,5
MULDER,No one.,2
SCULLY,Then who are we staking out?,6
MULDER,The former occupants.,3
SCULLY,They've come back?,3
MULDER,That's the story.,3
SCULLY,"I see. The dark, gothic manor the, uh, omnipresent low fog hugging the thicket of overgrowth. Wait-- is that a hound I hear baying out on the moors?",28
MULDER,No. Actually that was a left cheek sneak.,8
SCULLY,"Mulder, tell me you didn't call me out here on Christmas Eve to go ghost busting with you.",18
MULDER,Technically speaking they're called apparitions.,5
SCULLY,"Mulder, call it what you want. I've got holiday cheer to spread.",12
MULDER,I'll make it fast. I'll just give you the details.,10
SCULLY,Okay.,1
MULDER,"Christmas, 1917. It was a time of dark, dark despair. American soldiers were dying at an ungodly rate in a war-torn Europe while at home, a deadly strain of the flu virus attacked young and old alike. Tragedy was a visitor on every doorstep while a creeping hopelessness set in with every man, woman and child. It was a time of dark, dark despair.",64
SCULLY,You said that.,3
MULDER,But here at 1501 Larkspur Lane for a pair of star-crossed lovers tragedy came not from war or pestilence-- not by the boot heel or the bombardier-- but by their own innocent hand.,33
SCULLY,Go on.,2
MULDER,"His name was Maurice. He was a... a brooding but heroic young man beloved of Lyda, a sublime beauty with a light that seemed to follow her wherever she went. They were likened to two angels descended from heaven whom the gods could not protect from the horrors being visited upon this cold, grey earth.",55
SCULLY,And what happened to them?,5
MULDER,Driven by a tragic fear of separation they forged a lovers' pact so that they might spend eternity together and not spend one precious Christmas apart.,26
SCULLY,They killed themselves?,3
MULDER,And their ghosts haunt this house every Christmas Eve.,9
MULDER,I just gave myself chills.,5
SCULLY,"It's a good story, Mulder... And very well told but I don't believe it.",14
MULDER,You don't believe in ghosts?,5
SCULLY,That surprises you?,3
MULDER,Well... Yeah. I thought everybody believed in ghosts.,8
SCULLY,"Mulder, if it were any other night I might let you talk me into it but the halls are decked and I got to go.",25
MULDER,My best to the family.,5
SCULLY,"What are you doing? Mulder, don't you have somewhere to be?",11
MULDER,I'm just going to take a look.,7
SCULLY,I'm not going to do it. My New Year's resolution.,10
SCULLY,Mulder!,1
MULDER,Change your mind?,3
SCULLY,Did you take my car keys?,6
MULDER,No.,1
SCULLY,"Come on, Mulder. Don't kid around.",6
MULDER,Why would I take your car keys?,7
SCULLY,"Maybe you, uh... Maybe you grabbed them by mistake.",9
MULDER,Maybe it was a ghost.,5
MULDER,That's a cold wind.,4
SCULLY,"There must be a window open upstairs. You know, the weather report said that there was an 80 percent chance of rain maybe even a... maybe even a white Christmas.",30
MULDER,I think the spirits are among us.,7
SCULLY,"Mulder, will you quit trying to scare me and help me get these doors open.",15
MULDER,Sounds like there's somebody walking around upstairs.,7
MULDER,There. You hear that?,4
SCULLY,"Mulder, I really have to go.",6
MULDER,There's nothing to be afraid of.,6
SCULLY,"I'm not afraid, okay?",4
MULDER,Ghosts are benevolent entities.,4
MULDER,Mostly.,1
SCULLY,"You are not scaring me, Mulder.",6
SCULLY,"Look, I really have to get home.",7
SCULLY,Mulder...,1
MULDER,Shh! What was that?,4
SCULLY,"These are tricks that the mind plays. They are ingrained cliches from a thousand different horror films. When we hear a sound, we get a chill. We-we see a shadow and we allow ourselves to imagine something that an otherwise rational person would discount out of hand. The whole... Mulder...? The whole idea of a benevolent entity fits perfectly with what I'm saying. That a spirit would materialize or return for no other purpose than to show itself is silly and ridiculous. I mean, what it really shows is how silly and ridiculous we have become in believing such things. I mean, that... That we can ignore all natural laws about the corporeal body- that-that we witness these spirits clad in-in their own shabby outfits with the same old haircuts and hairstyles never aging, never... Never in search of more comfortable surroundings-- it actually ends up saying more about the living than it does about the dead.",157
MULDER,Mm-hmm.,1
SCULLY,"I mean, Mulder, it doesn't take an advanced degree in psychology to understand the... the unconscious yearnings that these imaginings satisfy. You know, the-the longing for immortality the hope that there is something beyond this mortal coil- that-that we might never be long without our loved ones. I mean, these are powerful, powerful desires. I mean, they're the very essence of what make us human. The very essence of Christmas, actually.",71
MULDER,Tell me you're not afraid.,5
SCULLY,All right. I'm afraid... but it's an irrational fear.,9
MULDER,I got your back.,4
SCULLY,Thank you.,2
SCULLY,"Mulder, did it occur to you that there aren't ghosts here but that somebody actually might be living in this house?",21
MULDER,No one lives here.,4
SCULLY,But when you and I were sitting out in the car there was not a light on. And look at this.,21
MULDER,Must have been some kind of electrical surge.,8
SCULLY,"Mulder, did you happen to notice the clock downstairs is keeping perfect time?",13
MULDER,Is it?,2
SCULLY,And how do you explain that?,6
SCULLY,This fire has just gone out.,6
MULDER,Yeah.,1
SCULLY,Don't look so disappointed.,4
MULDER,Why would anyone want to live in a cursed house?,10
SCULLY,"Mulder, it's not enough that it's haunted? It has to be cursed?",12
MULDER,Every couple that's ever lived here has met a tragic end. Three double murders in the last 80 years. All on Christmas Eve.,23
MULDER,Whoa... There's that sound again,5
SCULLY,Mulder?,1
SCULLY,That's not funny!,3
MULDER,I think there's a hiding space under the floorboards.,9
SCULLY,What are you going to do?,6
MULDER,There may be somebody trapped under there.,7
SCULLY,"Mulder, don't.",2
MULDER,I got to get them out.,6
SCULLY,Not now.,2
MULDER,"Hey, you have a gun, right? Rationally, you've been in much more dangerous situations.",14
MULDER,I was half right.,4
SCULLY,"Oh, my God.",3
MULDER,"Hey, Scully... Look at this.",5
SCULLY,It's a woman.,3
SCULLY,"Mulder, it looks like they were shot to death.",9
MULDER,Yeah.,1
SCULLY,You know what's weird?,4
MULDER,What?,1
SCULLY,"Mulder, she's wearing my outfit.",5
MULDER,How embarrassing.,2
SCULLY,"Yeah, well, you know what? He's wearing yours.",8
MULDER,Oh... Scully...,2
SCULLY,That's us.,2
MULDER,"Hey, Scully...",2
SCULLY,This is the same room.,5
MULDER,All right. I'm beginning to... Get this.,7
SCULLY,You go through that door and I...,7
MULDER,I should come out... This door.,6
SCULLY,Right.,1
SCULLY,Mulder!,1
MULDER,Scully!,1
MULDER,Scully!,1
MULDER,"Hey, Scully. Scully, can you hear me?",7
MULDER,Hey! Who are you?,4
MAURICE,"That's a question I should be asking being this is my house you're standing in. This isn't one of those home invasions, is it?",24
MULDER,No.,1
MAURICE,Good. Would you like me to show you the door?,10
MULDER,That's very funny.,3
MAURICE,I wasn't making a joke.,5
MULDER,Have you looked at the door?,6
MAURICE,"Uh-huh, I'm looking at it now.",6
MULDER,Tell me what you see.,5
MAURICE,I see a door with the lock shot off it. You going to pay for that?,16
MULDER,That's a door with a brick wall behind it.,9
MAURICE,"Okay, sure.",2
MULDER,You're playing tricks on me.,5
MAURICE,"If I am, I'm sorry but I don't know any tricks.",11
MULDER,"Yeah? That's a trick in itself, isn't it? You've been playing tricks on us since we got here.",18
MAURICE,Am I to take it we're not alone?,8
MULDER,"Ah, that's very funny coming from a ghost.",8
MAURICE,"Yeah, oh... the gun fooled me a little at first. You're a ghost hunter, huh? And you think I'm a ghost, huh? I've seen a lot of strange folks coming around here with a lot of strange equipment but I think you must be the first I've seen come armed.",50
MULDER,Strange folks?,2
MAURICE,Mm-hmm.,1
MULDER,Like those folks under the floorboard,6
MULDER,How did you do that?,5
MAURICE,I didn't do anything.,4
MULDER,There were corpses here-- bodies buried under the floorboards.,9
MAURICE,"Why don't you have a seat, son.",7
MAURICE,You drink? Take drugs?,4
MULDER,No.,1
MAURICE,Get high?,2
MULDER,No.,1
MAURICE,Are you overcome by the impulse to make everyone believe you?,11
MAURICE,I'm in the field of mental health. I specialize in disorders and manias related to pathological behavior as it pertains to the paranormal.,23
MULDER,Wow. I didn't know such a thing existed.,8
MAURICE,My specialty is in what I call soul prospectors-- a crossaxial classification I've codified by extensive interaction with visitors like yourself. I've found you all tend to fall into pretty much the same category.,34
MULDER,And what category is that?,5
MAURICE,"Narcissistic, overzealous, self-righteous egomaniac.",4
MULDER,That's a category?,3
MAURICE,"You kindly think of yourself as single-minded but you're prone to obsessive compulsiveness workaholism, antisocialism... Fertile fields for the descent into total wacko breakdown.",24
MULDER,I don't think that pegs me exactly.,7
