speaker,line,words
JOE CUTRONA,Three.,1
GREY-HAIRED PLAYER,Give me two.,3
BALD PLAYER,Two.,1
HENRY WEEMS,"Can I have five cards, please?",6
DEALER,"Five? What, are you serious? Four is the limit. Let's see your ace.",13
JOE CUTRONA,If Mr. Weems wants five... give him five.,8
DEALER,Dealer takes two.,3
JOE CUTRONA,Four.,1
GREY-HAIRED PLAYER,Nah-uh.,1
HENRY WEEMS,How much is that?,4
DEALER,Four grand keeps you in. You and your five shiny new cards.,12
HENRY WEEMS,"There's $4,000... and four more.",5
JOE CUTRONA,Let's make this interesting. I'm raising you 15 large.,9
HENRY WEEMS,I wouldn't do that. This is all I need.,9
JOE CUTRONA,You're going to need Depends after you see this hand.,10
HENRY WEEMS,Now we show each other our cards?,7
JOE CUTRONA,Four kings.,2
HENRY WEEMS,"That's a straight flush, right?",5
HENRY WEEMS,Beginner's luck.,2
JOE CUTRONA,What the hell do you think you're doing?,8
HENRY WEEMS,Going home.,2
JOE CUTRONA,"No, no. Not so fast. We expect a chance to win some of our money back.",16
HENRY WEEMS,"Guys, there's over $100,000 here.",5
JOE CUTRONA,"You're damn right there's over $100,000 there.",7
HENRY WEEMS,"$100,000 is all I need. Sorry. I had fun, though. Where can I cash out?",15
HENRY WEEMS,"Guys, I think we're going up instead of down. .",9
HENRY WEEMS,"Guys... Guys, this is not what I meant by ""cashing out""! Hey! Hey!",13
MULDER,Hello.,1
SCULLY,"Hey, Mulder, it's me. What now?",6
MULDER,Are you in Chicago?,4
SCULLY,"Yes, I'm in Chicago. I'm on the northeast corner of 7th and Hunter just like you asked. Only you're not here. So where are you?",25
MULDER,"Oh, around.",2
SCULLY,Yeah.,1
MULDER,"Hey, nice outfit.",3
SCULLY,Hey. What's down there?,4
MULDER,Before you check out down there check out up there. Top two floors are leased to one Jimmy Cutrona whose name you might be familiar with.,26
SCULLY,"Organized crime. The Bureau's been trying to build a racketeering case against him for the past few years. Gambling, extortion, murder.",21
MULDER,Which is why last night there were two agents parked across the street in surveillance. They witnessed a man being thrown from Cutrona's,23
ROOF AT 10,"40 p.m. This man fell for 30 floors, plus the distance down this shaft, because these doors just happened to be open-- straight through, nothing but net.",27
SCULLY,Ouch.,1
MULDER,"I'm guessing that's what he said. After, he got up, climbed out of here and scampered off into the night.",20
SCULLY,"Mulder, you keep saying ""this man."" Who is this man?",10
MULDER,"No idea. He got away. The agents gave chase, but no clear description.",13
SCULLY,Was this basement thoroughly searched?,5
MULDER,"No. Technically, falling 300 feet and surviving isn't a crime.",10
SCULLY,And your theory is?,4
MULDER,"What if this man had some kind of special capability? Some kind of genetic predisposition towards rapid healing, or tissue regeneration?",21
