speaker,line,words
ELDERLY WOMAN,"Land sakes, George, what are you trying to do?",9
TALL GEORGE,I was trying to be quiet.,6
ELDERLY WOMAN,"Quiet? I smelled you on the stairs. 39 years, I'm still surprised that embalming fluid of yours doesn't wake the dead.",21
TALL GEORGE,"Didn't wake old Zeke McPherson tonight, God rest his soul.",10
ELDERLY WOMAN,"Well, you go outside and take those clothes of yours off so I can rest mine.",16
ELDERLY WOMAN,George!,1
TALL GEORGE,"I'm going, Tahoma, I'm going.",5
TALL GEORGE,What the hell? What the hell is that?,8
TAHOMA,George?,1
MALE AGENT 1,"So, this is where the bad kids are banished to.",10
MALE AGENT 2,"Put me down here I'd probably cook up a lot of crazy ideas, too.",14
SCULLY,Good morning.,2
DOGGETT,Morning. Um... I'll catch you guys later.,7
DOGGETT,Some friends... they're just curious.,5
SCULLY,"I'm not here to be a curiosity, Agent Doggett. I'm here to work.",13
DOGGETT,"I am, too, Agent Scully. I've been here all weekend and early this morning went over every X-File in the cabinet there. Just left to get some coffee.",28
SCULLY,Well... do you have any questions?,6
DOGGETT,Just a few. Maybe first you could tell me where your area is here and… uh…. where mine's going to be.,21
SCULLY,"This is my partner's office, Agent Doggett. You and I will just be using it for a while.",18
DOGGETT,"So, where do we get started?",6
SCULLY,"Homicides: Two … in Idaho. White male, 62, undertaker by profession, he was killed on his front porch about ten feet away from his wife.",25
DOGGETT,Holy god.,2
SCULLY,"Cause of death was blood loss from numerous deep wounds … from bites. Any thoughts, any questions?",17
DOGGETT,"""Bites""?",1
SCULLY,On his head torso and hands. Two of his fingers are missing... eaten off.,14
DOGGETT,"By what, an animal?",4
SCULLY,"These were murders. The, uh, bites on his wife appear to be human.",13
DOGGETT,"I've seen some violent crimes, I mean, some seriously screwed up stuff, but, uh... this is extreme. Is there demonstration of motive?",22
SCULLY,Not according to local P.D.,5
DOGGETT,"Is there any pattern, uh … ritual or anything?",9
DOGGETT,"I have to admit, Agent Scully, I'm at a loss.",10
SCULLY,"Well, that's a good place to start.",7
DETECTIVE ABBOTT,You the folks from the FBI?,6
SCULLY,Yeah.,1
DETECTIVE ABBOTT,"Yale Abbott, Cassia County Sheriff's.",5
SCULLY,Hi. Agent Scully. This is Agent Doggett.,7
DETECTIVE ABBOTT,We like to think we can handle our own problems around here but a couple hotshots up in the county seat seem to think this is beyond us. Not that we don't appreciate your coming out all this way to give us a hand.,44
DOGGETT,"Well, I hope we can. I have to admit I'm a little baffled by what I've seen.",17
DETECTIVE ABBOTT,"Oh, really?",2
SCULLY,"Understand, Detective, that we've seen cases like yours regularly on our unit. Agent Doggett has only just been assigned to the X-Files.",22
SCULLY,I can assure you that there's nothing baffling about human bite marks.,12
DETECTIVE ABBOTT,"Well, that's just what I was getting around to, ma'am. We're not so sure now that these bites are human.",20
DETECTIVE ABBOTT,"The bodies were discovered by neighbours, so there was contamination of the general crime scene. My boys did a real damn good job of separating the various shoe prints and pulling these. Come on over.",35
DETECTIVE ABBOTT,"Right there, see that?",4
DOGGETT,What is it?,3
DETECTIVE ABBOTT,"It's not human, I know that.",6
SCULLY,"It's not quite animal, either.",5
DETECTIVE ABBOTT,There's only four toes.,4
SCULLY,"That's not an unheard of birth defect. Uh, no more rare than polydactylism.",13
DETECTIVE ABBOTT,What did she just say?,5
DOGGETT,I assume she means it could be human.,8
DOGGETT,Is that a fair assumption?,5
SCULLY,I say that assumption is the problem here. A strange print is found and immediately the most important piece of evidence is just thrown out to try and force an explanation. Maybe this print can help explain those bite marks.,40
DETECTIVE ABBOTT,How?,1
SCULLY,I'm not quite sure yet.,5
DETECTIVE ABBOTT,She's not quite sure yet.,5
DOGGETT,"Well, I have to say I've worked a lot of homicides but if the victims laid out here for any time at all in a setting like this, it'd be pretty remarkable if they didn't attract animals.",37
SCULLY,"I think that post-mortem predation is definitely a consideration here, but I only see one print and if it were an animal there would be numerous prints all over here and in the yard.",34
SCULLY,"You agree, Agent Doggett?",4
DOGGETT,I'm going to go take a look around.,8
DETECTIVE ABBOTT,"You know I got two old folks in the morgue mauled beyond recognition. I have no motive to go on, no intent. There's not one shred of evidence that cries out for a human explanation, yet you stand there telling me flat out that what we're looking for is a man. Thanks for everything, Agent Scully. We'll take it from here.",61
SCULLY,"I'm sure your explanation will mollify all those hotshots down at the county seat, Detective and relieve any general anxiety about what this thing might be … but a man.",30
DOGGETT,Agent Scully.,2
DOGGETT,Is that a second print?,5
SCULLY,It could be but I'm not sure if it tells us anything.,12
DOGGETT,"Well, maybe there's no prints in the yard because whatever made these didn't go through the yard. It came through the house.",22
SCULLY,"Well, if anything, I'd say this print leads up the stairs.",11
DOGGETT,Think I've got another partial here.,6
DOGGETT,"You know, there is a more obvious explanation.",8
SCULLY,Mm-hmm.,1
DOGGETT,The more basic answer is what we're dealing with here is simply a man. A psychotic killer with a deformed foot. You're familiar with the principle of Occam's Razor?,29
SCULLY,"Yeah. You take every possible explanation and you choose the simplest one. Agent Mulder used to refer to it as ""Occam's Principle of Limited Imagination.""",25
SCULLY,Unless you have a simple explanation as to how a killer with a deformed foot leaves a print only every 25 feet.,22
DOGGETT,No.,1
SCULLY,Or to what he'd even be doing up here.,9
DOGGETT,I don't know. I'm trying to figure it out just like you are.,13
SCULLY,Agent Doggett.,2
SCULLY,Dark up here.,3
DOGGETT,What do you see? Agent Scully?,6
SCULLY,"Right now, not a heck of a lot.",8
SCULLY,If there was anything up here it might have gone out that window.,13
DOGGETT,You ever carry one of these?,6
SCULLY,Never.,1
DOGGETT,"""V"" for victory.",3
SCULLY,What?,1
DOGGETT,"You said the male victim was missing two fingers? Well, how did the fingers get up here?",17
SCULLY,"Well, from their smell, I'd say they were regurgitated. Recently.",10
DOGGETT,By what?,2
SCULLY,"I saw those on the porch, too.",7
DOGGETT,"Looks like, to me... I don't know. Like it was... it was...",12
SCULLY,Hanging there?,2
DOGGETT,You're still here.,3
SCULLY,"Yeah. Well, I was waiting for some lab results and then I wanted to take another look at the body.",20
DOGGETT,Why? What did you find?,5
SCULLY,Nothing that will allay anyone's fears about what killed this man or his wife.,14
DOGGETT,"""What""? You mean ""who"" killed them.",6
SCULLY,"Well, to be honest, what I found here leans more towards an animal explanation. The, uh, scratches on the body match the four-toed prints that we found. And the bites have fang-like tears. What I thought were marks left by human molars are now inconclusive because of enzymes that were found in the bites which are clearly inhuman- - anticoagulants which … are found solely in the saliva of bats.",69
DOGGETT,Bats.,1
SCULLY,Yeah. I can't exactly explain it but I realize that I owe the Detective an apology.,16
DOGGETT,"Well, I'm not so sure about that. Montana headline circa 1956. The story's the same as what you told me.",20
SCULLY,"""The creature was taken to the county coroner who confirmed it was neither man nor animal.""",16
DOGGETT,"Two days later, the county coroner was disemboweled by something with sharp teeth and four-toed claws. Something that ate several body parts and regurgitated them elsewhere.",26
SCULLY,Did they ever find it?,5
DOGGETT,Five men died or disappeared and then the killing stops. Doesn't say why. But 44 years later it appears that it's back and killing again.,25
DETECTIVE ABBOTT,"You see those marks, right? And the ones over here on the rafter?",13
DETECTIVE ABBOTT,"If you ask me, those look like claw marks. I don't care what kind of a savage he is, what did this isn't human.",24
DOGGETT,"Well, if I may speak for Agent Scully, I think we're both prepared to concede that point, Detective.",18
DETECTIVE ABBOTT,Then you know what this thing is?,7
DOGGETT,I've got a newspaper article I want to show you.,10
SCULLY,Agent Doggett...,2
DOGGETT,A rather strange account from 1956…,6
SCULLY,I found something. A photo album. I think it's our first break on this case.,15
DETECTIVE ABBOTT,What is it?,3
SCULLY,The victim's daughter-- Ariel-- her dead body was pulled from the river here last week.,15
DETECTIVE ABBOTT,I got that call. Had to come tell Mrs. McKesson the bad news. You trying to say there's some kind of connection?,22
