speaker,line,words
AGENT,Radio check. Perimeter is clear.,5
SKINNER,Copy that. Give me a check every ten.,8
SKINNER,"Why don't you folks make yourselves comfortable? Watch some television, get some rest. Try to put your minds at ease. Just try to stay away from the windows and doors, if you would.",33
MRS. SCOBIE,Do we have to ask you if we can use the bathroom? I feel like I'm a prisoner in my own home.,22
SKINNER,"Ma'am, I apologize for the imposition but my job is to protect you. As of this evening, the FBI's top priority is keeping you safe.",25
MRS. SCOBIE,For how long? A week? A month? Then what?,9
MRS. SCOBIE,"Jim, don't do this, please. You don't have to testify. It's not worth it. These people have a long reach. They're powerful.",22
JIM SCOBIE,I have to do this.,5
MRS. SCOBIE,I'm going to bed.,4
JIM SCOBIE,Thank you.,2
SKINNER,The Grand Jury convenes at 9:00. We'll leave here at 7:30. I'll be right outside the door if you need me.,21
MRS. SCOBIE,Jim? Jim? Are you feeling all right?,7
MRS. SCOBIE,Jim? Mr. Skinner... Mr. Skinner! Jim?!,6
SKINNER,Dr. Scobie?,2
MRS. SCOBIE,Jim!,1
WATER AGENT,Ma'am...,1
SKINNER,"Yes, at the time, I was in another part of the house. Yes... Yes, sir... Yes, sir. Yes, sir, I will have answers for you, I...",26
MULDER,Rough night?,2
SKINNER,"Oh, it's shaping up to be a rougher morning. Follow me.",11
SKINNER,There's fingerprints everywhere but as they all belong to the deceased and his wife they don't help us.,18
SCULLY,This is where the body was found?,7
SKINNER,Yeah.,1
MULDER,What can you tell us about him?,7
SKINNER,"Dr. James Scobie, age 44. R&D biochemist with Morley tobacco. If he were alive as of … … 26 minutes ago he'd be giving testimony against his former employer before a federal grand jury.",34
SCULLY,Testimony concerning what?,3
SKINNER,"Not even his wife or his lawyer know the specifics, only that it concerns research that he was involved in potentially extremely damaging to Morley... enough so that Scobie received death threats. Given the high-profile nature of the case the Director charged me with insuring Dr. Scobie's protection.",48
SCULLY,And you think that someone made good on these threats?,10
SKINNER,"I do. And we've yet to determine how someone got in here, or... what killed him.",16
MULDER,Can't blow the whistle with a mouth like that.,9
SCULLY,"It's almost as if his flesh has been stripped or eaten away. I mean, an assailant could have thrown acid on him.",22
MULDER,"Well, if it was acid in the face he would have screamed bloody murder.",14
SKINNER,"We're looking at all possibilities, Agent. We need answers, we don't have a lot of time and we're going up against one of the biggest corporations in America. The Director himself personally instructed me that he wants this case closed as swiftly as possible. I trust I can count on your help.",52
SKINNER,"All right, I want you to perform the autopsy. The body's in the county morgue.",15
SCULLY,I'll get right on it.,5
SKINNER,Thank you.,2
MULDER,Huh.,1
SKINNER,What?,1
MULDER,There's no ashtrays. Dr. Scobie and his wife don't smoke?,10
SKINNER,Not that I've witnessed.,4
MULDER,"A tobacco employee that doesn't smoke-- Isn't that kind of like a GM executive who drives a Ford? If this was a hit it seems unnecessarily high-profile. It kind of draws attention to itself, don't you think?",37
SKINNER,That could be the point-- to intimidate potential witnesses. Scobie had a supervisor at Morley-- a Dr. Peter Voss. I want to talk to him.,25
MULDER,You mind if I tag along?,6
SKINNER,No.,1
AGENT,"Sir, would you take a look at this?",8
SKINNER,What have you got?,4
SKINNER,We're here to see Dr. Voss.,6
SECURITY MAN,Do you have an appointment?,5
SECURITY MAN,Do you have an appointment?,5
SKINNER,Maybe you missed this the first time around.,8
DAVID BRIMLEY,"Gentlemen, I can help you. Daniel Brimley, head of Corporate Security. A pleasure.",13
DAVID BRIMLEY,"You're here concerning Dr. Scobie's death, I take it.",9
SKINNER,We are.,2
DAVID BRIMLEY,We're all extremely sorry to hear about it. Jim has a lot of friends in this building.,17
MULDER,Really? No hard feelings that he was about to turn federal witness against your company?,15
DAVID BRIMLEY,Nobody was happy about Jim's decision but the timing of his death couldn't have been worse.,16
SKINNER,So you have problem with us speaking to Dr. Voss?,10
DAVID BRIMLEY,Absolutely not. Whatever we can do to help. Please.,9
DR. PETER VOSS,"Could you, um...",3
DR. PETER VOSS,"Would you give my sincerest condolences to Jim's wife, Joan? How is she?",13
MULDER,I'm sure she'll take comfort in finding out why her husband died.,12
SKINNER,"Dr. Voss, can you enlighten us as to what Dr. Scobie intended to tell the grand jury? We know it had to do with company research.",26
LEAD COUNSEL,I'm sorry. Dr. Voss would be in violation of his employment confidentiality clause in answering that question.,17
SKINNER,Dr. Scobie was your friend?,5
DR. PETER VOSS,"Yeah, for 14 years, mm-hmm.",5
SKINNER,And yet you demoted him five weeks ago. You took him off a particular project. Can you tell us why that happened?,22
LEAD COUNSEL,"As before, Dr. Voss would be in violation of his confidentiality clause in answering questions regarding the nature of his work here at Morley. I'm sure you understand our cooperation cannot extend itself to revealing corporate secrets.",37
SKINNER,"I'm not sensing any ""cooperation"" whatsoever. In fact, I'm one more non-answer away from getting a federal warrant and searching this entire building.",23
LEAD COUNSEL,Then this meeting is over. Dr. Voss.,7
MULDER,Dr. Voss... can you tell me what that is?,9
DR. PETER VOSS,It's a tobacco beetle. Why?,5
MULDER,We found it at Jim Scobie's house.,7
DR. PETER VOSS,"Well, you'll find a lot of these around here. They're everywhere. There's probably a dozen in the grill of your car right now.",23
LEAD COUNSEL,"May I ask where you're going with this, Agent?",9
MULDER,"I'm sorry, I can't. Answering that question would violate FBI confidentiality due to the sensitive nature of our investigation.",19
DARYL WEAVER,Evenin'.,1
DR. PETER VOSS,What are you doing here?,5
DARYL WEAVER,"Run out of smokes. Me and Dr. Scobie had an arrangement, as you know. So I figured, uh... Dr. Scobie not being around that my arrangement with him... slides on over to you.",33
DR. PETER VOSS,Here you go.,3
DR. WIEDER,That won't hold me.,4
DR. PETER VOSS,"I'll-I'll bring you more. Just-just-just don't come here anymore, all right?",11
DR. WIEDER,"It seems everybody's acting funny around me all of a sudden, you know? Telling me not to talk to stay away from their houses? Huh. Too bad about Dr. Scobie, huh?",31
DR. PETER VOSS,Yeah...,1
DR. WIEDER,"I bet people are wondering how he died, huh? I've been working my own theory up in the old noggin. I'd be happy to share it with you someday.",29
DR. PETER VOSS,I think that you should leave now.,7
DR. WIEDER,"Yeah. I don't want to wear out my welcome. We'll be seeing a lot of each other, I expect.",19
MULDER,Smoke 'em if you got 'em.,6
SKINNER,What have you found?,4
SCULLY,"Well, the tissue damage on Dr. Scobie's mouth extends all the way down his trachea into his lungs. His alveoli look like corned beef.",24
SKINNER,What about this being the result of some sort of corrosive agent?,12
SCULLY,"No, that's not the case. There's no acids present, no caustics. This damage isn't the result of any kind of chemical reaction. His airways have more or less just been reamed out. I can tell you what killed him, though... strictly speaking.",42
MULDER,What?,1
SCULLY,"Hypoxemia. The, uh, inability to transfer oxygen from the lungs to the bloodstream.",13
SKINNER,He choked to death.,4
SKINNER,"I mean, this damage-- however it was accomplished, someone did do this to him.",14
MULDER,"Well, not necessarily. There weren't any signs of struggle in the room. Maybe no one was ever there.",18
SKINNER,Where are you going with this?,6
MULDER,"Well, that this isn't a homicide. You... examined the body Scully. Did you... find any of these?",17
SCULLY,A bug?,2
MULDER,"Well, it's a, tobacco beetle, yeah.",6
SCULLY,"I didn't find anything like that, Mulder. Were you expecting me to?",12
SKINNER,Killer bugs? This is what I'm supposed to tell the Director?,11
MULDER,I don't know but judging from Dr. Voss's reaction to this I think it's the thing we should investigate.,19
NEIGHBOR,"Hey, I've been telling you all week! How many times I got to say it? No smoking! You hear me?",20
DARYL WEAVER,"America, man! E. Pluribus, uh...",5
