speaker,line,words
RICHTER,We're not... who... we are. We're not... who we are. It goes no further than this. It stops right here... right now.,22
RICHTER,"Team Captain John Richter here. It's been a couple of frustrating months but after a great deal of stick-with-it-ness, we're very proud to report that as of a half-hour ago, we surpassed the previous record for drilling down into an ice sheet.",42
MAN,All right!,2
MULDER,"This team of scientists made up the Arctic Ice Core Project. They were sent to Alaska by the government's Advanced Research Project Agency nearly a year ago to drill into the arctic ice. The samples they removed contained trapped gases, dust, chemicals... evidence that could reveal the structure of the earth's climate back to the dawn of man. Their work was a success, nearly completed. No reports or indications of problems of any kind until only a week later, this next transmission was received.",84
RICHTER,We're not... who... we are. We're not... who we are. It goes no further than this. It stops... right here... right now.,22
SCULLY,What happened up there?,4
MULDER,"So far nobody's been able to reach to reach the compound because of bad weather. Obviously, they either think we're either brilliant or expendable because we've pulled the assignment.",29
SCULLY,Is it severe isolation distress?,5
MULDER,"These were top geophysicists. They were trained and screened for this project in every way imaginable, including psychological makeup. We leave for Nome today. We'll meet with three scientists familiar with the ice core project then head north up to the Icy Cape. The National Weather Service reports a three-day window to get in and out before the next arctic storm. Bring your mittens.",64
RADIO ANNOUNCER,Fouts looks over the Raiders' defense... here's the snap. Raiders blitz! Fouts dumps it across the middle to Winslow! He's at the 15! The 10! Touchdown San Diego!,28
MURPHY,Touchdown! Fouts... is... God! Sorry. My team scored.,8
SCULLY,There's no football on Wednesday.,5
MULDER,"Fouts retired in '87, didn't he?",6
MURPHY,"No, this is just some of my all-time favorite plays on tape. You two F.B.I.?",15
MULDER,"Agent Mulder and Agent Scully, you?",6
MURPHY,"Danny Murphy, professor of geology at U. C. San Diego.",10
MULDER,San Diego? You get much of a chance to study ice down there?,13
MURPHY,Just what's around the keg.,5
SCULLY,"Dr. DaSilva, Dr. Hodge?",4
HODGE,"Yeah, sorry we're late.",4
SCULLY,"Hi, Agent Mulder, Agent Scully...",5
MULDER,"Mulder, nice to meet you.",5
HODGE,"How're you doing, Mister Mulder?",5
MULDER,Hi.,1
HODGE,Can I see some identification?,5
MULDER,What for?,2
HODGE,I just want to make sure we are who we say we are. That's me.,15
MURPHY,That's you. It's me.,4
HODGE,It's you.,2
MULDER,It's me!,2
HODGE,Thanks a lot. Appreciate it.,5
MULDER,It's you.,2
HODGE,"Well, now that we know who we are, anybody care to take a guess as to why we're going?",19
MURPHY,"Well, two federal agents, a geologist, a medical doctor and a toxicologist. That should give us some idea what they're thinking.",21
SCULLY,I assume you all took a look at the tape.,10
MULDER,Something wrong?,2
DASILVA,"Come on, you're F.B.I. You have to know more than we do.",12
BEAR,You folks the ones going up to Icy Cape?,9
MULDER,Yeah.,1
BEAR,"Then I'm the one flying you. My name's Bear. The plane's across the way, provisions are loaded. Grab your gear.",20
HODGE,"Oh, could we see some credentials?",6
BEAR,Credentials. The only credentials that I have is that I'm the only pilot willing to fly you up there. You don't like those credentials... walk.,25
MULDER,Bear? See if you can get the power started.,9
BEAR,Anything to get out of here.,6
SCULLY,Where do we start?,4
HODGE,Body bags are on the plane.,6
MULDER,"Before we touch anything, we have to thoroughly document the scene.",11
SCULLY,Flashing.,1
MULDER,That's what they were drilling for. Quarter of a million years melting away in a couple of days.,18
MURPHY,I want to preserve some samples.,6
MULDER,It's the generator.,3
DASILVA,Oh. Agent Mulder! Look out!,5
BEAR,Hold on.,2
HODGE,Hold it down!,3
SCULLY,You okay?,2
MULDER,"Yeah, he didn't break the skin. Bear, you okay?",9
BEAR,He got me.,3
