speaker,line,words
GARY GARBER,"You don't know how much I hate my job on days like this, Jeb. If it were my choice... … I'd be giving you a promotion but with the economy the way it is...",34
JEB DUKES,Are you firing me?,4
GARY GARBER,"You can hold your head up, Jeb. You've done a good job here.",13
JEB DUKES,I-I don't believe this. I... I thought this was just an evaluation.,12
GARY GARBER,I'm sorry. I really am.,5
OFFICER,Stay back. Everybody stay back. Just get back. Everybody stay back.,11
DISTRAUGHT WOMAN,"Oh, my god, there's someone in there!",7
OFFICER,Stay back! Keep your distance.,5
ROBERTA TOEWS,Jeb. Can I help you? Jeb...,6
GARY GARBER,Hey... Jeb... What's up?,4
DETECTIVE POTTER,Agent Reyes?,2
REYES,"Yeah, hi. Uh... Uh, Monica Reyes.",6
DETECTIVE POTTER,"Frank Potter, New Orleans PD.",5
REYES,Trying to quit the habit.,5
DETECTIVE POTTER,"Yeah, I tried to quit smoking myself once. I hated that damn gum.",13
DETECTIVE POTTER,"Well, anyway you, uh, want to see the victims?",9
REYES,"Well, on the phone you said you had reason to believe the killings might be satanic ritual murders.",18
DETECTIVE POTTER,Right. Let me show you.,5
DETECTIVE POTTER,This is Jeb Dukes' work area. I found this among his personal effects.,13
REYES,"What can you tell me about the killer, detective? Anything?",10
DETECTIVE POTTER,"Thirty-one years old. College grad, lived alone. There's some who felt he had a dark side which could explain that there.",21
REYES,Can I look in there?,5
DETECTIVE POTTER,Sure. You're the expert.,4
DETECTIVE POTTER,Does it tell you anything about why he might've killed those people?,12
REYES,"The fact is, a killer like this is usually pushed over the edge by what we call a stressor, a catalysing event-- an emotional breakdown the breakup of a relationship or sometimes when someone's been fired.",36
DETECTIVE POTTER,This guy was fired … by the two victims.,9
REYES,"Well, that's most likely what drove him to murder.",9
DETECTIVE POTTER,"Yeah, but what about all these images... these devil pictures?",10
REYES,It's Marilyn Manson.,3
DETECTIVE POTTER,Marilyn Manson?,2
REYES,"Your kids listen to him. They probably buy his CDs at K-Mart. I don't think there's anything satanic going on here, Detective.",22
DETECTIVE POTTER,"Agent Reyes? Okay, okay... It's some rock group, but you don't think this has anything to do with Satan or evil or...?",22
REYES,Personally? I'd look into his gum.,6
DETECTIVE POTTER,Agent Reyes? Did you find something?,6
SCULLY,Mulder?,1
MULDER,What?,1
SCULLY,I was just about to jump in the shower but I was waiting for the pizza man.,17
MULDER,You got something going on with the pizza man I should know about?,13
SCULLY,The pizza man?,3
MULDER,"Well, correct me if I'm wrong but you just said you were waiting for the pizza man to jump in the shower.",22
SCULLY,"No, what I mean was the pizza man's usually late, and so...",12
SCULLY,You want to come in?,5
MULDER,Thank you.,2
SCULLY,I feel like I'm stuck in an episode of Mad About You.,12
MULDER,"Well, uh, yeah, but small technicality. Mad About You was about a married couple and we just work together.",19
SCULLY,"Yeah, well, you know what I'm talking about.",8
MULDER,"I do, I do. What-what I'm trying to say is that, uh... we have no good reliable information on this man. I mean, what I am saying is the pizza man...",31
MULDER,… is not above suspicion.,5
SCULLY,"Ah, I see.",3
SCULLY,Is that for me?,4
MULDER,Yeah.,1
SCULLY,Nice package.,2
MULDER,Thank you.,2
