speaker,line,words
PANELIST,"Some feel that contact with other civilizations is no longer beyond our dream, but is a natural event in the history of mankind that will perhaps occur within the lifetime of many of us.",34
SCULLY,Excuse me.,2
VOICE,Let her through.,3
DETECTIVE,"Detective Rempulski, Alexandria P.D. Thanks for coming down to do this. It him?",13
SCULLY,Yeah.,1
BLEVINS,"Agent Scully, please have a seat. Agent Scully, we've had a brief discussion, that will you restate the matter we're here to put to rest?",25
SCULLY,"Yes sir. Four years ago, Section Chief Blevins assigned me to a project you all know as the X Files. As I am a medical doctor with a background in hard science, my job was to provide an analytical prospective on the work of Special Agent Fox Mulder, who's investigations into the paranormal were fueled by a personal belief that his sister had been abducted by aliens when he was 12. I come here today, four years later, to report on the illegitimacy of Agent Mulder's work. That it is my scientific opinion that he became over the course of these years a victim. A victim of his own false hopes and of his beliefs in the biggest of lies.",120
ARLINSKY,We're meeting the guide at base camp. He'll take us to the site.,13
BABCOCK,Has he seen it?,4
ARLINSKY,"Oh, yeah. He said it's unbelievable. BASE CAMP",8
BABCOCK,How soon til we can get to the site?,9
MAN,Right now? We'd be pushing it to get to the camp by nightfall.,13
BABCOCK,I'd rather sleep seeing it than lay awake all night wondering.,11
MAN,It will take some work.,5
ARLINSKY,I've waited all my life for this day.,8
BABCOCK,Let's do it. LATER LATER,5
MAN,We're here.,2
ARLINSKY,"My God, it's beautiful.",4
BLEVINS,"Agent Scully, I presume you have a basis for this break from Agent Mulder.",14
SCULLY,"Yes Sir. Recent events have shed new light on the factual and physical evidence that would serve to prove the existence of extra terrestrial life, which was the foundation of Agent Mulder's consuming devotion to his work.",37
BLEVINS,What factual evidence?,3
SCULLY,"Agent Mulder was recently contacted by man who's pursuit of this evidence seemed to coincide with his own. In his intense desire to believe, Agent Mulder was duped by this man. He was fooled by an act of scientific slight of hand calculated to perpetuate false truths, a larger lie. I am here today to expose this lie. To show the mechanism of deception that drew him and me into it. And to expose Agent Mulder's work for what it is.",81
SCULLY,So he toppled over me and down the stairs.,9
MRS. SCULLY,Hi.,1
SCULLY,"Speaking of Bill, is he coming?",6
MRS SCULLY,There he is.,3
SCULLY,"Look at you, my big brother.",6
BILL,Sorry I'm late. My ship got stuck in traffic. You get my birthday card?,14
SCULLY,"Yes, I did. Thanks for remembering this year.",8
BILL,"Well, once a decade...",4
BILL,How are you feeling?,4
SCULLY,"I'm fine. Let's get some dinner, huh?",7
BILL,"Yeah, starving. LATER",3
BILL,"Mom, I'll open some more wine.",6
MRS SCULLY,Okay.,1
FATHER,I feel awkward sitting here. I'm sure you do too.,10
SCULLY,"No, I'm sorry.",3
FATHER,"I've known your family so many years. Your mother asked me to come. That I might have a word with you. I know it's been some time since we've spoken ourselves, since you drifted from the church...",37
SCULLY,"Father McCue, I...",3
FATHER,"But a time of personal crisis, a threat to your health, going back to your faith is important and essential.",20
SCULLY,"Father McCue.. I appreciate my mother's concern, and yours. But I'm being treated for my cancer and taking every precaution.",20
FATHER,Faith can make you stronger.,5
SCULLY,"I haven't felt the need. I have strength and I... I'm not going to come running back now. It's just not who I am. I'd be lying to myself, and to you.",32
BILL,Dana... phone.,2
SCULLY,Excuse me. Hello?,3
MULDER,"Hey Scully, it's me. Sorry to interrupt your dinner.",9
SCULLY,"No, is something the matter?",5
MULDER,"Well, I need your help on something. I was just contacted by Doctor Arlinsky from over at the Smithsonian.",19
SCULLY,Contacted you about what?,4
MULDER,About something he found on a mountain in Canada.,9
SCULLY,What?,1
MULDER,"I'd rather not talk about it the phone, I just need you to meet me over at the Smithsonian.",19
SCULLY,When?,1
MULDER,Right away.,2
SCULLY,I'm on my way.,4
MULDER,You're going to have to apologize for me to your brother and mother. This is something that just couldn't wait though.,21
SCULLY,It's okay. Who's this... Arlinsky?,5
MULDER,He's a forensic anthropathologist that I've been in contact with over the last four years. Several years ago he was involved in an embarrassing UFO photo enhancement scandal. But he continues to profess his innocence.,35
SCULLY,What am I coming to see?,6
MULDER,I'm not going to tell you. I'm going to let you decide for yourself.,14
ARLINSKY,"By my rough estimate from the sediment in the ice core sample, the body you're looking at is over 200 years old.",22
MULDER,Perfectly intact.,2
ARLINSKY,Yeah.,1
MULDER,That doesn't make sense. There should be signs of gradation.,10
ARLINKSY,The position it was found in. Stuffed in a crevice at high altitude. He may have frozen fast enough to avoid being eaten.,23
MULDER,Does that fit geologically?,4
ARLINSKY,"The area where it was found, is in the terminal moraine of a glacier that has since receded. Over 200 years ago, where the alien was frozen was in the tree line so there might have been a thaw.",39
SCULLY,Who found him?,3
ARLINSKY,"A Canadian geodetic survey team. Along with a colleague of mine, Babcock. They're all still up there on the mountain.",20
MULDER,Who all knows about this?,5
ARLINSKY,I know what your first thought was. But the St. Elias range? It's an awful long way to go for a hoax.,22
MULDER,"If you're going to go, why not go all the way?",11
ARLINSKY,I circumspect myself. But the ice core samples that I took. They can't be faked.,15
SCULLY,You have the ice core samples here?,7
ARLINSKY,Yeah. One taken from each side of the body. 360 degree matching the integrity of the sediment. It's my sincere belief that what we have here is the complete corpus of an extra terrestrial biological entity. Absolute and unrefutible.,39
MULDER,Qualitatively indefensible. You go public with this nobody is going to believe you. You also risk never knowing for sure because the same people who bury the truth so assiduously will be in charge of its authentication.,37
ARLINSKY,"That's why I came to you. I need to get the specimen out so I can authenticate it. This body means everything to you, Agent Mulder. You could have the proof in your hands.",34
MULDER,And what do you want?,5
ARLINSKY,I just want the credit.,5
MULDER,You think it's foolish?,4
SCULLY,"I have no opinion, actually.",5
MULDER,You have no opinion?,4
SCULLY,"This is your holy grail, Mulder. Not mine.",8
MULDER,What's that supposed to mean?,5
SCULLY,It just means proving to the world the existence of alien life is not my last dying wish.,18
MULDER,"What about Santa Claus or the Easter Bunny? This is not some selfish pet project of mine, Scully. I'm as skeptical of that man as you are, but proof... definitive proof of sentient beings sharing the same time and existence with us, that would change everything. Every truth we live my would be shaken to the ground. There's no greater revelation imaginable, no greater scientific discovery.",66
SCULLY,"You already believe, Mulder. What difference would it make? I mean, what would proof change for you?",17
MULDER,"If someone could prove to you the existence of God, would it change you?",14
SCULLY,Only if it were disproven.,5
MULDER,Then you accept the possibility the belief in God is a lie?,12
SCULLY,"I don't think about it, actually, and I don't think it can be proven.",14
MULDER,But what if it could be? Wouldn't that knowledge be worth seeking? Or is it just easier to go on believing the lie?,23
SCULLY,"I can't go with you, Mulder.",6
MULDER,Can you at least take a look at those core samples? Tell me if they're a lie? That's all I'm asking.,21
SCULLY,"What I couldn't tell Agent Mulder, what I had only learned myself, was that the cancer which had been diagnosed in me several months earlier had metastasized. And the doctors told me, sort of a miracle, it would continue to aggressively invade my body, advancing faster each day toward the inevitable.",51
MAN,What's that for?,3
BABCOCK,I don't know these men well. Do you?,8
MAN,Well enough.,2
BABCOCK,I'm going to be up here alone until you get back. I hope I don't have to use it.,19
OTHER MAN,I think you'd better have a look at this.,9
OTHER MAN,We were doing a lateral cut in the back quarter when I saw something in the ice. Right here.,19
MAN,What do you think that is?,6
BABCOCK,I don't know. A bubble... a weak spot...,8
OTHER MAN,Or a casing channel. A pour hole. Liquid poured in from the side or above somehow.,16
BABCOCK,Poured from where?,3
OTHER MAN,I don't know.,3
BABCOCK,The angle wouldn't make sense.,5
OTHER MAN,"Yeah, you're right.",3
BABCOCK,We'll never know until we get it out of there. LATER ON MOUNTAIN,13
LAB TECH,"The iron concentration density and temperature profiles are all consistent. There's a tight matrix of crystals of approximable center. Suggesting the quick freezing scenario we mentioned. Here at the terminus, you've got some particular hydro carbons, jet fuel pollutants found just about everywhere in the world.",46
SCULLY,But not in old ice.,5
LAB TECH,Don't misunderstand. This is old ice. This sample has numerous levels of sedimentation like the rings on a tree essentially.,20
SCULLY,So it hasn't been tampered with?,6
