speaker,line,words
MULDER,"Two men, young, idealistic - the fine product of a generation hardened by world war. Two fathers whose paths would converge in a new battle - an invisible war between a silent enemy and a sleeping giant on a scale to dwarf all historical conflicts. A 50-years war, its killing fields lying in wait for the inevitable global holocaust.",57
MULDER,"Theirs was the dawn of Armageddon. And while the world was unaware, unwitting spectators to the hurly-burly of the decades-long struggle between heaven and earth there were those who prepared for the end; fight, or bow to the will of a fearsome enemy. Or to surrender - to yield and collaborate. To save themselves and stay their enemy's hand. Men who believed that victory was the absence of defeat and survival the ultimate ideology... No matter what the sacrifice.",78
CASSANDRA SPENDER,"Shoot me now, before it's too late!",7
SCULLY,Mulder?!,1
CASSANDRA SPENDER,Shoot!,1
MULDER,Who are you!,3
CDC BIOSUIT MAN,Get down! Get down!,4
MULDER,Who are you?!,3
CDC BIOSUIT MAN,Down! Down! On the floor!,5
MULDER,What's going on?!,3
CDC BIOSUIT MAN,Get on the ground! Get on the ground!,8
MULDER,Who are you?!,3
CDC BIOSUIT MAN,Drop down! Drop! Drop!,4
MULDER,Who are you?!,3
CDC BIOSUIT MAN,We're with the Centers for Disease Control. Remain calm and where you are for your own good. You're gonna be transported to a quarantine facility as soon as we can secure the environment.,33
SCULLY,Quarantine for what?,3
DIANA FOWLEY,A contagion. A contagion of unknown origin.,7
MULDER,There must be some kind of mistake. I signed up for the aroma therapy treatment.,15
SCULLY,Are we going to be able to talk to somebody who can tell us what this is all about?,19
MULDER,Where the hell do you think we are?,8
SCULLY,"I think, based on our travel time probably Fort Marlene. High risk decontamination and quarantine.",15
DIANA FOWLEY,I'm going to beg for your understanding and forgiveness and offer my humblest apologies for the way this went down. I didn't have a lot of choices. I owe your neighbors apologies as well. It's going to be some time before they get back in the building. We're still acting on a CDC Level - Four quarantine protocol.,57
SCULLY,Based on what information?,4
DIANA FOWLEY,That Cassandra Spender had contracted a highly contagious vectoring organism which produces a spontaneous cellular breakdown and combustion.,18
SCULLY,What?,1
DIANA FOWLEY,She was and remains the only surviving victim of an unspecified medical experiment that killed seven doctors with violent and unexplained burning.,22
MULDER,Who called you?,3
DIANA FOWLEY,Agent Spender.,2
SCULLY,Where's Cassandra?,2
DIANA FOWLEY,She's isolated... pending full and satisfactory medical evaluation.,8
SCULLY,"Cassandra Spender was in a general hospital environment for days. We met with her, and yet on a whim you call in the third battalion. It's unjustified and highly suspicious as to motive.",33
MULDER,Scully...,1
DIANA FOWLEY,What motives are you suspecting?,5
SCULLY,Your isolation of Cassandra.,4
DIANA FOWLEY,She's Patient Zero.,3
SCULLY,"No one is sick or infected here. I mean, I assume that based on you walking in here dressed to the nines offering apologies masquerading as explanations.",27
MULDER,Scully...,1
SCULLY,"Mulder, I want to see Cassandra.",6
DIANA FOWLEY,I told you-- she's isolated.,5
SCULLY,"Yes, and I am a medical doctor.",7
DIANA FOWLEY,Who is suspended indefinitely from her position at the FBI.,10
SCULLY,They've burned our clothes.,4
MULDER,Hey... I heard gray is the new black.,8
SCULLY,"Mulder, this stinks, and not just because I think that woman is a... well, I think you know what I think that woman is.",24
MULDER,"No. Actually, you hide your feelings very well.",8
SCULLY,"Agent Spender calling the Centers for Disease Control? Mulder, this is just somebody using their position to stage a hi-tech government kidnapping.",22
MULDER,Apparently not. I just spoke to AD Skinner. He was at the hospital when Cassandra went missing. He heard Spender make the phone call to the CDC.,27
SCULLY,"But she wasn't sick, Mulder. I mean, the remarkable thing is she was well.",14
MULDER,"Well, then why did she come to my apartment demanding to be killed?",13
SCULLY,"Because of everything that had been done to her-because of the tests, because of the medical experiments and the implant put in her neck - the same thing that was done to me. She just wants it to stop. And I'm telling you, they have taken her so that it can continue.",51
MULDER,"No. It won't continue. It doesn't have to anymore. She knows what she is, Scully. That's why it's so dangerous for her to be alive. That's why she came to my apartment asking to be killed.",36
SCULLY,What is she?,3
MULDER,"I think she's the one, Scully.",6
KRYCEK,I recovered all the medical records form the hospital. The doctors who examined her before she escaped are telling us Cassandra Spender may be the culmination of 25 years of this group's finest efforts.,34
ELDER 3,That's why the rebels struck. They were trying to kill her.,11
KRYCEK,They killed everyone but her. They struck to keep her alive - keep us from killing her.,16
FIRST ELDER,What do the rebels want?,5
ELDER 3,To destroy us. They know that when the aliens learn of Cassandra colonization will begin.,15
ELDER 4,We must destroy Cassandra.,4
CSM,No. Let colonization begin. We must turn over Cassandra. Save ourselves.,11
ELDER 4,Bill Mulder was against this. He said this would be our tragic mistake.,13
CSM,Bill Mulder sacrificed his only daughter because he knew this day would arrive. What choice have we... If you want to see your families survive? If we want to see those we sacrificed returned to us?,36
MULDER,"Hello? Hello? Oh, oh, Ma'am. These shoes? They're, they're two sizes too small. I was wondering if I could get a...",21
MULDER,"A pair that fit, maybe?",5
MARITA COVARRUBIAS,I can't be seen with you.,6
MULDER,Marita?,1
MARITA COVARRUBIAS,"If they catch me with you, they'll kill me this time.",11
MULDER,Who?,1
MARITA COVARRUBIAS,The Smoking Man and... his group.,6
MULDER,What have they done to you?,6
MARITA COVARRUBIAS,"Tests. Terrible, terrible tests.",4
MULDER,Like the tests on Cassandra Spender?,6
MARITA COVARRUBIAS,"No. No, Cassandra Spender is part of a program that's been going on for 25 years. A hybrid program.",19
MULDER,Then what were the tests on you?,7
MARITA COVARRUBIAS,I was infected with the alien virus - the black oil. My tests were on the vaccine against it... being developed in secret.,22
MULDER,In secret from the alien colonists. The hybrid program was in cooperation with the aliens but the conspirators never intended to succeed... to finish the work.,26
MARITA COVARRUBIAS,They were buying time.,4
MULDER,To make a vaccine and build a weapon.,8
MARITA COVARRUBIAS,But Cassandra Spender happened.,4
MULDER,"She's the first, isn't she? She's the first successful alien/human hybrid.",11
MARITA COVARRUBIAS,If she is... and the aliens learn a hybrid exists... colonization of the planet will begin. With no stopping it.,20
CASSANDRA SPENDER,Jeffrey. Jeffrey. Jeffrey.,3
SPENDER,Mom... How are you feeling?,5
CASSANDRA SPENDER,"Uh, fine. Why are they keeping me here?",8
SPENDER,I'm keeping you here because you're safe here.,8
CASSANDRA SPENDER,Safe from who?,3
SPENDER,You know who. From my father.,6
CASSANDRA SPENDER,You can't keep me safe from him.,7
SPENDER,"I can, Mom and I'm going to. There won't be any more tests on you.",15
CASSANDRA SPENDER,You don't understand. You don't understand about me.,8
SPENDER,I do. I understand everything now.,6
CASSANDRA SPENDER,You don't understand what will happen... what will happen to you if they find me out. You've got to let me go.,22
SPENDER,"They'll just hurt you again, Mom.",6
CASSANDRA SPENDER,Yes. You must let them. Or everyone dies. Everyone. Jeffrey... please... Jeffrey... Jeffrey! Jeffrey...,14
MULDER,The latest in home security.,5
FROHIKE,"Hey, you get through this, you got to come through me.",11
MULDER,I got a call from Scully. Said it was urgent.,10
SCULLY,"I'll ask you to hear me out before you launch any objection. Mulder, I asked them to pull up everything they could on Diana Fowley.",25
MULDER,I don't have time for this.,6
SCULLY,"Mulder, she's playing you for a fool.",7
MULDER,"I know her, Scully. You don't.",6
