speaker,line,words
WOO,"Come on Fong. Don't be scared. Okay, here it is. I saw them load it in Hong Kong.",18
FONG,Tell me what you think is inside.,7
WOO,Yesterday I put my face close to the box. The thing inside tried to bite me.,16
FONG,Maybe it's a tiger.,4
WOO,"Come on, Fong. Take a look. With eyes like that, how can it be a tiger?",16
WOO,I think we killed it.,5
YEE,This hold was secured in Hong Kong. I don't know how this happened. It makes no sense. We found the cage still locked. Two of my men are missing.,29
DETWEILER,Who's in charge here? You?,5
YEE,Who are you?,3
DETWEILER,"My name is Detweiler. I'm the owner of this cargo. I was to be notified immediately of its arrival. There's an animal in here, damn it. It needs care.",29
SCULLY,Aren't you going home?,4
MULDER,I am home. I'm just feathering the nest.,8
SCULLY,What you got?,3
MULDER,Two merchant marines found dead this morning in San Pedro … in the hold of their cargo ship.,18
SCULLY,You mind if I ask the cause of death?,9
MULDER,On the crime report it says multiple bite wounds.,9
SCULLY,From what?,2
MULDER,The Hong Kong manifest has the cargo listed as a dog.,11
SCULLY,"A dog? A ""dog"" dog?",5
MULDER,Yo quiero Taco Bell. That alone is not what drew me to this case. The two men were found inside the container. It was locked from the outside.,28
SCULLY,What happened to the dog?,5
MULDER,Dog gone…. Dog gone… Doggone.,5
SCULLY,"Yeah, I got it. Did anybody, um, examine the victims, Mulder?",11
SCULLY,"Look, bite wounds are rarely lethal in themselves. I mean, they are not the cause of death. They lead to it through the loss of blood, but, uh... it makes you wonder how accurate this report is.",37
MULDER,Local PD wrote it up. Department of Fish and Wildlife is on the case. I got an outside source says it was a dog.,24
SCULLY,"Mulder, I don't have to tell you how absolutely and completely wrong that seems. I mean, they were found dead in a locked cage, right?",25
MULDER,Yeah.,1
SCULLY,Two grown men?,3
MULDER,Mm-hmm.,1
SCULLY,You're not going to tell me that a dog did this.,11
MULDER,A bad dog.,3
SCULLY,Yeah.,1
JAKE CONROY,"Shh. Quiet. Jo-Jo, come on. Shh. Shh. Shh. That's enough now. Come on. Come on. Come on. It's okay.",19
JAKE CONROY,"Hey, get out of here. Go on, git! Come on, inside. Come on. Come on. Inside. Inside. Inside, Jo-Jo.",19
JAKE CONROY,Get out of here. Go on home. Go home.,9
JAKE CONROY,"Jo-Jo? Here, girl. You better not be on the bed. There you are. What are you doing, girl? You nut. Big ol' lazy bones. Jo-Jo, what are you doing...?",29
JAKE CONROY,Stay away. Go on.,4
MULDER,Officer Jeffrey Cahn?,3
OFFICER JEFFREY CAHN,Yeah?,1
MULDER,"I'm Special Agent Fox Mulder with the FBI. This is my partner, Dana Scully. I think the LA field office would have contacted you that we were coming down today.",30
OFFICER JEFFREY CAHN,"Oh, yeah. I hope you don't mind - I had to look around the ship with my men. We were pretty thorough.",21
SCULLY,What did you find?,4
OFFICER JEFFREY CAHN,"Nothing conclusive, really, but I can tell you the dog's not likely still on the ship.",16
MULDER,How did you determine that?,5
OFFICER JEFFREY CAHN,"You ever owned a dog, sir?",6
MULDER,Yeah.,1
OFFICER JEFFREY CAHN,Had to clean up after it?,6
SCULLY,I don't suppose you can tell us what kind of dog this is.,13
OFFICER JEFFREY CAHN,"I'm not really sure. The man it was shipped to's name is Detweiler. Dr. Ian Detweiler. Calls himself a ""cryptozoologist.""",20
MULDER,Cryptozoologist?,1
OFFICER JEFFREY CAHN,They deal with animals thought to be extinct.,8
MULDER,Animals that aren't supposed to exist like Sasquatch and the Ogopogo and the Abominable Snowman and - - -,16
SCULLY,Don't mind him. He'll go on forever. Did you have a chance to talk to this Dr. Detweiler?,18
OFFICER JEFFREY CAHN,About five minutes ago.,4
DETWEILER,"Officer Cahn, any progress?",4
OFFICER JEFFREY CAHN,"Agents, this is Dr. Detweiler.",5
DETWEILER,Are you from the FBI?,5
MULDER,Yes.,1
DETWEILER,Who should I be speaking to about the theft of this animal?,12
MULDER,Theft? What do you mean theft?,6
DETWEILER,This is a very valuable animal that's disappeared. A rare breed and arguably a priceless specimen.,16
SCULLY,A breed of what?,4
DETWEILER,Wanshang Dhole. It's a canid.,5
MULDER,That's an Asian dog. Supposed to have been extinct for the last 150 years.,14
DETWEILER,"Yes. That's right, actually.",4
SCULLY,And you have one of these?,6
