speaker,line,words
EXCAVATOR,"Here, try the screen.",4
MULDER,"Concentrate on this area, over here. Right there.",8
SCULLY,Mulder... What's going on?,4
MULDER,"I'm not sure I can explain, Scully.",7
SCULLY,You called for a forensic excavation at five A.M. on a Sunday? What are you looking for?,17
MULDER,"Just give me a minute, Scully, okay?",7
SCULLY,"Mulder, what are you doing out here?",7
MULDER,I keep having this dream. It's about a little blond girl.,11
SCULLY,You're saying that you're out here because of something you saw in a dream?,14
EXCAVATOR,Sir!,1
EXCAVATOR,Carefully remove the dirt around it...,6
SCULLY,"So, tell me about this dream.",6
MULDER,"I've had... flashes of it, three nights in a row. And last night, it went on long enough to lead me right to her. I need the chest exposed.",29
EXCAVATOR,"Yes, sir. It just takes a little time. Sir, let us do that... sir...",14
SCULLY,"Mulder, if you destroy evidence, we may never find out what happened here.",13
MULDER,I know what happened here. She was strangled. He used an eight-gauge electrical cord. He took something from the body post-mortem... a trophy. A piece of fabric cut from her clothes... in the shape of a heart.,37
SCULLY,You're saying you got all these details from your dream?,10
MULDER,No. I know this M.O. I know it from memory.,10
SCULLY,Whose M.O.?,2
MULDER,John Lee Roche. He killed thirteen eight-to-ten year-old girls. This makes fourteen.,12
MULDER,"It was a difficult case, he was extremely hard to catch. By 1990, ten victims had been found scattered across the eastern seaboard. The earliest dated back to 1979. V.I.C.A.P. named the case ""paper hearts"" because of the trophies the killer took. All the victims were abducted from their homes. Reggie Purdue brought me onto the case because he thought I could get inside the killer's head.",67
SCULLY,Did you?,2
MULDER,"I concluded that, that we were probably looking for a salesman. Someone who, who traveled around a lot, someone who could gain people's confidence, someone ordinary. Turns out Roche was a vacuum cleaner salesman. His job took him all over the northeast. He'd be in someone's home, demonstrating his vacuum cleaner. All the while, he'd be checking out their kids. He'd choose a victim then come back for her months later.",71
SCULLY,"But it was your profile that caught him. What about the, uh, the trophies he took, the cloth hearts?",19
MULDER,"We never found them, but we didn't need them to make the case. We had him cold on thirteen counts of murder. He admitted to thirteen. Polygraph said he was telling the truth. But that always bugged me about this case. I always wanted to find those hearts and count them, see if they really added up to thirteen. I guess they didn't.",63
SCULLY,"Well, if nothing else... I think I can at least help explain your dream. I don't think you ever stopped thinking about this case. I believe that you may have solved it in your sleep.",35
MULDER,So you think that I've somehow had this information about a fourteenth victim all the time and I've been processing it unconsciously?,22
