speaker,line
AN AREA CLEANING WILL COMMENCE ON,"MONDAY FEBRUARY 8, 2016"
AT 5,"00 A.M. Suddenly the notice is doused in water from a high pressure hose and washed off the graffiti-covered wall. The hose is held by a man dressed in yellow waterproofs, who is slowly walking down the sidewalk and spraying water on the many homeless people who are sleeping and taking refuge against the building. Their belongings are caught in the spray, their bags and carts pulled away by the cleanup crew. A man in his mid-40s, JOSEPH CUTLER, is following the water jet, berating the homeless people for not having moved on already."
CUTLER,You people were told this was coming. This is the first phase in a relocation project that will see you transferred to the old Franklin Hospital in Bucks County! An officious-looking man drinking soup and a police officer in riot gear are watching the operation unfold in the background.
CUTLER,Any personal items collected tonight by the US Department of Housing and Urban Development can be retrieved... at our field office at 1804 South Walnut Street. His assistant is standing behind him. CUTLER surveys the operation before turning to his assistant.
CUTLER,Which is where I'll be. He takes a final look before heading to his car.
CUTLER,"Hey, give me a ride back to the field office. They leave. The officious-looking man, still watching, takes another good slurp of soup."
CUTLER,Your street is next! Tomorrow morning! You've been warned! YOU ARE RESPONSIBLE!
AN AREA CLEANING WILL COMMENCE ON,"TUESDAY FEBRUARY 9, 2016"
AT 5,00 A.M.
HOMELESS PERSON,"Hey! Hey, come on! Later. The street is deserted. A large refuse truck pulls up outside the building. It stops for several seconds, its engine idling, before driving off. We see a lone figure, dressed in a long dark trench coat, standing in the road behind where the truck came to a halt. The figure turns towards the building, before walking over to the entrance, his lumbering footsteps ringing out into the night. Inside the building. CUTLER is in his office. He squirts some antibacterial gel onto his hands from a dispenser on his desk. He picks up his cell phone and makes a call."
CUTLER,"Landry. Cutler. You still down there? Everything okay? Any problems? His sniffs. Suddenly he snorts heavily, losing his breath. He coughs."
CUTLER,"Oh. He hangs up the phone. The lights suddenly fizzle out, plunging the room into darkness. More lumbering footsteps. Metallic thuds sounding like pipes being struck with a hammer."
CUTLER,"Somebody out there? Through the frosted glass of his office door we see a large silhouetted figure approach the office. It stops in front of the door. CUTLER, starting to panic, dials 911 and pulls open his desk draw, reaching for his gun."
CUTLER,"This is Joseph Cutler. I'm at 1809 South Walnut. There's an intruder. He holds out his gun, aiming it on the figure standing the other side of his office door."
911 OPERATOR,"Sir, we're notifying the police. Are you in danger? CUTLER holds the phone to his ear but says nothing, too petrified to talk. The silhouetted figure gets larger as it steps towards the door."
