speaker,line,words
MULDER'S VOICE OVER,"I've held a torch in the darkness to glance upon a truth unknown. An act of faith begun with an ineloquent certainty that my journey promised the chance, not just of understanding, but of recovery. That the disappearance of my sister, 23 years ago, would come to be explained. And that the pursuit of these greater truths about the existence of extraterrestrial life might even reunite us. A belief which I now know to be false... and uninformed... in the extreme. My folly revealed by facts which illuminate both my arrogance and self-deception. If only the tragedy had been mine alone, might it be more easy tonight to bring this journey to its end.",114
KRITSCHGAU ON PHONE,Agent Mulder? Agent Mulder?,4
MULDER,Yes...,1
KRITSCHGAU,There's a matter of security. Something I hadn't anticipated. Just after I left your apartment,15
MULDER,Who are you?,3
KRITSCHGAU,"Just after our last conversation, I was followed by people",10
MULDER,Who are you?!,3
KRITSCHGAU,"Are you listening to me, Agent Mulder? Are you hearing me? We can't talk now. I have reason to believe",20
MULDER,Did they give... Agent Scully this disease? Did they do this to her because of me?,16
KRITSCHGAU,"They may be listening, Agent Mulder. They may be watching you. Everything you do and say. Are you listening, Agent Mulder? Agent Mulder? UPSTAIRS",24
MULDER,Back away!,2
MULDER,"Keep going, FBI woman.",4
SCULLY,Mulder? What are you doing? Why are you sitting in my bedroom in the dark?,15
MULDER,"It was too crowded in my apartment, I couldn't sleep.",10
SCULLY,"I'm not kidding, Mulder.",4
MULDER,"Good, cuz neither am I. There's a dead man on the floor of my apartment, and it's only a matter of time before he starts to stink the place up.",30
SCULLY,"What are you talking about, Mulder? What's going on?",9
MULDER,"Apparently somebody thinks my life is interesting enough to put on video tape. My apartment's been under an electronic surveillance for at least 2 months. Look at this, courtesy of the US government.",33
SCULLY,That's the dead man in your apartment?,7
MULDER,"Yeah, he works... he worked for the Department of Defense.",10
SCULLY,"How did he die, Mulder?",5
MULDER,Gunshot wound to the face.,5
SCULLY,Have you contacted anybody at the Bureau?,7
MULDER,"I can't do that, Scully, I can't go to the authorities with this.",13
SCULLY,What are you talking about?,5
MULDER,"This man, Ostelhoff, worked for the military. Are you beginning to get the picture? Do you see what's happening here?",20
SCULLY,"That the hoax is connected to the military, just like Kritschgau said it was.",14
MULDER,"This hoax, your cancer, everything! It just doesn't lead back to the military, it leads right back to the FBI!",20
SCULLY,What?,1
MULDER,"This man, Ostelhoff, was set up in the apartment directly above mine. I caught him trying to destroy phone records on which the same number was called 17 times.",29
SCULLY,This is a PBX operator at the Bureau.,8
MULDER,Yeah.,1
SCULLY,Who would he be calling at the FBI?,8
MULDER,I don't know.,3
SCULLY,"Mulder, how long has this been going on?",8
MULDER,"Maybe since the beginning, since you joined me on the X-Files.",11
SCULLY,"That would mean that for 4 years we've been nothing more than pawns in a game, that it was a lie from the beginning. Mulder, these men... You give them your faith and you're supposed to trust them with your life.",41
MULDER,"There are those who can be trusted. What I need to know is who among them is not. I will not allow this treason to prosper, not if they've done this to you.",33
SCULLY,"Mulder, we can't go to the Bureau making these accusations.",10
MULDER,"No, but as they lie to us, we can lie to them. A lie to find the truth.",18
