speaker,line,words
DYER,"You’re supposed to be in charge here, Perkins.",8
PERKINS,I am in charge.,4
DYER,"Well, these men want some answers. They want to know what you’re plan is. Let’s face it, this thing could kill us all.",23
PERKINS,We should’ve been gone two days ago. Nobody would listen to me.,12
DYER,"Nobody knew what it was two days ago, Perkins. Nobody knows now.",12
PERKINS,Somebody has to go for help.,6
DYER,What about the rest of us? What are we supposed to do? Just wait here until help arrives?,18
PERKINS,"We have to take a chance, one of us has to hike out!",13
DYER,"That person might not make it in time. He might not make it down to the road before nightfall! Then what? I say we make a run for it, split up, take our chances!",34
PERKINS,"It’s suicide, Dyer.",3
DYER,Fine. You stay here. Tell us how it turns out.,10
MAN,Hurry up!,2
ANOTHER MAN,You’re going the wrong way!,5
DYER,I think it’s broken.,4
PERKINS,"Come on, you got to get up.",7
DYER,I don’t think I can make it.,7
PERKINS,We gotta keep moving.,4
DYER,We’re not going to make it. We’re not going...,9
MULDER,"Take a good look, Scully.",5
SCULLY,What am I looking at?,5
MULDER,"Thirty loggers working a clear-cutting contract in Washington State. Rugged, manly men in the full bloom of their manhood.",19
SCULLY,"Right, but what am I looking for?",7
MULDER,"Anything strange, unexplainable, unlikely... boyfriend?",5
SCULLY,"I don’t know, I... I give up, Mulder.",8
MULDER,"You give up? Funny, that’s apparently what the Federal Forest Service has done as well.",15
SCULLY,"Why, what happened to them?",5
MULDER,"In a word, they vanished. Or so it would appear. This is Doug Spinney and Steven Teague. They call themselves ""monkey wrenchers."" The guys who drive spikes into trees, sabotage logging equipment and otherwise make life miserable for lumberjacks and lumbermills.",41
SCULLY,Ecoterrorists or militant environmentalists.,4
MULDER,"Right. Two weeks ago, the group of loggers I just showed you radioed a message that Spinney and Teague had gone on a spree. Spiking trees, sabotaging equipment, causing general mischief. One week later, all radio communication was cut off.",40
SCULLY,Do they know why?,4
MULDER,No. The lumber company that employs the men has asked the Federal Forest Service to look into the matter. Two officials were sent in a week ago and no one has heard from them since.,35
SCULLY,It appears as if these monkey wrenchers are doing more than just a little mischief-making.,15
MULDER,That’s what the lumber company and the Federal Forest Service are accusing. They’ve asked the F.B.I. to investigate. I had to pull a few strings to make sure we got the case.,32
