speaker,line,words
MRS. MCALPIN,Your turn. Jack? Honey? Are you still feeling sick?,9
PRIVATE MCALPIN,What’s the matter with you? Can’t you hear the baby is crying?,12
MRS. MCALPIN,"How ‘bout some cereal, Honey?",5
MRS. MCALPIN,You were having those awful dreams again last night.,9
PRIVATE MCALPIN,I didn’t sleep long enough to be dreaming.,8
MRS. MCALPIN,I want you to go to the doctor. Find out what’s wrong. Will you do that?,16
PRIVATE MCALPIN,I’d just like to eat my breakfast in peace! Do you think that’s possible.,14
MRS. MCALPIN,"Jack, what is it?!",4
MULDER,"Private John McAlpin-- one of the few, the proud... the dead. Last week he wrapped his car around a tree. Died on impact.",23
SCULLY,"Drug and alcohol tests came back negative. Car shows no evidence of brake, steering or any other mechanical failure.",19
MULDER,The military is calling it a suicide—They’re especially concerned because it’s the second one in as many weeks.,18
SCULLY,Both at the same base?,5
MULDER,"Yeah, except that it's not exactly a base. Flip to the back. The Marines were all stationed at the Folkstone processing center in North Carolina. More than 12,000 refugees waiting for asylum from Uncle Sam.",35
SCULLY,Wasn't there a riot there about a month ago?,9
MULDER,"A ten year old boy was killed but the uh, details of his death were never released.",17
SCULLY,Why did the military contact us?,6
MULDER,They didn't. Mrs. McAlpin contacted the Bureau when the military refused her request to investigate her husband's death further.,19
SCULLY,She doesn’t believe it was suicide.,6
MULDER,There.,1
MULDER,This is the tree that stopped Private McAlpin's car. State police reported there's graffiti on the bark.,17
SCULLY,It looks like some kind of ritual symbol.,8
MULDER,Most of the refugees at Folkstone are Haitian.,8
SCULLY,Mrs. McAlpin believes voodoo was behind her husband's death?,9
MULDER,Mrs. McAlpin doesn't believe her husband killed himself. She wants to know who did.,14
MRS. MCALPIN,"Jack used to tell these jokes. Well, they were pretty dumb, I guess, but the way he told them always made me laugh. Then he got transferred to the camp and nothing was very funny anymore.",36
SCULLY,Did he ever discuss with you what went on there? What his duties included?,14
MRS. MCALPIN,"No. He'd just come home angry, mostly at himself though sometimes he'd turn it on Luke and me.",18
SCULLY,Was he ever treated for depression or stress?,8
MRS. MCALPIN,"No. I tried getting him to talk to someone, even our minister, but Jack believed in dealing with his own problems.",21
MULDER,Did he believe in voodoo?,5
MRS. MCALPIN,"The Marines, his family and football pretty much sums up everything Jack believed in.",14
MULDER,"So, when did you first think that his death involved something out of the ordinary?",15
MRS. MCALPIN,One of the boys in his squad told me what they found at the accident and he said it was some kind of voodoo curse -- the same one they found on the stool that Puerto Rican boy used to hang himself.,41
MULDER,Who told you that?,4
MRS. MCALPIN,Harry Dunham. He's from New Orleans so he's pretty superstitious about that type of thing.,15
MULDER,What about you?,3
MRS. MCALPIN,My husband had just died so I didn't give it much thought either way... Not until Luke dug this up out of his sandbox.,24
MRS. MCALPIN,"I know it sounds crazy me worrying about all this but the truth is, I'm scared. I'm scared for my child... And I just don't know what to do anymore.",30
CHESTER,Go! Go! Get away! Get away! He’s crazy. Too much rum. For such a pretty lady it’s dangerous out here. You need something pour vous gardez --- for protection. Your lucky charm.,31
SCULLY,"Come on, Mulder.",3
MULDER,How much?,2
CHESTER,Five … Ten.,3
MULDER,I’ll give you five.,4
SCULLY,"Let’s go, Mulder.",3
MULDER,You should always carry protection. Hold on. There you go.,10
COLONEL WHARTON,I'm still not clear just what it is you're investigating here.,11
SCULLY,Two of your men have died in the past two weeks allegedly of self-inflicted injuries.,15
COLONEL WHARTON,And I've taken every measure to see it doesn't happen again. I've even flown in the 528th combat stress control detachment from Camp LeJeune.,24
SCULLY,But your soldiers aren't in combat.,6
COLONEL WHARTON,In some ways what we're dealing with here is worse.,10
SCULLY,How so?,2
COLONEL WHARTON,We're soldiers. We're not prison guards. And we're being asked to police a hostile population of foreigners without the resources to feed or house them. There are bound to be some conflicts.,32
SCULLY,So your men are getting the brunt of the refugees' frustration?,11
COLONEL WHARTON,"It's hatred, plain and simple. They hate us and all I can do is see that they're processed as efficiently as possible.",22
MULDER,"Colonel Wharton, a, uh... A certain ritual sign was found at the scene of both deaths. Is there anything you can tell us about that?",25
