speaker,line,words
MR. VAN DE KAMP,"Easy there, hon. You're cleaning so hard I'm afraid you're going to stick the dog in the dishwasher.",18
MR. VAN DE KAMP,"Hey. Come on, now. Quit it. This is what we dreamed about. What we prayed for",16
MRS. VAN DE KAMP,I know. I'm sorry.,4
MRS. VAN DE KAMP,I just can't stop wondering why. Why give up a child? Give it up to strangers?,16
MR. VAN DE KAMP,God has his reasons and his ways.,7
SOCIAL WORKER 1,Mr. and Mrs. Van de Kamp. Hi. This was so hard to find.,13
SOCIAL WORKER 1,I'm so sorry but there's a page here that didn't get signed. If I can just get you to do that now. Here we go. Okay. Right there.,28
SOCIAL WORKER,Thanks.,1
MRS. VAN DE KAMP,I keep asking myself a question. I know there's been a medical exam... but are you sure he's okay?,19
MR. VAN DE KAMP,"Now, honey.",2
MRS. VAN DE KAMP,Why would the mother give him up?,7
SOCIAL WORKER 1,You should understand... this was a life choice by a single mother and a terribly difficult decision for her. But I can say it was only for the good of the child.,32
SOCIAL WORKER,I want you to meet William.,6
DOGGETT,"1,492.... 1,493... 20.",3
DOGGETT,They don't pay me enough.,5
DOGGETT,Right there! Hands in the air!,6
DOGGETT,Turn around and step forward.,5
DOGGETT,Step forward.,2
DOGGETT,"Let's go, tough guy! All the way down!",8
SCULLY,Agent Reyes.,2
REYES,Agent Scully.,2
SCULLY,Do we know who he is?,6
REYES,"He says his name is Miller but he has no identification on him. Beyond that, we don't know a lot.",20
SCULLY,Why are the lights off?,5
REYES,He wouldn't speak with them on.,6
SCULLY,What do you mean?,4
REYES,"If you saw him in the light, you'd understand. Something's wrong with his face. He's been severely burned by fire or maybe acid.",23
SCULLY,And he says he knows me?,6
REYES,And that he's afraid. A victim of what he calls the alien conspiracy.,13
DOGGETT,"You won't talk to me. You going to talk to her, Mr. Miller?",13
THE BREATHER,If she'll help me and protect me.,7
DOGGETT,"You better hope she's feeling more charitable than I am, partner.",11
DOGGETT,Agent Scully. He's under arrest for assaulting a federal officer. I've explained to him the penalties but he still refuses a lawyer.,22
SCULLY,How did he get in the building?,7
