speaker,line,words
TV ANNOUNCER,Danelle was an outstanding high school basketball player...,8
TIERNAN,"Come on, man. Come on. Come on, now. Put ‘em down … put ‘em down! Ow!",16
UPSHAW,"Hey, man, watch it.",4
TIERNAN,"Come on, Upshaw. Come on, you and me, buddy! Let’s go!",11
UPSHAW,"You’re a moron, Tiernan.",4
TIERNAN,Come on. Let’s go!,4
NURSE CHARTERS,"You’re both morons, as far as I’m concerned. Now who’s watching the floor?",13
UPSHAW,"What’s his name, the Skink.",5
TIERNAN,Guess who died this afternoon? Mrs. Richardson.,7
UPSHAW,"Face plant, in a bowl of pudding.",7
NURSE CHARTERS,I don’t suppose either of you changed her room.,9
UPSHAW,"Oh, no. We left that for you.",7
TIERNAN,Ow!,1
TV ANNOUNCER,"Mike Tyson, a disciple of Costanaro …",7
NURSE CHARTERS,"Okay. Party’s over, gents.",4
STAN,Why’d you do that?,4
NURSE CHARTERS,"‘Cause rules are rules, Stan. And I’m the Queen Bitch around here.",12
HAL,Gung said we could watch the rest of the fight.,10
NURSE CHARTERS,"Well, do I look like Gung to you?",8
HAL,No. You got a better figure.,6
NURSE CHARTERS,"You want to keep that hand, Hal, you better let go.",11
HAL,How about a little sponge bath?,6
NURSE CHARTERS,How about I take care of these wandering hands of yours? Come here.,13
HAL,"You like strapping me down, don’t you?",7
NURSE CHARTERS,"Oh, yeah. I really get off on it.",8
NURSE CHARTERS,"Hey, Gung. No TV after 9:00. Do you understand?",9
GUNG,Dr. Grago said they’re getting better so …,8
NURSE CHARTERS,"Oh, getting better. Right. That’s because they don’t pinch his butt every time he walks into the room.",18
NURSE CHARTERS,"No! Somebody help me! Somebody, please! Please! Please! Please!",9
NURSE CHARTERS,"Help me! Please, help me!",5
SCULLY,Good morning.,2
MULDER,"Whatever tape you found in that VCR, it isn’t mine.",10
SCULLY,Good. Because I put it back in that drawer with all those other videos that aren’t yours.,17
MULDER,"Well, this definitely isn’t mine.",5
SCULLY,"No. This is Michelle Charters. She’s a registered nurse at a convalescent home in Worchester, Massachusetts.",16
MULDER,What happened to her?,4
SCULLY,"According to Miss Charters, she was raped. The abrasions and contusions here would be consistent with her claims as would be the medical report which cites the kind of injury and tearing associated with sexual trauma.",36
MULDER,Where did you get this? Violent Crimes?,7
SCULLY,No. The woman made the video herself. It seems that no one will believe her story.,16
MULDER,Why not?,2
SCULLY,Because she claims to have been raped by an invisible entity. A spirit being.,14
MULDER,I have several X-Files that document similar cases.,8
SCULLY,I know. I’ve been here since 6:00 this morning going through them.,12
MULDER,"Well, then you none of them have ever been substantiated.",10
SCULLY,Not surprisingly.,2
MULDER,"Given the emotional and psychological violence of rape, the face or identity of the attacker is often blurred or erased from memory. That he could be perceived as invisible is a logical leap for me.",35
SCULLY,Yes. But this case is different.,6
MULDER,Why?,1
SCULLY,The victim has filed a lawsuit against the government. She seems to be certain who the spirit being is.,19
NURSE CHARTERS,Mr. Arden. Hal Arden.,4
SCULLY,And you know him …?,5
NURSE CHARTERS,He’s been a patient where I work for about five years.,11
MULDER,"Miss Charters, the facts of your case seem to contravene those of other cases we have on file.",18
NURSE CHARTERS,Right. You mean the other Woman-Raped-by-Invisible-Man cases?,7
MULDER,How do you know it was him who attacked you?,10
NURSE CHARTERS,"He made advances toward me. And he said things – rude things. Look, when you bathe somebody every day for five years you get to know more about them than you really need to. And an old man smells a certain way and he feels a certain way.",48
SCULLY,I know this is hard for you.,7
NURSE CHARTERS,"This is the easy part. You see, hard is not being able to get disability leave or workman’s comp and having to go back to work with this … guy.",30
SCULLY,To continue our investigation we’re going to need some kind of evidence – physical or …,16
NURSE CHARTERS,"Yeah, I know. I’ve heard it. Unless you have hair or semen or fibers you guys can’t build a case.",20
MULDER,That’s right.,2
NURSE CHARTERS,"Look, I didn’t make this up, okay? I was attacked. And I’m not some kind of shrinking violet who would repress the memory of a rapist’s face. If I could positively ID him or give you something to incriminate the man, I would.",43
HAL,You’ve got to be kidding me. And what do I think about her claims? I should be in the Guinness Record Book. I’m 74 years old. I’ve got plumbing older than this building. Hmmm?,34
HAL,"And it don’t work much better, either.",7
MULDER,Thank you for sharing. Are you aware you’re being named in a lawsuit against the federal government?,17
HAL,I am?,2
SCULLY,Did you ever threaten Miss Charters?,6
HAL,What?,1
SCULLY,Did you ever threaten Miss Charters?,6
HAL,"Threaten? It was harmless, for crying out loud. Ever since this *sex harassment* fad, men can’t say what’s on their minds.",21
SCULLY,She says you made advances.,5
HAL,Hmm?,1
SCULLY,Advances?,1
HAL,"If I told you you were a very pretty woman and I would like to show you some affection, would you be offended? Huh?",24
HAL,"Oh, I didn’t mean to step on your toes there.",10
MULDER,It’s all right. There seems to be some confusion here.,10
HAL,"Yeah. I though Nurse What’s-Her-Name said she was rogered by a ghost. I may have one foot in the grave, but I certainly can’t fly down hallways spreading amour.",29
MULDER,Apparently not.,2
HAL,"If that’s what it’s like … if that’s what it’s like in heaven, Lord, take me now.",17
SCULLY,"What do you think, Mulder?",5
MULDER,About the guy’s plumbing?,4
SCULLY,About his story.,3
MULDER,I think this will turn out to be a huge waste of time just like all the other X-Files on entity rape. Unsubstantiated phenomena.,24
SCULLY,But in a substantiated crime.,5
UPSHAW,"Hey, pay attention. Or you can take another bath with your clothes on. At five and a half bucks an hour I don’t give a rat's ass either way.",29
MS. DAWSON,"Ten years ago, Excelsius was a leading facility in care and treatment of the elderly. Then government funding was cut till we’re all but shut down. Only a few wings are operational now.",33
SCULLY,Is there still a medical staff?,6
MS. DAWSON,"Not on site. Dr. Grego visits three times a week. Excelsius residents are very well looked after, though. We hold ourselves to a high standard of health maintenance and treatment.",30
SCULLY,What kind of treatment?,4
MS. DAWSON,"We’ve always specialized in the care of the late-life degenerative diseases – Alzheimer’s, Parkinson’s.",14
MULDER,We met with a patient today.,6
MS. DAWSON,"We prefer ""resident,"" actually.",4
MULDER,We met a *resident* who was described to us as having Alzheimer’s but he actually seemed quite spry and alert.,20
MS. DAWSON,"You’re speaking of Hal Arden, the man accused of assaulting Michelle Charters.",12
SCULLY,Was he receiving special treatment?,5
MS. DAWSON,You’d have to speak to Dr. Grago. Hal has been here almost eight years now. We’re all quite fond of him. We were extremely dismayed over this whole business with the lawsuit.,32
SCULLY,Are you saying you don’t believe Nurse Charters’ allegations of rape?,11
MS. DAWSON,There’s something I’d like to show you.,7
STAN,What did you tell them?,5
