speaker,line,words
SUPERVISOR,"Hey, Ed. You okay?",4
EDWARD FUNSCH,There's blood.,2
SUPERVISOR,"It's only a paper cut. Um, listen, Ed. I need to talk to you. There you go. Ed, uh... this is never easy. Ed, everybody down here sure likes you a lot, Funsch. And I know it's tough 'cause you're new to this area. Ed, I'm sorry, but I'm going to have to let you go. I mean, your work is first-rate, and like I said, you're a good guy. But you know the story. Cutbacks and seniority and... you're low man on the pole.",85
EDWARD FUNSCH,Could I work part-time?,4
SUPERVISOR,"The guys took up a collection today. It's a hundred bucks. Look, why don't you stay on till the end of the week?",23
MESSAGE,"Kill. ""Robin Hull 326 Simpson Street Spring Valley, NY 10977"" The read-out says ""10977."" ""Jan Kobylka 2355 Mathers Ave. Pittsburgh, PA 15214"" The read-out says ""15214."") Kill. Kill 'em. Kill 'em all.",32
(10,"20 A.M. The elevator is crammed with various businessmen and women. One man has a nagging cough. Starting at eleven, the elevator goes down to seven when there is a ring and the door opens.)",35
WOMAN #1,Is there room in there for me?,7
MAN,"Oh, I think we can make some.",7
WOMAN #1,Thank you.,2
WOMAN #2,Excuse me.,2
MESSAGE,No air. Can't breathe. Kill 'em all. Kill 'em.,9
SPENCER,"Hey, Ralph, how you doing?",5
RALPH,All right.,2
SPENCER,"Thanks for coming on such short notice. I realize the F.B.I.'s Behavioral Science Unit normally profiles murder suspects that are still at large, and it must be odd being asked to profile our suspects, all of whom are dead. I am relieved the Bureau answered our request and sent you. Because in all honesty, Agent Mulder... whatever's going on here is way over our heads. The suspect's body is out on the sidewalk. We're holding the security guard who shot him. The witnesses in the elevator are down at the hospital. You can talk to them whenever you're ready. I've asked all the businesses in the building to close for the day. We've done our best to preserve the area for you. We've thoroughly photographed the scene. The area has been sketched, but we haven't dusted for prints... yet. We wanted to wait for you before we collected further evidence.",150
MULDER,Was this damaged during the incident?,6
SPENCER,I'll find out.,3
MULDER,May I see the suspect?,5
SPENCER,Things like this aren't supposed to happen here.,8
MULDER,A forty-two year old real estate agent murders four strangers with his bare hands? That's not supposed to happen anywhere.,20
SPENCER,"No. Since colonial times, there's only been three murders in this area. In the last six months, seven people have killed twenty-two. Per capita, that's higher than the combined homicide rate of Detroit, D.C. and Los Angeles. This town is not any of those places. In Franklin, you'll never have to pull off the road to make way for a celebrity driving with a gun to his head.",68
