speaker,line,words
[TD NOTE,"The name on the headstone he hides behind, Alan Smithee, is a well known Hollywood in-joke. It's the name a lot of directors ""hide behind"" when they have no interest in having their own names attached to the project any more. I honestly *did* know this already but kudos to Autumn T. for pointing it out.]",56
MALE VOICE,"Give it up, Mulder! You've got no chance!",8
GARRY SHANDLING AS MULDER,Damn it.,2
MALE VOICE,My sniper zombies are everywhere.,5
CIGARETTE SMOKING PONTIFF,I'll offer you a deal. You give me the Lazarus bowl and I'll give you Scully.,16
RED-HAIRED WOMAN'S VOICE,Mulder!,1
GARRY SHANDLING AS MULDER,"How about this deal? You give me Scully, I don't smash the Lazarus bowl and shove the pieces where the Son of God don't shine, you Cigarette-Smoking Mackerel Snapper.",29
GARRY SHANDLING AS MULDER,"I break the Lazarus Bowl and all your sniper zombies go back to being good, little, well-behaved corpses.",18
CIGARETTE SMOKING PONTIFF,"You don't fool me, Mulder. That bowl is your Holy Grail. Encoded in its ancient ceramic grooves are the words Jesus spake when he raised Lazarus from the dead-- still capable of raising the dead 2,000 years later. Proof positive of the paranormal. You could no sooner destroy that than let the redhead die.",54
RATIONAL ZOMBIE,"Come on, man. Don't break the bowl. We don't want to go back to being dead. There's no food, no women, no dancing. Save the bowl and we'll dump that Ciggy-Smoking Stooge for you and you'll be the new King of the Dead.",43
GARRY SHANDLING AS MULDER,"I'd rather serve in Heaven than rule in Hell. serve in Heaven.""] and before they start rolling. That ain't Shandling, I recognize that classic profile anywhere, it's Duchovny!]",28
TEA LEONI AS SCULLY,"Is that your flashlight, Mulder, or... you just happy to be lying on top of me? DARRYL ZANUCK THEATER 20TH CENTURY FOX HOLLYWOOD, CALIFORNIA",24
GARRY SHANDLING AS MULDER,My flashlight.,2
GARRY SHANDLING AS MULDER,"Oh, that.",2
GARRY SHANDLING AS MULDER,"You know, seven long years I've been waiting for just the right moment, Scully.",14
TEA LEONI AS SCULLY,"Oh, you're a sick man, Mulder. Go on. start of this shot. That's Bill Millar who also plays the director of the movie.]",23
GARRY SHANDLING AS MULDER,"I love you, Scully. No ifs, ands or...",8
TEA LEONI AS SCULLY,Bees.,1
SKINNER,"Yesterday, a small pipe bomb ripped through the crypt of Christ's Church here in DC. There were no casualties, no thefts, no note making any demand.",26
SCULLY,Who's taking credit for it?,5
SKINNER,Nobody.,1
MAN,"SHE: Jodie Foster's foster child on a Payless budget. He's like a... Jehovah's Witness meets Harrison Ford's ""Witness.""",18
SCULLY,"Uh, Christ's Church. Isn't that, uh, Cardinal O'Fallon's church?",9
SKINNER,Yes. O'Fallon's residence is adjacent to the crypt.,8
MULDER,Who's Cardinal O'Fallon?,3
MAN,"Cardinal ""Oh-fallen,"" perhaps.",3
SCULLY,Um... He's one of the most powerful men in the church today. His name often comes up as a possibility for the first American pope.,25
MULDER,"Oh. I-I don't want to be myopic here, sir, but this looks like a straight up terrorist act for the A.T.F.",21
MAN,"""Myopic.""",1
SKINNER,"Yes, it does.",3
MULDER,Are you going to answer your phone?,7
MAN,Me?,1
MULDER,Yeah.,1
MAN,I didn't want to be rude.,6
MULDER,"Sir, who the hell is this guy?",7
MAN,Hello?,1
SKINNER,This is Wayne Federman. He's an old buddy of mine from college. He's a writer out in Hollywood now and he's working on an FBI-based movie. He's asked me to give him access.,33
SCULLY,A screenwriter?,2
WAYNE FEDERMAN,It's actually... It's a writer-slash-producer.,5
MULDER,"Well, that's actually just a hindrance-slash-pain in the neck.",9
WAYNE FEDERMAN,"Yo, yo, yo. Agent Mulder, I don't want to eat your lunch. I'm just here for some procedural flavor-- just a taste.",22
MULDER,I've no idea what you just said.,7
WAYNE FEDERMAN,"Well, the Skinman's filled me in on your particular bent.",10
WAYNE FEDERMAN,"He said that you come at things maybe a little fahkatke, a little Star Trekky, which is the exact vibe I'm looking for for this thing I'm doing. It's a Silence of the Lambs meets Greatest Story Ever Told type thing. It's... beautiful, and I will not be in your way. I'll be strictly Heisenbergian-- a hologram.",57
SKINNER,"Agent Mulder, Mr. Federman will accompany you today to Christ's Church where he will act as an observer on this case. You will extend to him every courtesy and protection you would a friend of mine and a friend of the Bureau's. Agent Scully, I require your services here for the morning.",52
MULDER,"Sir, have I pissed you off in a way that's more than normal?",13
WAYNE FEDERMAN,Just curious if she's more than your partner.,8
MULDER,"Enough, Wayne.",2
WAYNE FEDERMAN,"Hey, whatever. CHRIST'S CHURCH WASHINGTON, DC distinguished looking priest, CARDINAL O'FALLON. WAYNE FEDERMAN follows them as they walk through the church.)",21
MULDER,Cardinal O'Fallon can you think of anyone who might make an attempt on your life?,15
CARDINAL O'FALLON,"The church always has enemies, Agent Mulder.",7
MULDER,The size of the bomb would have limited its destruction to just the crypt itself. Is there anything down there worth targeting?,22
CARDINAL O'FALLON,"Not really. Just some old bones, artifacts, relics... documents that we store down there in the cold. We like to think of it as God's Refrigerator.",26
WAYNE FEDERMAN,That's a great line.,4
CARDINAL O'FALLON,Thank you.,2
WAYNE FEDERMAN,"""God's Refrigerator.""",2
MULDER,"Wayne, shut up.",3
CARDINAL O'FALLON,No treasures to the outside world. Things of negligible monetary value... but great spiritual value to the church-- ancient devotional texts... and medieval relics.,24
WAYNE FEDERMAN,How about the Shroud of Turin?,6
CARDINAL O'FALLON,"No, afraid not, but we do have the Bathrobe of St. Peter.",12
WAYNE FEDERMAN,You're kidding?,2
CARDINAL O'FALLON,"Yes, I am.",3
WAYNE FEDERMAN,That's a good line.,4
CARDINAL O'FALLON,Thank you.,2
MULDER,Wayne... Shut up.,3
MULDER,Who comes down to the crypt here?,7
CARDINAL O'FALLON,Only myself. There are a half a mile of catacombs here. I like to walk here during lunch.,18
CARDINAL O'FALLON,That's where the bomb went off.,6
MULDER,"Well, my instinct, Cardinal, is to see this desecration of the dead less as a murder attempt and more as a terrorist act-- a message...",25
WAYNE FEDERMAN,"Uh, this isn't me. I think it's you.",8
MULDER,"Excuse me. That's, uh, that's not me.",7
CARDINAL O'FALLON,"Let me check. Not me, either. Can never get reception here.",11
WAYNE FEDERMAN,"Would that be St. Jude's cell phone, Cardinal?",8
MULDER,No. That's Micah Hoffman.,4
MULDER,"Micah Hoffman, Willie Mays, and Frank Serpico. That's my Holy Trinity, Scully.",12
SCULLY,"Of course, I'm too young to remember but, uh, wasn't he some kind of a '60s campus radical, like a Jerry Rubin or Mario Savio?",25
MULDER,Yeah. Name a '60s counterculture movement and Micah Hoffman was at or near the center of it. He was one of the original Weathermen. He was the first Yippie. He was a better poet than Ginsburg and he was also the starting shortstop for his Columbia baseball team.,48
WAYNE FEDERMAN,"Then in the '70s, didn't he go real low profile?",10
MULDER,"Yeah, right after Altamont. He was never really heard from again.",11
WAYNE FEDERMAN,"Aw, the Stones get blamed for everything. I don't get it.",11
MULDER,This should be it here.,5
MULDER,What did Skinner want you for this morning?,8
SCULLY,Just paperwork.,2
WAYNE FEDERMAN,Hmm...,1
SCULLY,"Mulder, we should have a warrant.",6
WAYNE FEDERMAN,"Hey, it's only the Constitution. No big deal.",8
MULDER,Wow.,1
WAYNE FEDERMAN,Dis-feng shui.,2
SCULLY,"Mulder, sorry to denigrate a third of your Trinity, but, uh, looks like Hoffman was killed by one of his own bombs.",22
WAYNE FEDERMAN,"Well, from Dharma bum to Dharma bomb.",7
MULDER,"I knew, uh, Hoffman was a master potter...",8
