speaker,line,words
TAGLINE,DIE WAHRHEIT IST IRGENDWO DA DRAUßEN,6
SAILOR 1,"Oi! Easy! Easy! Steady up! Hold on, mates. He's almost up. That's it. Give it a big pull! That's it. Don't drop him now. Come on! Pull him over! Put your backs into it! Come on!",36
SAILOR 2,"There he goes. Lots of life in him. Give it up, Matey. Good for ya. That's what you get for your trouble.",22
SAILOR 1,Maybe he's just taking a long swim.,7
SAILOR 2,"Yeah. Or a short flight. You an airman, Mate? Oi?",10
SAILOR 1,"No, he's not dressed like an airman.",7
SAILOR 2,"What kind of uniform is that, then? Sprechen sie deutsche, jah?",11
SAILOR 1,I say he's a rat and we throw him overboard like a rat.,13
SAILOR 2,Right. Let's give him the heave-ho!,6
MULDER,Hey …,2
SAILOR 1,"How's about another dip in the Atlantic, huh, dirty Jerry?",10
SAILOR 2,Even the sharks won't eat him.,6
SAILOR 1,"Oi! What you got to say for yourself, Jerry, before we throw you back in?",15
MULDER,My name's not Jerry.,4
SAILOR 1,What's that? Eh?,3
MULDER,My name's Mulder. Fox Mulder.,5
SAILOR 2,That a name? Mulder?,4
MULDER,I got ID in my pocket.,6
SAILOR 1,"""Fox Mulder, Federal Bureau of Investigation."" Sorry, mate, never heard of it!",12
MULDER,Never heard of it?,4
SAILOR 2,Tell you what we do with foxes. Care to know?,10
MULDER,You never heard of the FBI?,6
SAILOR 2,"Why don't you shut up, Jerry, before we change our minds here.",12
MULDER,Where are you taking me?,5
SAILOR 1,Where'd you pick up that accent?,6
SAILOR 2,Probably in the Fuhrer's Secret Service. Come on.,8
MULDER,What are you talking about?,5
SAILOR 2,I say we cut him open and see what color he bleeds. Dirty Jerry. Deutschland Uber Alles.,17
MULDER,"""Deutschland Uber Alles""? Wait a second.",6
SAILOR 2,"Oi, how's about you shove a cork in it, mate. All right?",12
CAPTAIN HARBURG,Eh? What's this about?,4
SAILOR 2,"Found him in the water, sir. Don't know nothing about him. I think he's a German.",16
CAPTAIN HARBURG,Bring the prisoner in my room.,6
CAPTAIN HARBURG,Friend or foe?,3
MULDER,What?,1
CAPTAIN HARBURG,To what flag do you pledge allegiance?,7
MULDER,I think there's been a mistake. I think the mistake is mine.,12
CAPTAIN HARBURG,"Speak the truth, man.",4
MULDER,"This is the Queen Anne, isn't it?",7
CAPTAIN HARBURG,Aye.,1
MULDER,"Hey, just about enough of that. I came looking for this ship.",12
SAILOR 1,"Say the word, Captain, I'll make him the first of the rest.",12
MULDER,Hold on a second. I think I can explain what's going on.,12
SAILOR 2,"It's a ruse, Captain.",4
MULDER,What's our current position?,4
CAPTAIN HARBURG,Cut the spy up.,4
MULDER,I'll tell you. I'll tell you. We're two degrees above the 30th parallel. Sargasso Sea. Just above the Tropic of Cancer. 64 degrees West by Southwest. Off the Plantagenet bank 60 miles South-southwest off Bermuda. How would I know that if I'd been in the water?,46
CAPTAIN HARBURG,"Aye, that's a damn good question, lad. I'm waiting for a damn good answer.",14
MULDER,"Tell me I'm wrong. Tell me that you haven't been able to get accurate compass readings. That navigation's been a real bitch. It's because you've been caught in something called ""The Devil's Triangle."" I can show you on the chart here. It goes from Bermuda down to Puerto Rico and back up to Florida. The Queen Anne is stuck here on the Eastern edge of it. You've been caught in some kind of time warp. In some kind of limbo dimension and now you've popped out the other side into 1998.",91
SAILOR 1,1998?!,1
SAILOR 2,This man is mad.,4
SAILOR 3,Let him tell it to the fishes.,7
CAPTAIN HARBURG,"I'm done fooling about, man. There's a war on. And in it or no, I don't plan to lose me mind nor me ship to the likes of a jackal like you.",32
MULDER,"You can relax. There's no war going on. The world is at peace. There's a little trouble over at our White House but that'll blow over, so to speak.",29
CAPTAIN MARBURG,"Peace? It's September 3rd, 1939, man! Hitler has entered Poland. And we've just been boarded by a bunch of his goose-stepping hooligans so don't speak to me of peace, lad. Tell Mother England.",33
MULDER,"No, no. It's not September 3rd. It's November 16th. Look.",10
FIRST MATE,"Excuse me, captain.",3
CAPTAIN MARBURG,Aye.,1
FIRST MATE,"Sir, the Germans, sir. They've taken control of the bridge. Steering a course for their homeland.",16
CAPTAIN MARBURG,"Not on the watch of captain Yip Harburg, they're not. Lock the prisoner up in here.",16
MULDER,It's okay. The war's over. Let them take you to Germany. They make nice cars.,15
MULDER,This is unbelievable.,3
MULDER,"Mayday, mayday. This is Special Agent Fox Mulder with the FBI. I'm on the SS Queen Anne. Ship in distress. Mayday, mayday.",22
RADIO,"The British ambassador in Berlin handed the German government a final note stating that unless we heard from them that they are prepared at once to withdraw their troops from Poland a state of war would exist between us. No such undertaking has been received. Consequently, as of today, September 3, 1939 this country is at war with Germany.",59
MULDER,"Oh, sh….",2
GERMAN SOLDIER,Hello? Sind Sie da drinnen? Hallo? Ist da jemand? Hello?,10
RADIO,"CLOSING OF PLACES OF ENTERTAINMENT: All cinemas, theatres and other places of entertainment are to be closed immediately until further notice. The evacuation of British children is going on smoothly and efficiently. The ministry of health says that great progress...",40
MULDER,What the hell is going on? Spender?,7
NAZI 1,"He, hast du was gefunden? Bleib doch stehen! Hörst du nicht? Umdrehen! Hast du was gefunden? Warten Sie mal! Halt, stehen bleiben! Warten Sie! Maenner, kommt rueber! Wo kann er denn sein? MULDER doesn't answer or turn around. The NAZI SOLDIERS are no longer friendly.)",45
NAZI 1,Halt! Mach Schnell! Da rechts! Da rechts! Da rechts!,9
SINGER,"IT'S GOT TO BE SUNNY TO ME WHEN YOUR EYES LOOK INTO MINE JEEPERS CREEPERS, WHERE'D YOU GET THOSE PEEPERS? GOSH, OH, GET UP, HOW'D THEY GET SO LIT UP?",30
MULDER,Hi.,1
SINGER,"JEEPERS CREEPERS, WHERE'D YOU GET THOSE PEEPERS?",7
WOMAN,Excuse me.,2
MULDER,Scully?,1
1939 SCULLY,I suggest you get your Nazi paws off me before you get one in the kisser.,16
MULDER,"Scully, it's me, Mulder.",4
1939 SCULLY,"Oh, you speak English, do you? Well, how'd you like to see the stars on the American flag?",18
MULDER,I'm not a Nazi.,4
