speaker,line,words
ANGIE,"Oh gosh, go home Harold.",5
HAROLD,I'm not done yet.,4
ANGIE,"Harold, you hear me? You should have gone home already.",10
HAROLD,I'm not done yet.,4
ANGIE,"For praying out loud Harold, this ain't so difficult.",9
ANGIE,"Harold, it's past your bedtime. It's ok. And the doctors will be worried about you. You did a good job today now you go home c'mon.",26
HAROLD,16 21 37 45 60 71 86...,7
ANGIE,What the hell?,3
ANGIE,Jeez.,1
ANGIE,"Oh God, oh my God! No! I'll get help! Oh!",10
ANGIE,"Officer, officer!",2
OFFICER,"Sir, this don't involve you.",5
ANGIE,"There's a woman inside, she's bleeding, she's...",7
ANGIE,God. That's her! That's the girl I saw!,8
MULDER,"Hey, Scully, take a look at this.",7
SCULLY,What am I looking at?,5
MULDER,The pin setter. You see the way it's wedged and broken?,11
SCULLY,Yep.,1
MULDER,Mr. Pintero said the only way that would happen would be if considerable weight or pressure was placed on it from above.,22
SCULLY,This is where you saw the body?,7
ANGIE,"Yes ma'am, she was caught up in the machinery. Her neck was cut.",13
SCULLY,And the blood from the victim was pooling where?,9
ANGIE,Right here.,2
SCULLY,But both the body and the blood were gone when you returned?,12
ANGIE,"Yeah, but like, like I said, the woman in the parking lot...",12
SCULLY,Was the same woman that you saw caught up here in the machinery?,13
ANGIE,That's right.,2
ANGIE,"Look, I'm not making this up!",6
MULDER,"No one's suggesting that you are, Mr. Pintero.",8
ANGIE,I saw the look on her face.,7
MULDER,"Can I ask you a favor? Can I get a soda, a cola, something like that?",16
ANGIE,Sure.,1
MULDER,Thanks.,1
ANGIE,Yeah.,1
MULDER,"What is that look, Scully?",5
SCULLY,I would have thought that after three years you'd know exactly what that look was.,15
MULDER,"What, you don't believe in ghosts?",6
SCULLY,You're saying that what this man saw was the victim's ghost?,11
MULDER,Sounds more like a disembodied soul.,6
SCULLY,Which is just another name for a ghost.,8
MULDER,"Except according to Mr. Pintero, this one was trying to communicate. It was speaking to him as if she was trying to tell him something. It sounds more like a death omen.",32
SCULLY,A death omen?,3
MULDER,Yeah. It's a spirit being that arrives as a harbinger of death.,12
MULDER,"This is the third reported sighting in as many weeks... and as many murders. Each time the victim appearing near the crime scene trying to communicate, trying to say something.",30
SCULLY,Communicate what?,2
MULDER,"I don't know yet but, uh,...... thank you. If you hold on a second I may have an answer for you.",21
ANGIE,Hey! What are you doing?,5
MULDER,She is me.,3
SCULLY,What?,1
MULDER,Written onto the wax - she is me - look at this!,10
HUDAK,"Three victims... all women... all approximately the same age, height, weight, hair and eye color... all attacked within the same six block area of each other. Our FBI profiling model suggests a white male, late twenties / early thirties. His victims were probably strangers to him... symbols representing other women in his life... perhaps all women. Hey you in the back! Are we boring you?",64
MULDER,"No, not at all.",4
HUDAK,Because if you have nothing to contribute to this profile...,10
MULDER,"No, actually I do have something to add. I think that following the FBI model in this case will not only fail to turn up the killer but will undoubtedly lead to more victims and more deaths.",37
HUDAK,You want to tell us who you are and what you base that on?,14
MULDER,I'm Special Agent Mulder. This is Agent Scully. We're from the FBI. We're here following up a lead that seems to have been dropped - a statement made by the proprietor of the bowling alley that...,35
HUDAK,... the guy that claims that he saw the victim...,9
MULDER,"No, no, not the victim. Her apparition, what the Irish call a fetch, what is more commonly known as a wraith.",21
HUDAK,"Oh, ok.",2
MULDER,Were there any written messages in any of these other cases?,11
HUDAK,Written messages?,2
MULDER,"Do the words ""she is me"" have any meaning to you?",11
HUDAK,You mean Penny Timmons last words?,6
MULDER,Those were her dying words?,5
HUDAK,According to a 911 call we received...,7
MULDER,Well who made that call?,5
HUDAK,A nut.,2
MULDER,What do you mean?,4
HUDAK,There were no dying words. Penny Timmons larynx was severed. She couldn't cry for help even if there was help to cry for.,23
MULDER,And no one followed up on this lead?,8
HUDAK,"No but, uh, I'll have someone get you the number and you can follow up on it.",17
MULDER,I'd appreciate that.,3
ALPERT,"People! People! Listen up now. I've brought some folks who want to talk with you. Nurse Innes, could you gather the group?",22
INNES,"All right everyone! Let's go, you know the drill. Get your seats. Group seating. Go on in. Harold, come on. Harold.",21
ALPERT,"Good morning, everybody.",3
PATIENTS,"Good morning, Mr. Alpert.",4
ALPERT,I've brought visitors today. They're investigating a crime. It's OK. They just want to ask you a few questions.,19
MULDER,Hi. I wanted to ask if anybody used the pay phone out in the hallway there on Friday night - because somebody called the police and reported a murder.,28
ALPERT,Sloppy Joe night.,3
MULDER,"That was Sloppy Joe night. it, I did it. I'm just a human being, after all.",16
ALPERT,Chuck! Tell the truth.,4
CHUCK,"No. I'm sorry, I didn't mean it. I... I lied. I lied but I'm just a human being.",18
ALPERT,Has anyone used the pay phone to call the police?,10
MULDER,Anybody recognize this woman?,4
CHUCK,That's the lady that got murdered.,6
VARIOUS PATIENTS,Yeah she's the one...I recognize her... I know her... She was murdered...,12
SCULLY,"And, does anybody recognize this man?",6
VARIOUS PATIENTS,"Oh, yes, yes, he did it... He did it... He's the murderer... He's a very funny man... He smiles a lot.",21
MULDER,The quiet man in the back.,6
ALPERT,Harold Spuller.,2
MULDER,"The only one who didn't raise his hand, yeah. Has he ever been a problem?",15
ALPERT,Harold? No. He has a tendency to get a little worked up.,12
MULDER,Do you think I could talk to him.,8
ALPERT,"Yeah, sure.",2
SCULLY,"Yeah, I found something here Mulder... in these photos taken by the forensics team. The third victim, her left hand, that band of pale skin. It looks like she wore a ring on that hand.",35
MULDER,"A wedding ring, yeah.",4
SCULLY,Yeah. But she wasn't married.,5
MULDER,"So what, he stole her ring?",6
SCULLY,"No, not at all.",4
MULDER,"Oh, he switched it.",4
SCULLY,"And in all the other murders he repeated the same ritual, changing the ring on each of the victims.",19
MULDER,"Nice catch, Scully. Any idea about the psychology at work?",10
SCULLY,"Well, there's something called ego dystonia. It's a form of obsessive-compulsive disorder where a person has the persistent and inescapable impulses to change things, to organize, to reorganize. But it's not ordinarily something that escalates to a murderous impulse.",39
MULDER,"Not ordinarily unless there was a more complex psychology at work, like pronounced mental illness.",15
SCULLY,You really think that the killer is a patient here?,10
MULDER,"I'm not sure if the killer is here, but certainly the person that made that phone call is, and I think his name is Harold Spuller.",26
SCULLY,Did he cop to making the call?,7
MULDER,No but he's about to.,5
HAROLD,I don't know anything. I didn't do anything. Leave me alone.,11
MULDER,"You made that phone call, didn't you Harold?",8
HAROLD,No!,1
MULDER,"Did you say the words ""she is me""?",8
HAROLD,No!,1
MULDER,Have you ever heard those words?,6
HAROLD,No!,1
MULDER,"Have you ever seen a ghost, Harold?",7
HAROLD,No! No! Please leave me alone.,6
SCULLY,"Well... when you're right, you're right.",6
HAROLD,17... 30... 37... 45... 53,5
SCULLY,"Harold Spuller suffers from pervasive developmental disorder, which is sometimes called atypical autism. He's spent his entire life in and out of facilities just like this one. He has been medicated, he has received shock therapy and, aside from his other disabilites, he has been diagnosed with severe ego dystonic obsessive-compulsive disorder... which would explain the switching of the victims rings.",61
MULDER,So why all of a sudden?,6
SCULLY,"You mean what made him snap? Why, I think his outburst clearly showed a frustrated impulse towards violence when he was put in a challenging situation.",26
MULDER,That outburst didn't come until after I'd asked him if he'd ever seen a ghost.,15
SCULLY,"Mulder, the man is disturbed. You could see the pressure building in him from the moment the interview began.",19
MULDER,Yeah.,1
SCULLY,Why are you now so unconvinced that Harold Spuller is the man we came here looking for?,17
MULDER,I'm sure Harold Spuller is the man that made that phone call. But what led us to him still remains unexplained.,21
SCULLY,"""She is me.""",3
MULDER,"Uh huh, and the other apparitions, like the one Mr. Pintero saw at the bowling alley.",16
SCULLY,"Well, I think I have an idea about that if not an explanation. Howard Spuller is at this facility voluntarily, which means he can come and go as he pleases, to kill those women or to hold down a job or both.",42
MULDER,Oh Scully...,2
SCULLY,Yeah. It's ok.,3
MULDER,You sure?,2
SCULLY,"Yeah, it's just, um, I'm fine. I just need to find a washroom.",13
MULDER,Scully?,1
MULDER,"Scully, you in there?",4
SCULLY,Yeah.,1
MULDER,They found another victim. A college student with her throat cut. Just about a half block from here.,18
MULDER,"Her name was Loren Heller, age 21. She's single, apparently she was on her way home from a bar that she part-timed at after school. She had a ring on her left hand, switched to her right hand, pinky finger. She was dead less than an hour when she was found.",51
SCULLY,"That would rule out Harold Spuller as the killer, huh?",10
MULDER,"No, actually it doesn't. Harold's not at the home. He's nowhere to be found. His nurse locked him in his room after we left, but he managed to escape unnoticed.",30
SCULLY,I don't imagine he'd be too hard to find.,9
MULDER,"Yeah, but I think we should be the ones to find him, if only to find out what ""she is me"" means.",22
SCULLY,Mulder... I...,2
MULDER,What?,1
SCULLY,"I think I'm going to let you take care of that. I, uh, I think I'm gonna get this checked out just, you know, just to be safe.",28
MULDER,You want me to drive you?,6
SCULLY,"No, no, I'm fine really. I've had the doctors keep a close watch and it's just, just precaution.",18
MULDER,You're sure?,2
SCULLY,I'm fine.,2
HAROLD,No... no... I just want to be left alone!,9
KOSSEFF,"We've spoken about your fear. You've been afraid to express it to others, to Agent Mulder.",16
SCULLY,This is different.,3
KOSSEFF,How?,1
SCULLY,"Several months ago, I was diagnosed with a cancerous mass - a nasal pharyngeal tumor that can not be operated on and, uh, cannot be treated by conventional medicine.",28
KOSSEFF,I'm sorry.,2
SCULLY,I don't mean for this to sound too dire. My health has been good. I have been checked up on a weekly basis.,23
KOSSEFF,You've kept working?,3
SCULLY,Yes. It's been important to me.,6
KOSSEFF,Why?,1
SCULLY,Why? Um...Agent Mulder has been concerned. He's been supportive through this time.,12
KOSSEFF,Do you feel that you owe it to him to continue working?,12
SCULLY,No. I guess I never realized how much I rely on him before this... his passion... he's been a great source of strength that I've drawn on.,27
KOSSEFF,"What happened last night, Dana?",5
SCULLY,"I saw something. I, I don't know what to trust. If I saw it because of the stress, because the image had been suggested to me or if it was a suggestion of my own fears.",36
KOSSEFF,Your fear of failing him?,5
