speaker,line,words
MAN,Ven aqui! Ven aqui! Ven! Aver.,6
OTHER MEN,"Nos debemos irnos y dejarlo en paz. Debemos decirle al anciano. El sabra que hacer. Esto es malo, muy malo. Nos va a traer problemas para todos nosotros.",28
BILAC,Le tenemos que decir al Doctor Roosevelt. Inmediatamente.,8
BILAC,Dr. Roosevelt.,2
DR. ROOSEVELT,What is it?,3
BILAC,We found something I think you should see.,8
DR. ROOSEVELT,It's an Amaru.,3
BILAC,I know.,2
DR. ROOSEVELT,It's fantastic. It's nearly intact.,5
BILAC,We can’t take it.,4
DR. ROOSEVELT,What do you mean?,4
BILAC,They're saying the body of a female shaman is sacred to the tribe. They won't allow us to disturb her.,20
DR. ROOSEVELT,We’re not disturbing her. We’re saving her. You know the situation here. I thought you could handle these people.,19
BILAC,"Dr. Roosevelt, I think this is dangerous. I don't think this is right.",13
DR. ROOSEVELT,Have the piece cleared and packed. It's going with us.,10
GUARD,"Mr. Horning, you still here? Mr. Horning? What the hell...?",10
SCULLY,How did you learn about what happened here last night?,10
DR.LEWTON,"Tim Decker, one of our security guards, called me when he first discovered the blood.",15
SCULLY,"According to the police, you felt this murder may have been an act of political terrorism.",16
DR.LEWTON,I think Craig Horning was killed because of the project he was working on.,14
SCULLY,"Is that the survey and excavation of the uh … ""highland burial grounds of the Secona Indians?"" This is from a letter that was sent to the State Department on behalf of the Secona demanding the return of a certain artifact.",41
DR.LEWTON,The Amaru Urn. It was among the antiquities we rescued last month.,12
SCULLY,Rescued?,1
DR.LEWTON,When Petroecuadot announced plans to build a gas pipeline through the burial grounds Carl Roosevelt and I organized the dig.,20
SCULLY,"As I understand it, Roosevelt disappeared under circumstances not dissimilar to the ones here.",14
DR.LEWTON,The Ecuadorean government claimed he was carried off in some kind of wild animal attack.,15
SCULLY,But that’s not what you believe.,6
DR.LEWTON,Not after last night.,4
SCULLY,Have there ever been any death threats?,7
DR.LEWTON,No.,1
MULDER,"Well, what about the curse? The Secona believe great evil would befall anyone that disturbed the remains of an Amaru, a woman shaman – that they would be devoured by the Jaguar Spirit.",33
DR.LEWTON,A myth that gained some currency among the Secona when Dr. Roosevelt disappeared.,13
MULDER,I’m sure.,2
DR.LEWTON,"The unfortunate thing is somebody exploiting it to promote fear, to pressure us into returning the bones which I have absolutely no intention of doing.",25
MULDER,Can we see it?,4
DR.LEWTON,"Yes, of course. Uh, Mona.",5
MULDER,"Personally, if someone digs me up in 1,000 years I hope there's a curse on them too.",17
MONA,They should have left it buried. None of this would have happened.,12
MULDER,Do you believe the bones are cursed?,7
MONA,Might as well be.,4
SCULLY,Did you know Craig Horning?,5
MONA,"Yeah, I've been helping Craig sort and catalog the Ecuadorean artifacts. I'm a PHd. candidate at BU.",17
SCULLY,Did he have any warning that this could happen?,9
MONA,Craig? No. He was so dedicated. He was just doing the work that Dr. Lewton asked him to.,18
MULDER,He had no political feelings about the piece being brought here?,11
MONA,"No, not Craig.",3
SCULLY,Are you aware that a letter of protest was sent to the State Department concerning this urn?,17
MONA,I’m aware of several letters of protest.,7
SCULLY,This one was written by a man named Alonzo Bilac.,10
MONA,Dr. Bilac. He was the liaison with the Secona Indians.,10
SCULLY,Is he still with the project?,6
MONA,"No, he either resigned or was forced out by Dr. Lewton depending on who you talk to.",17
SCULLY,Why is that?,3
