speaker,line,words
JAY GILMORE,"Anson? Anson, where are you, Anson? Anson, come back, Anson. Anson. Calling Anson. Where are you, Anson? Anson! Anson, calling Anson. Where are you, Anson? Anson! Where are you, Anson?",30
JAY GILMORE,Anson! Get out here.,4
JAY GILMORE,"I warned you about your attitude. Did you clean out 407? No... of course you haven't cleaned out 407. You've only had all damn morning. You think you're ever going to own any of those boats in that magazine the way you're going, huh? Do you think you're ever going to amount to anything? You can't even finish a simple job.",61
ANSON STOKES,"A monkey could do this job, right, Jay?",8
JAY GILMORE,"Well, you can't, so what's that say about you?",9
ANSON STOKES,"Oh, shut up.",3
JAY GILMORE,"Excuse me? I didn't catch that. You clean out 407. You move out that deadbeat's stuff, and you do it now. And when I come back in an hour, it better be done.",33
JAY GILMORE,Anson... Anson? Son of a... Anson. Anson!,7
JAY GILMORE,"Aw, that's it, Anson. Do you hear me, Anson?",9
MULDER,Can I get you some coffee? Water? Anything?,8
SCULLY,Morning.,1
MULDER,Morning.,1
MULDER,"Special Agent Dana Scully, this is, uh, this is Jay Gilmore.",11
SCULLY,Nice to meet you.,4
JAY GILMORE,Nice to meet...,3
JAY GILMORE,Likewise.,1
MULDER,"Mr. Gilmore came all the way to see us from Missouri, the ""Show Me"" state.",15
JAY GILMORE,They told me you were the people to best understand my situ... My sit...,14
MULDER,"It's okay. Uh, this is Mr. Gilmore's... situation. This condition came on very suddenly about a month ago.",18
JAY GILMORE,"Anson Stokes-- he did this to me. I don't know how, I just... I know it was him.",18
MULDER,"Anson Stokes is a former employee at the, uh, self-storage yard that Mr. Gilmore owns. Uh, apparently, there was some bad blood between you two.",25
JAY GILMORE,He told me to shut up! Huh?!,7
MULDER,"Yeah. And then Mr. Gilmore was, uh... stricken...",8
MULDER,"Stricken... stricken, and Anson Stokes was nowhere to be found. He resurfaced several days later and the police wanted to question him. But he refused.",25
JAY GILMORE,Do you know what he said? He said they had nothing on him.,13
MULDER,"Well, and to be fair, sir, they didn't-- they don't.",10
JAY GILMORE,They had to make me a whole new mouth. Do you think Blue Cross is going to pay for this? Uh-uh.,21
JAY GILMORE,I demand justice!,3
SCULLY,"Look, Mulder, all I'm saying is...",6
MULDER,I know-- this may not be a crime and this guy Stokes may not know anything about it.,18
SCULLY,"But there is a condition called microstomia-- ""small mouth""-- which is, uh, it's brought on by the disease scleroderma and it's the overproduction of collagen and it can actually reduce a person's mouth to a tiny little opening.",38
MULDER,"Yeah, but that takes months to develop, right? It doesn't just happen in the blink of an eye. Gilmore's surgeons are stumped. They're writing it up in the New England Journal of Medicine.",33
SCULLY,"Well, there's always nasal aplasia-- the complete absence of a nose.",11
MULDER,"That's a nose, Scully; we're talking mouth here.",8
SCULLY,"Yeah, but what we're talking, Mulder, is medical-- physiological-- not criminal. Not as far as I can see.",18
MULDER,"Well, maybe, but I still want to know why Anson Stokes doesn't want to talk to the police.",18
SCULLY,Mulder...,1
SCULLY,"That's a little... out of place, wouldn't you say?",9
MULDER,A little bit.,3
ANSON STOKES,"Aw, damn it. Leslie!",4
LESLIE STOKES,What? What is it?,4
ANSON STOKES,"They're I.R.S. agents. They got to be. Listen, get rid of them, all right?",14
SCULLY,Hi. We're looking for a Mr. Anson Stokes.,8
LESLIE STOKES,He's not here.,3
SCULLY,"Well, do you happen to know when he's coming back?",10
SCULLY,"Well, we are, uh, Agents Mulder and Scully from the FBI.",11
LESLIE STOKES,"Oh, the boat's... the boat's not ours. The boat … I'm... we're just holding it for someone, and, you know-- they pay the taxes on it.",26
SCULLY,Okay...,1
LESLIE STOKES,Anson's not here.,3
MULDER,"Whoa, whoa, whoa, whoa. What's your name?",7
LESLIE STOKES,Leslie Stokes.,2
MULDER,"Oh, you're Anson's brother?",4
MULDER,"Hi, there.",2
MULDER,"We're not here to talk about the boat, Leslie. We want to talk to your brother about his former employer. Mr. Gilmore?",22
SCULLY,"And the, uh... unfortunate condition that he's found himself in. Would you happen to know anything about that?",18
LESLIE STOKES,"What, the mouth thing? Yeah, well, that-- you know, that's-that's just, uh, that's, like... chemicals.",15
SCULLY,Chemicals?,1
LESLIE STOKES,"Yeah, you know, like, people store weird chemicals, well like... my brother one time, he smelled this weird smell? You know, he's just a guy with a meth lab, like in one of the storage units, so you know, that's actually probably something you guys should look into-- take a look into that... you know, I'm going to get going, so I'm going to go, okay?",66
SCULLY,Okay.,1
MULDER,Now I see what's going on here.,7
SCULLY,"Well, according to Gilmore he was standing right where I am when it happened.",14
MULDER,"Well, I don't smell any weird chemical smells. You still have both your lips.",14
SCULLY,"Apparently, everything is left as it was.",7
MULDER,Hey... 1978. It's been a long time since any of this stuff has seen the light of day.,18
SCULLY,"Well, it's too bad, Mulder. Underneath all this dust, this furniture is really wonderful.",14
MULDER,"Oh, well, you want to hit some yard sales while we're out here?",13
SCULLY,"Mulder, this furniture is expensive, very expensive.",7
