speaker,line,words
CARNIVAL WORKER,"Mr. Maleeni... Hey, guy. You ready to rumble?",8
MALEENI,"If by ""rumble,"" you mean ""perform..."" yes, I am.",9
CARNIVAL WORKER,"Cool. Uh, you know how they said you get $125 for the day? It's going to be $75 instead. The gate's for crap. But, hey, the show's got to go on, right?",32
MALEENI,This will be my greatest show ever.,7
CARNIVAL WORKER,Right on.,2
MALEENI,"Ladies and gentlemen, damas y caballeros... I aim today not just to entertain, but to educate. To instruct and inform in the venerable and ancient history of my art. Until Johann Nepomuk Hofsinzer called playing cards ""the poetry of magic"" a conjurer's skill was determined entirely by his ability to perform one effect. That effect was known as ""the cups and balls."" The games were known for hundreds if not thousands of years. Perhaps the greatest performer was the Italian, Bartolomeo Bosco.",82
HECKLER DUDE,Get on with it!,4
MALEENI,"Bosco's passes with the cups and balls. Wah-day... Chubio... Colerader. Three gone... And yet, three return. Bosco had only one contemporary rival a slightly older Frenchman named Conus, who announced in 1795 that he would make his wife, who was five-foot-seven appear under one of the cups. Practice though I have, I have been unable even to get married.",59
MALEENI,Conus placed one ball in his pocket. He put the second ball away. Putting the third ball in his hand he made it vanish and that's the mystery of the cups... and the balls.,34
HECKLER DUDE,"Yo. Can't you do anything that ain't a hundred years old? That ain't old school, that's decrepit.",17
MALEENI,"Young man, shall I come heckle you on your job? Make sure you count out the requisite number of McNuggets?",20
HECKLER DUDE,Show me something. Come on... show me something!,8
MALEENI,"A callow challenge to be met by experience... and skill. To wit, the Egyptian, Dedi, whose most celebrated feat was to reattach a recently-severed head reuniting it with a still-warm body and no harm done. Western history knows three previous attempts at recreating this Noachian feat... each of the three ending in tragedy. This will be the fourth. May I have complete silence, please?",64
CROWD,Yeah! Senor Maleeni! Woo-hoo!,4
ANNOUNCER,Let's give it up for the Amazing Maleeni.,8
CARNIVAL WORKER,"Guy, you rock! That kicked ass! I mean, it looked completely real! How did you do that? Oh, yeah, right-- magic. Oh, hey, your money-- hold up.",27
CARNIVAL WORKER,"Two, four, 50, 55, 60, 65, 70, 75. You earned it.",11
CARNIVAL WORKER,Mr. Maleeni?,2
CARNIVAL WORKER,Mr. Maleeni.,2
CARNIVAL WORKER,"Oh, God...",2
MULDER,"Neat trick, huh?",3
SCULLY,I can think of a neater one. How you convinced me to drop everything and get on the first plane to Los Angeles.,23
MULDER,"Come on, Scully. This isn't intriguing enough for you? A magician turns his head completely around 360 degrees to the delight of young and old alike after which it plops unceremoniously onto the pier... see the picture?",37
SCULLY,"Yeah, I saw the picture. And as for this Amazing Maleeni turning his head all the way around,",18
"LIKE YOU SAID, MULDER",neat trick.,2
MULDER,But...,1
SCULLY,But... I'd guess this event was completely removed from the subsequent murder.,12
MULDER,You think this was a murder?,6
SCULLY,Don't you?,2
SCULLY,"Mulder, his head was cut off.",6
MULDER,"Ah, observe the nearly complete absence of blood. Observe the paucity of fingerprints as evidenced by the LAPD's liberal use of lycopodium powder.",23
SCULLY,Why are you talking like Tony Randall?,7
MULDER,Know that the Amazing Maleeni was alive one moment and expired the next. Know also that no one saw his fleeing attacker nor heard the dying man's cries.,28
SCULLY,"Mulder, I admit that I don't know how it happened but I still say that it was a murder. So what's your theory?",23
MULDER,A magic trick gone horribly wrong. One that claims the lives of all who attempt it.,16
MULDER,Can I see that camcorder again? Thank you. A tourist videotaped Maleeni's performance. Look at this.,16
HECKLER DUDE,"That ain't old school, that's decrepit!",6
SCULLY,Who's the heckler?,3
HECKLER DUDE,"Come on, show me something!",5
MULDER,I don't know.,3
MULDER,"Neat trick, huh?",3
SCULLY,"Hang on a second. Let me see this. That heckler was pretty hard to impress wouldn't you say? Look, and then he just takes off in a huff.",28
MULDER,"What, you think he's a murderer?",6
SCULLY,"Well, it's worth checking out, don't you think?",8
MULDER,That'll be a neat trick in itself. You never see his face.,12
SCULLY,"Ah, but observe. His discarded soda cup. The hand may be quicker than the eye but it still leaves fingerprints.",20
MULDER,Provided they haven't dumped the trash.,6
SCULLY,Skeptic.,1
SCULLY,Mr. LaBonge? We're Agents Mulder and Scully from the FBI.,10
SCULLY,"Were you at the, uh, Santa Monica Pier yesterday morning?",10
LABONGE,Yeah.,1
MULDER,You attended a magic show. The Amazing Maleeni.,8
LABONGE,"Yeah, he sucks. Why?",4
SCULLY,"He's dead, under extremely suspicious circumstances.",6
LABONGE,He still sucks. How'd you find me?,7
SCULLY,Your fingerprints. You have a criminal record.,7
MULDER,A conviction for pick pocketing.,5
LABONGE,"Man, that was performance art. And besides, it's ancient history. What are you saying, you think I killed him?",19
SCULLY,"Well, you're on videotape heckling the deceased.",7
MULDER,What did you have against Mr. Maleeni?,7
LABONGE,"First of all... his name's not Maleeni. That's the name of a real magician, a guy at the turn of the century, Max Malini. Ever hear of him?",28
SCULLY,No.,1
LABONGE,"That's too bad; you should have. Anyway, he steals his name, spells it a little differently and he does some tired crap that wouldn't cut it at a kid's birthday party.",31
MULDER,What about the trick where he turns his head completely around?,11
LABONGE,Check it out.,3
LABONGE,No problem. Did you like that?,6
SCULLY,Yeah.,1
LABONGE,Watch. Coin in the hand... blows away. Maybe it's a little bit hard for you to see. Let me make that... Bigger for you.,24
MULDER,"Those are great, but I don't see how they're any different or better than the ones Maleeni did.",18
LABONGE,Mozart and Salieri. They sound pretty much the same to a layman. But they ain't. You know what I'm saying? It's about... originality. Style. And more than anything else... soul. Because that's what separates the great ones... from the hacks. We can't do this halfway. We're dealing with powerful forces at work here. Energies far beyond our mere... mortal... understanding.,60
MULDER,Enough to make a magician lose his head?,8
LABONGE,"Could be. That, and I hear Maleeni racked up some pretty big gambling debts. Who knows who he might've pissed off.",21
SCULLY,"Well, thank you, Mr. LaBonge. We'll, uh... be in touch.",10
LABONGE,"Please do. Oh, and agents...",5
MULDER,Mozart and Salieri. Which one's which?,6
SCULLY,"Mulder, I think that professional jealousy is as good a motive for murder as any.",15
MULDER,If it was a murder. I'm not convinced.,8
SCULLY,If I can get Mr. Maleeni into an autopsy bay hopefully we can put this issue to a rest as soon as possible.,23
SCULLY,"All right, I'm stumped... and I think I'm supposed to be.",11
MULDER,What do you think?,4
SCULLY,"Well, first of all, and sorry to disappoint you but, uh, Mr. Maleeni's head didn't just magically fall off. It was very carefully sawed. Very slow and exacting work probably with a fine-tooth meat saw. And check out this little detail.",41
SCULLY,"Spirit gum, Mulder. It held the head to the body. Just barely, of course.",14
MULDER,So he was murdered.,4
SCULLY,"Well, no. As far as I can tell this man died of advanced coronary disease.",15
MULDER,Natural causes.,2
SCULLY,Yeah.,1
MULDER,"So, basically he died of a heart attack, somebody crept up behind him, sawed his head off and then glued it back on all in the space of 30 seconds. Does that make sense to you?",36
SCULLY,"No. Which makes it even stranger still because, as far as I can tell this body has been dead for over a month. I see signs of refrigeration.",28
MULDER,And yet he performed yesterday. What a trouper.,8
SCULLY,"Well, somebody performed yesterday.",4
LABONGE,Cissy Alvarez.,2
ALVEREZ,Who are you?,3
