speaker,line,words
RUSSIAN ENGINEER,nan,1
DMITRI,nan,1
RUSSIAN ENGINEER,nan,1
DMITRI,nan,1
RUSSIAN ENGINEER,nan,1
MAN #1,Dave says he would set it up in the Carsell's village.,11
MAN #2,"Yeah, well, Dave's a stand-up guy. If he's putting it together, you'd be a fool to pass it up.",19
MAN #1,"Yeah, yeah, I hear you. I just...",7
MAN #2,You just what?,3
MAN #1,"When you want to take a dip, you got to test the water. You just don't want to get wet.",20
MAN #2,"No, man. Dippage is sacred.",5
BRISENTINE,Agent Mulder?,2
MULDER,Yeah.,1
BRISENTINE,You're being relieved from your current assignment. Agent Bozoff will take over. You've got a flight to catch in forty-five minutes.,21
MULDER,Where am I going?,4
BRISENTINE,"Murder case. Newark, New Jersey.",5
MULDER,Treat yourself.,2
BRISENTINE,You're flying out of National. Your contact in Newark is Detective Norman.,12
MULDER,How did I draw the assignment?,6
BRISENTINE,Assistant Director Skinner made the request.,6
MULDER,Skinner requested me?,3
MULDER,"Mulder, F.B.I.",2
NORMAN,My forensics team's just wrapping up. We left the body where we found it. Kenny! This is one case I'm going to be happy to turn over to you guys. Watch yourself.,32
MULDER,"Yeah, wouldn't want to step in anything.",7
NORMAN,They say it cuts the smell if you don't breathe through your mouth.,13
MULDER,They lied. Who found the body?,6
NORMAN,Sanitation worker. Looks like it's been here a while.,9
MULDER,Any I.D.?,2
NORMAN,No. Not much to go on either. Front side of the body is pretty much eaten away. Would you like us to turn him over for you?,27
MULDER,"No, I'll take your word on that.",7
NORMAN,"Hey, Agent Mulder. What would you like us to do with the body?",13
MULDER,"Wrap it up and send it to the F.B.I., care of Assistant Director Skinner.",14
SECRETARY,"Yes, sir.",2
SKINNER,Thank you.,2
MULDER,I need to speak to him.,6
SECRETARY,"I'm sorry, Mister Skinner's unavailable. Would you like to take a seat?",12
MULDER,Will you tell him that I'm here and I need to speak with him? Now.,15
SECRETARY,"Certainly. Excuse me, Mister Skinner. I'm very sorry to interrupt, but Agent Mulder is demanding to see you.",18
SKINNER,"Is there a problem, Agent Mulder?",6
MULDER,"Yeah, there is.",3
SKINNER,Then make an appointment.,4
MULDER,"It's kind of hard to make an appointment when you're up to your ass in raw sewage, being jerked around from one meaningless assignment to another.",26
SKINNER,Excuse me?,2
MULDER,"What's my next punishment, scrubbing the bathroom floors with a toothbrush?",11
SKINNER,"You're way out of line, Agent Mulder.",7
MULDER,So I gathered.,3
SKINNER,"Fine. Come into my office, Agent Mulder, please. Agent Mulder, would you please inform the room as to why you regard your homicide case in New Jersey as meaningless?",29
MULDER,"It seemed to me like a simple drugland body dump, not the type of case the F.B.I. normally wastes it's time and manpower on.",24
SKINNER,"Certainly, Agent Mulder, given your recent history here, you're not one to judge what is or is not a waste of the bureau's time or manpower.",26
MULDER,"Sir, my work on the X-Files...",6
SKINNER,"The X-Files have been closed, Agent Mulder. You will carry out your new assignments and investigate them to the best of your ability. Is that not clear?",27
MULDER,Yeah.,1
SKINNER,And I'll be anticipating your field reports on your current homicide case. Thank you.,14
SCULLY,Is this seat taken?,4
MULDER,"No. But I should warn you, I'm experiencing violent impulses.",10
SCULLY,"Well, I'm armed, so I'll take my chances. I hear you really endeared yourself to Assistant Director Skinner today.",19
MULDER,"You know, sometimes, it just gets really hard to smile through it when they ask you to bend down and grab your ankles. You know?",25
SCULLY,It's not exactly as if you've ever tried to fit into the program.,13
MULDER,"No. No, I've been thinking a lot about that lately. I've been thinking about leaving.",15
SCULLY,The bureau? What would you do?,6
MULDER,Pursue my work in the paranormal somehow.,7
SCULLY,"Y, you could request a transfer to Quantico. Come back to the Behavioral Science Unit.",15
MULDER,"They don't want us working together, Scully... and right now, that's the only reason I can think of to stay.",20
SCULLY,"Wh, what about this case you're working on?",8
MULDER,It's a zero.,3
SCULLY,Where's the body?,3
MULDER,"They transferred it to our forensics lab. Look, Scully, I know what you're trying to do.",16
SCULLY,Maybe I can request to do the autopsy.,8
MULDER,It's an exercise. Skinner is just rubbing my nose in this one. There's nothing to it.,16
SCULLY,"There's a dead body, isn't there?",6
