speaker,line,words
COMMANDING OFFICER,"As soon as we're in position, we'll be on a count of five.",13
ANITA BUDAHAS,"Excuse me, that's my house.",5
MILITARY POLICE OFFICER,"Ok, let her through.",4
ANITA BUDAHAS,What's going on?,3
COMMANDING OFFICER,Standby. Mrs. Budahas?,3
ANITA BUDAHAS,Yeah.,1
COMMANDING OFFICER,Your husband has violated basic security procedure. He's commandeered a military vehicle that's believed to be armed.,17
LEAD OFFICER,Keep on moving in.,4
ANITA BUDAHAS,Oh God!,2
VOICE,We have access..,3
ANITA BUDAHAS,You've got to let me talk to him.,8
LEAD OFFICER,What the hell. We got him but he's gonna need a doctor.. or something.,14
SCULLY,Hi. I got your message.,5
MULDER,Sorry for the run around. Can I buy you a drink?,11
SCULLY,It's two-o-clock in the afternoon Agent Mulder.,7
MULDER,It's not stopping the rest of these people. I got something to show you.,14
SCULLY,Something you couldn't show me at work.,7
MULDER,"Let's get a table. That's Colonel Robert Budahas. That photo was taken last year when he was a test pilot for the military, stationed at Ellens Air Base in Southwest Idaho. Four months ago, Colonel Budahas experienced a psychotic episode and barricaded himself in his home. Military police were called in. Budahas was removed and apparently hospitalised with treatment of his condition.",62
SCULLY,"Which was what, exactly?",4
MULDER,"The military will not comment on the cause, nature or status. In fact, the military will not comment on Colonel Budahas at all.",23
SCULLY,What do you mean?,4
MULDER,"Mrs. Budahas has neither seen nor heard from her husband in over four months. Her inquiries to the military have gone unanswered. Last month, she contacted the FBI and reported it as a kidnapping.",34
SCULLY,What reason would the military have to kidnap one of their own pilots?,13
MULDER,"That's the sixty-four thousand dollar question, Scully. Since 1963, six pilots have been listed as missing in action, from Ellens Air Base. The military will say only that these pilots accepted the risks of flying experimental aircraft.",37
SCULLY,"Yeah, there were rumours those pilots were shot down at high altitudes, while they were routinely penetrating Russian air space.",20
MULDER,"There were other rumours too. I've been tracking this case since it came through the Boise regional office last month. Last week, for reasons I can't figure out, it was deprioritised. They shelved this case without an investigation, Scully.",39
SCULLY,So?,1
MULDER,"So, you and I, are going to the spud state to investigate a little kidnapping.",15
SCULLY,"I don't get it Mulder. Does this have something to do with an X-File? I thought you only liked those, er, paranormal type cases. Am I missing something here?",29
MULDER,"Let's just say, this case has a, distinct smell to it, a certain, paranormal bouquet. Excuse me.",17
DEEP THROAT,Leave this case alone Agent Mulder.,6
MULDER,What?,1
DEEP THROAT,The military will not tolerate an FBI investigation.,8
MULDER,Who are you?,3
DEEP THROAT,"I, er, can be of help to you. I've had a certain interest in your work.",16
VOICE,Sorry.,1
MULDER,How do you know about my work?,7
DEEP THROAT,"Well, let's just say that I'm in a position to know quite alot of things, er, things about our government.",20
MULDER,Who are you? Who do you work for?,8
DEEP THROAT,"It's unimportant, I came here to give you some valuable advice. You are exposing yourself and Agent Scully to unnecessary risk, I advise you to drop the case.",28
MULDER,I can't do that.,4
DEEP THROAT,"You have much work to do Agent Mulder, don't jeopardise the future of your own efforts.",16
SCULLY,You ok Mulder?,3
MULDER,"Yeah, I'm fine.",3
MULDER,Hello.,1
SCULLY,Mulder?,1
MULDER,Yeah.,1
SCULLY,I checked on that file you gave me.,8
MULDER,Uh-huh.,1
SCULLY,"You failed to tell me a few things. This isn't some UFO goose chase, you're leading me on, is it? Are you there Mulder?",24
MULDER,Yeah.,1
SCULLY,"Did you hear what I said, because the bureau has it out for us already and it would make us appear pretty stupid if my field report, read like some tabloid story.",32
MULDER,"Er, listen, I don't want to talk about it on this line. I'll, I'll talk to you about it, on the flight out, OK?",24
ANITA BUDAHAS,Hello?,1
MULDER,Mrs. Budahas?,2
ANITA BUDAHAS,Yes.,1
MULDER,We're from the FBI.,4
ANITA BUDAHAS,"Oh, yes, please, come in. I started noticing it about two years ago, m, Bob developed this rash under his arms. We'd been doing some renovations on the house, so that, we thought it was a reaction to the paint stripper. But then everything just, went crazy.",47
SCULLY,How do you mean?,4
ANITA BUDAHAS,"Bob's whole personality, it was so unpredictable. He started, doing things.",11
MULDER,What kinds of things?,4
ANITA BUDAHAS,"It was kind of embarassing at first, we were having this dinner party once, and, erm, he sprinkled tetra-meal D all other his food. That's fishfood flakes.",27
SCULLY,Did you ever talk to him about this?,8
ANITA BUDAHAS,"I tried, i, it was extemely difficult, Bob would get so angry, he'd, yell at the kids for no reason, and, and then, and then he would shake, like he was having a, a seizure.",35
MULDER,Did he ever talk about his work?,7
ANITA BUDAHAS,"It was never discussed, e, even before the problems. Oh, I knew that he worked on top secret projects, word gets around, but, Bob was always a patriot first. He took, loyalty to his country as an oath, and, and now they treat us like strangers. I just want my husband back.",52
SCULLY,You know that the government is not above the law. They cannot withhold information.,14
ANITA BUDAHAS,"Th, then I think, what if he's... How would I support the family?",13
MULDER,"Eeh, you said word gets around, I'm sorry, erm, have you ever heard of this, happening to anyone else?",19
ANITA BUDAHAS,"Erm, yeah. Verla McLennen's husband, he went kinda crazy, but it's, it's not like he didn't get to come home.",20
SCULLY,How long has he been...,5
VERLA MCLENNEN,"Almost two years, the flyfishing idea was his brother Hank's. I was upset at first, but when you're the wife of a test pilot, you thank God just to have him home alive.",33
MULDER,"Mrs. McLennen, has anyone ever offered to explain what caused this?",11
