speaker,line,words
ANNOUNCER,We interrupt this program for a breaking news bulletin.,9
NEWS ANCHOR,90 miles and counting-- that's how far officers of the Nevada highway patrol have pursued the blue car on your screen in a wild chase right through the heart of Elko at speeds approaching 100 miles an hour.,38
NEWS ANCHOR,"Live on the scene in Carlin is Chuck Pickering in the Fox 11 news chopper. Chuck, what can you tell us?",21
CHOPPER REPORTER,"Benjamin, we're heading west following route 766, where it feeds off the I-80. Now, just under an hour ago, troopers attempted to pull over the blue car which we understand is stolen. That occurred on the 80, east of Wells. Since then, this driver has stopped for nothing and nobody.",50
NEWS ANCHOR,Any word yet on who the driver is?,8
CHOPPER REPORTER,"None at this time. What we do think, though and what we've passed on to the Highway Patrol is that from our vantage point we've seen another person in that car. See, right there. A hand. It just moved. See, in the back seat? Now, we could possibly have a hostage situation here. And, obviously, the sooner they bring this vehicle to a stop ….",65
PATROLMAN,"Unit six, ready at milepost 13.",6
PATROLMAN 2,"Coming your way, six.",4
CHOPPER REPORTER,"Well, that did the trick. The automobile seems to be coming to a stop.",14
NEWS ANCHOR,"Chuck, what did they just use there?",7
CHOPPER REPORTER,"It looked to be a special tire-puncturing chain. And now the officers are approaching the car. One of them has opened the door, and he has hold of the suspect. He's pulling him out. He doesn't seem to have a weapon.",41
NEWS ANCHOR,"He may not be armed but from our vantage point, it looks like he doesn't want to get out of that car.",22
CRUMP,Vicky! Vicky!,2
VICKY CRUMP,Please get it out of my head.,7
CRUMP,Vicky! Vicky! No! Let me go! Let me go! Vicky! No! Let me go! I got to go! Vicky! No!,20
NEWS ANCHOR,"...Hostage appears to be okay. The Highway Patrol has her now. But Chuck, it looks like that driver is still fighting.",21
CHOPPER REPORTER,"Yes. He's definitely putting up a bit of a fight. He seems to be a man with a few choice words on the subject as you can see. They're trying to restrain him. I tell you what. We're going to move back and try to get a wider angle. See, there's the woman …. What the heck? She's ….",59
CRUMP,Vicky! Vicky!,2
CHOPPER REPORTER,"There, see? She's banging her head against the window.",9
CHOPPER REPORTER,What the hell just happened?,5
STUDIO DIRECTOR,CUT! CUT! CUT!,3
FARMER,Yeah?,1
SCULLY,"Uh, Virgil Nokes? I'm Agent Scully. This is Agent Mulder. We're with the FBI.",14
FARMER,Jehovah's Witness?,2
SCULLY,"No, sir. Federal Bureau of Investigation.",6
MULDER,But we do have a free copy of the Watchtower for you if you'd like.,15
SCULLY,"Uh, sir, this is just a routine check but, uh, we understand that you recently placed an order for 5,000 pounds of ammonium nitrate fertilizer.",25
FARMER,"Oh, you people. Come on in.",6
REPORTER,...with the President. She's said to have admitted to an 18-month affair...,12
FARMER,Sugar beets.,2
SCULLY,Excuse me?,2
FARMER,I grow sugar beets.,4
REPORTER,"... authorities in Riverside County, California …",6
FARMER,I figure I got better things to do with my fertilizer than going around blowing government buildings sky high.,19
SCULLY,"Yeah. Well, as we said, sir this is just routine.",10
MULDER,"So routine, it numbs the mind.",6
REPORTER,... Experts credit a healthy economy …,6
FARMER,I got my AG card and my papers 'round here somewhere.,11
REPORTER,... a strange death on a Nevada highway.,7
FARMER,"Help me look for them, will you?",7
REPORTER,"... As we reported earlier a wild police pursuit ended in tragedy this morning with the death of a 36-year-old female hostage. This was the scene west of Elko, Nevada, one hour ago...",32
MULDER,"Hey, Scully, take a look at this.",7
REPORTER,......died mysteriously while in custody. We once again want to warn our viewers this footage is extremely graphic.,18
CHOPPER REPORTER,Now the hostage is still inside the car. It appears that she is banging her head against the window …,20
NEWS ANCHOR,"At this time, highway patrol officials are refusing to identify the woman or to speculate on how she died. …. Though they do stress it was not the result of a gunshot. ….. Coroner's report is not expected for a day or more. Meanwhile residents of Northern Nevada who first witnessed….",51
MULDER,"Thank you, Captain. That's no problem. We'd be happy to help. Mm-hmm.",12
SCULLY,We'll be happy to help what?,6
MULDER,See you soon.,3
SCULLY,"Mulder, we're not going to Nevada.",6
MULDER,"Come on, Scully. Just one quick side trip.",8
SCULLY,"No. Sorry, Mulder. We have a whole new assignment.",9
MULDER,"Running down people that buy fertilizer? This is scut work, bozo work-- the FBI equivalent of being made to wear an orange jumpsuit and pick up trash by the side of the highway-- they mean to humiliate us.",38
SCULLY,"Look, Mulder, like it or not, humiliated or not, we're on domestic terrorism now and, yes, this is... This is a punishment but if we want to get back to where we want to be we have to follow orders. We can't freelance.",43
MULDER,You saw that news report. What did you make of that?,11
SCULLY,"I think that the obvious assumption is that the woman was shot, regardless of what the police say. Maybe it was a sniper.",23
MULDER,"In the words of their captain ""she just sort of popped."" And what about this guy who supposedly tried to take her hostage, her husband? Looked to me like he was trying to warn the cops before she died. Now, the sun will rise in America tomorrow regardless of whether or not we're at yet another farm investigating yet another enormous pile of doo-doo. We can be in and out in a day. Nobody has to know.",77
CRUMP,S-s-somebody! Please! It's starting! Somebody!,5
MULDER,Why can't we see him?,5
CAPTAIN,"Well, hopefully later. He pitched quite a fit in his cell-- screaming a bunch of nonsense that we were going to kill him the way we killed his wife. You know, he's not a particularly stable individual.",37
SCULLY,"Captain, he may need medical attention.",6
CAPTAIN,"He's getting it. Our doctor's with him now. I mean, after whatever happened to his wife-- which I'd like to stress was not our fault-- we're not going to take any chances, you know?",34
SCULLY,"Patrick Garland Crump of Montello, Nevada.",6
MULDER,40-year-old roofer. No history of mental illness. No prior record.,10
CAPTAIN,He's got one now. That Barracuda he jacked on the Utah state line? He yanked some teenager out of the window threw his wife in back and took off. Excuse me.,31
MULDER,What do you think?,4
SCULLY,I'm thinking while we're here I might take a look at Mr. Crump's wife.,14
MULDER,I'm going to stay here and see if I can see Crump.,12
MULDER,"Captain, where's Montello?",3
CAPTAIN,Little town right here.,4
MULDER,So that's where it started. That's Crump's home. Then he headed east in this direction on the 5 about ten miles to the Utah border where he stole the car.,30
CAPTAIN,You got it.,3
MULDER,"Yeah, but you caught up with him in Wells. Where's that?",11
CAPTAIN,That's here.,2
MULDER,"So that means that he started off in this direction. Then all of a sudden, he turned around and he headed west... To Wells. Why?",25
CORONER,The former Vicky Jenkins Crump. I'm hoping you can tell me what I'm looking at 'cause this is a new one on me.,23
SCULLY,There's no gunpowder residue... No carbon stippling. There seems to be no evidence of an entry wound whatsoever.,18
CORONER,"There is none. It's all exit, but how that could be...?",11
SCULLY,"I'm finding what look like fragments of petrous bone embedded in the remaining portion of the auditory canal. In fact, I seem to be looking straight through to the osseous labyrinth or what's left of it.",36
CORONER,It's almost like a little bomb went off in her ear.,11
SCULLY,May I?,2
CORONER,Please.,1
