speaker,line,words
ANNOUNCER (CHRIS CARTER),Previously on The X Files:,5
ABSALOM,"Their ships come in, drop the abductees. I go and get them so I can help them.",17
REYES,He goes by the name Absalom-- the nominal leader of a doomsday cult who believed aliens would take over the world at the Millennium.,24
SCULLY,Where's Mulder?,2
ABSALOM,"When you came crashing in here I was trying to help him, too.",13
SCULLY,No... no … No...!!!!!,4
MINISTER,"Ashes to ashes, dust to dust. We are here to deliver the body of Fox Mulder to its resting place. We pray to God to deliver his soul and to resolve the deep mysteries Fox Mulder sought so tirelessly to uncover. Let us pray now for his eternal peace.",49
MINISTER,"""'I am the resurrection and the life,' saith the Lord; he that believeth in me, though he were dead yet shall he live; and whosoever liveth and believeth in me shall never die.'""",33
SCULLY,He was the last. His father and mother... his sister... all gone. I think the real tragedy... is that for all of his pain and searching... the truth that he worked so hard to find was never truly revealed to him.,41
SCULLY,I can't truly believe that I'm really standing here.,9
SKINNER,I know. And I don't truly believe that... Mulder's the last.,11
KERSH,"Smile, John. You look tense. I've asked you here to commend you.",12
DOGGETT,What's this?,2
KERSH,A letter to the director citing your meritorious efforts in the recovery of Agent Fox Mulder. And a recommendation that you be considered for advancement.,25
DOGGETT,"Sir, the Assistant Director here deserves more credit than I...",10
SKINNER,"Deputy Director Kersh spoke to me at length before you came up. He thanked me and asked me to write you a letter, too.",24
SKINNER,Officially transferring you off the X-Files to a division more suited to your talents.,14
KERSH,"Man of my word, Agent Doggett.",6
DOGGETT,"Thank you for your support, sir. But all things being equal, I, uh... would like to give any transfer some thought.",21
KERSH,"Fish while they're biting, John.",5
DOGGETT,"Hey, good morning, Agent Scully. How you feeling today?",9
SCULLY,I'm fine. How are you feeling?,6
DOGGETT,Me? Good. But then I don't got a little J. Edgar to lug around.,14
SCULLY,A.D. Skinner just called. He told me about your meeting with Kersh.,12
DOGGETT,"Well, whatever he told you I'm still going to be here to drive you crazy with questions and nagging doubt.",20
SCULLY,"You'd be crazy to stay, Agent Doggett. This is a huge career opportunity for you.",15
DOGGETT,It's not my career he's got in mind.,8
SCULLY,What do you mean?,4
DOGGETT,"In six weeks, you go on maternity leave. Kersh transfers me out, guess what? He gets to lock that door over there for good.",24
SCULLY,"You don't owe me anything, Agent Doggett.",7
DOGGETT,They put me down here to find Mulder. I found him. So what? We still got an open file on this case and I got big questions.,27
DOGGETT,What?,1
SCULLY,I heard the same speech come out of my mouth seven years ago.,13
SCULLY,"Get out while you can, Agent Doggett... or you may never get out at all.",15
FIRST DECK HAND,All stop! All stop! In the net! Get the light! Down there! Further out!,14
FIRST DECK HAND,Get Coast Guard on the radio! Tell them to send a chopper out!,13
FIRST DECK HAND,Doesn't look like there's any big reason to hurry.,9
DR. FRANCIS OROVETZ,"So, what's the deal here?",5
PATHOLOGY ASSISTANT,Body was found at sea. DA wants to know how it got there.,13
DR. FRANCIS OROVETZ,At 2:00 in the morning? I've once to see a DA down here in his jammies waiting for an answer.,20
DR. FRANCIS OROVETZ,"I see a surgical cut or scar on the sternum, linear pattern scarring on each facial cheek. But for a certain enviable post-mortem intumescence this man is unremarkable. Short of this body sitting up and telling us what happened I'd say we've got a long night ahead.",47
PATHOLOGY ASSISTANT,Doctor... it moved.,3
DR. FRANCIS OROVETZ,"Joke's on me, right?",4
PATHOLOGY ASSISTANT,Its mouth... his lips... they moved...,6
DR. FRANCIS OROVETZ,"Yeah, well, maybe he's trying to tell...",7
DOGGETT,Yeah.,1
SKINNER,It's Skinner. I want you to meet me at the Bureau in about 20 minutes.,15
DOGGETT,For what?,2
SKINNER,"I got a call from the police. Pathologist down in Wilmington, North Carolina. Fishermen pulled in a dead body 50 Miles offshore which they've now ID'd as Billy Miles.",29
DOGGETT,Billy Miles?,2
SKINNER,Kid from Oregon. He was abducted same time Mulder was last May.,12
DOGGETT,So what's the big hurry now?,6
SKINNER,Now he's alive.,3
DOGGETT,You told Agent Scully any of what you told me?,10
SKINNER,No.,1
DOGGETT,"My strong recommendation, Sir: Don't. This thing pans out or not, you're going to reopen wounds that still need a lot of healing. Not to mention the fact that she's had a difficult pregnancy. You know that as well as anybody.",41
SKINNER,"I appreciate your concern, Agent Doggett, but I wouldn't have told her anyway. Certainly not where we're going.",18
DOGGETT,Where are we going?,4
DOGGETT,I'll say it again. We're opening up more than a grave here.,12
SKINNER,"I respect that, Agent Doggett, but under the circumstances I think not digging it up would be far more regrettable, don't you?",22
DOGGETT,No. I think this is insanity.,6
SKINNER,"Yeah, well, personally, I couldn't live with the doubt.",9
DOGGETT,"That what? That we buried a man alive? We found Mulder, you and me together. We saw the same body. Mulder wasn't just dead, he'd been dead for days. Had to have a closed casket. For crying out loud, the body was too far gone and that was three months ago.",51
SKINNER,"The kid they pulled from the ocean, Billy Miles, from the extensive tissue necrosis, they think he could've been in the water for months. Heart beat, rate of metabolism-- it slowed to imperceptibility. I mean, the body had rigored. For all intents and purposes, he was dead. It's a fluke that the doctor even noticed.",55
DOGGETT,I don't believe it. I don't believe I'm even standing here.,11
DOGGETT,What the hell is this?,5
CORONER GAFFIN,Assistant Director Skinner?,3
SKINNER,Yes.,1
CORONER GAFFIN,"Arthur Gaffin, County Coroner.",4
SKINNER,I asked you to keep this thing low key.,9
CORONER GAFFIN,"Word spreads. Exhumation's big news any day of the week and you had the body moved to another county to a specific pathologist. Well, that takes people and paperwork.",29
SKINNER,I want these people out of here.,7
DOGGETT,"All right, listen up, ladies and gentlemen. As much as you're here to see the horror show I'm not letting that casket open up until we get some privacy. It's a private matter.",33
DOGGETT,Thank you.,2
DR. FRANCIS OROVETZ,"Agent Skinner, so no one's confused, this is a completely different scenario. I'm only here 'cause you asked for me. I don't expect to find anything in this box but a dead man. It's not going to be Curse of the Mummy, okay? No claw marks on the lid of the coffin.",52
DOGGETT,I'll say it again: insanity.,5
SCULLY,Is it true?,3
SKINNER,Slow down.,2
SCULLY,No. I want to see him.,6
SKINNER,I know you do...,4
SCULLY,"No, I need to see him, damn it!",8
SKINNER,You're not going in there.,5
SKINNER,"Scully, you can't.",3
SCULLY,Tell me it's true. Tell me.,6
DR. LIM,"It's so improbable... and I would have said impossible before this. The clinical fact he's alive when effectively this man, his tissue and I presume his neural and vascular systems are all in a state of decomposition.",37
DOGGETT,What does that mean?,4
DR. LIM,That effectively he's dead.,4
SCULLY,What did they say?,4
SCULLY,I need to see him.,5
DOGGETT,I know... but I wish you wouldn't.,7
DOGGETT,"You wanted to see me, sir?",6
KERSH,"Yes, John. Please come in. I've been in this office just over six months and I haven't yet had to see a sunrise from it.",25
DOGGETT,"I believe the sunrise isn't for another hour and six minutes, sir.",12
KERSH,"It serves a man to have useful information, John. One never knows when he might find himself having to survive on his wits alone.",24
DOGGETT,"Yes, sir.",2
KERSH,"I know you look forward to a future at the FBI, John. You take your job seriously. I hope you took my job offer seriously, too.",26
DOGGETT,"As I said, I'm thinking about it.",7
KERSH,I got a call about this... Mulder thing. I want you to drop it.,14
DOGGETT,Drop it?,2
KERSH,"You know the tune: if it looks bad, it's bad for the FBI. I'm throwing you a rope. Don't go and hang yourself with it now.",26
DIAGNOSIS,"Acute Hypothermia Suddenly, the monitors begin beeping rapidly. BILLY MILES body convulses. SCULLY stares at the heart monitor where she sees that it seems to be registering two heartbeats. Then everything returns to normal. The door opens and a NURSE enters.)",41
NURSE,"Who-who are you, and what are you doing?",8
SCULLY,"Nothing. I was just looking in on the patient and he started to go into grand mal seizure. I, uh, I-I think he's all right now. Um, it's okay. I'm, uh, sorry …... I'm a doctor. My name is Scully, and I'm with the FBI.",45
NURSE,You're here to treat him?,5
SCULLY,"No. No, I, uh... the man down the hall was my... is my partner and we knew Billy and I-I guess I was just hoping that there might be some indication that he was getting better... somehow. Anyway... um... you might want to tell the doctor about this. And, uh... and check those monitors carefully. I think I might have seen some kind of equipment malfunction.",66
SKINNER,"I'm okay. I'm okay. Okay, thank you.",7
KRYCEK,All aboard.,2
SKINNER,"I don't know how you got in this building, Krycek, but whatever it is you want... you can go to hell.",21
SKINNER,What do you want from me?,6
KRYCEK,Let's take a ride.,4
KRYCEK,The word on the street is he's back from the dead. He's a regular Houdini.,15
SKINNER,Tell me what you want.,5
KRYCEK,What I want is to give you the chance to save Mulder's life.,13
KRYCEK,You don't believe me?,4
SKINNER,"No, I don't.",3
KRYCEK,I can push a little button and send thousands of nanobots lying dormant in your bloodstream sizzling to your brain stem and all I want to do with that power is save a man's life.,35
SKINNER,I don't think his life can be saved.,8
